,bodyid,flywire_type,group,instance,soma_side,status,superclass,type,user,halfbrain_body,itolee_hl,old_type,birthtime,manc_bodyid,manc_group,manc_type,soma_neuromere,truman_hl,class,entry_nerve,root_side,assigned_ol_hex1,assigned_ol_hex2,hemibrain_type,notes,dimorphism,hemibrain_bodyid,exit_nerve,manc_serial,mcns_serial,subclass,fru_dsx,synonyms,serial_motif,matching_notes,flywire_id,location_type,cell_body_fiber,auto,cell_type,side,idx
19427,538972,T2a,12245.0,T2a_L,L,Primary Anchor,optic,T2a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T2a,left,44107.0
19433,527107,Dm15,14388.0,Dm15_L,L,Prelim Roughly traced,optic,Dm15,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm15,left,40918.0
19434,199379,Tm5c,18223.0,Tm5c_L,L,Primary Anchor,optic,Tm5c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm5c,left,35377.0
19436,55274,TmY5a,12709.0,TmY5a_L,L,Prelim Roughly traced,optic,TmY5a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY5a,left,9983.0
19438,89220,Tm2,10851.0,Tm2_L,L,Primary Anchor,optic,Tm2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm2,left,17570.0
19443,34615,Mi1,12473.0,Mi1_L,L,Prelim Roughly traced,optic,Mi1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi1,left,5221.0
19460,56024,Tm1,13979.0,Tm1_L,L,Prelim Roughly traced,optic,Tm1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm1,left,10153.0
19468,134008,Dm3,17463.0,Dm3b_L,L,Primary Anchor,optic,Dm3b,takemuras,,,Dm3a-1,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm3b,left,27604.0
19473,110617,T5a,46342.0,T5a_L,L,Primary Anchor,optic,T5a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5a,left,22430.0
19478,107864,T4b,21218.0,T4b_L,L,Primary Anchor,optic,T4b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4b,left,21799.0
19479,29412,Y3,10921.0,Y3_L,L,Prelim Roughly traced,optic,Y3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Y3,left,4034.0
19483,529274,LC12,11692.0,LC12_L,L,Prelim Roughly traced,visual_projection,LC12,takemuras,,,,,,,,,,,,,,,LC12,,,,,,,,,,,,,,,False,LC12,left,41170.0
19485,214939,TmY9,17030.0,TmY9b_L,L,Primary Anchor,optic,TmY9b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY9b,left,36244.0
19490,201825,T5b,14326.0,T5b_L,L,Primary Anchor,optic,T5b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5b,left,35540.0
19502,124308,T3,13918.0,T3_L,L,Primary Anchor,optic,T3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T3,left,25523.0
19510,523688,,16342.0,Tm39_L,L,Primary Anchor,optic,Tm39,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm39,left,39947.0
19514,62829,Mi4,13579.0,Mi4_L,L,Primary Anchor,optic,Mi4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi4,left,11688.0
19518,39230,Tlp4,13744.0,Tlp13_L,L,Prelim Roughly traced,optic,Tlp13,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tlp13,left,6222.0
19523,128299,T3,13918.0,T3_L,L,Primary Anchor,optic,T3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T3,left,26370.0
19526,549601,Tm6,14760.0,Tm6_L,L,Primary Anchor,optic,Tm6,takemuras,,,Tm6/14,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm6,left,46870.0
19527,117167,T5d,24740.0,T5d_L,L,Primary Anchor,optic,T5d,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5d,left,23957.0
19531,581316,,29457.0,Cm2_L,L,Primary Anchor,optic,Cm2,takemuras,,,Mi25b,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Cm2,left,48688.0
19534,21504,MTe01a,14297.0,MeVP6_L,L,Prelim Roughly traced,visual_projection,MeVP6,,,,ME_VPN2,,,,,,,,,,,,MC66,,,,,,,,,,,,,,,False,MeVP6,left,2149.0
19538,112616,,13882.0,T4a_L,L,Primary Anchor,optic,T4a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4a,left,22878.0
19543,29417,LC4,12032.0,LC4_L,L,Prelim Roughly traced,visual_projection,LC4,takemuras,,,,,,,,,,,,,,,LC4,,,,,,,,,,,,,,,False,LC4,left,4035.0
19546,11382,VSX1,11134.0,VSm_L,L,Prelim Roughly traced,visual_projection,VSm,,,putative_primary,,early,,,,,,,,,,,,,,,,,,,,,,,,,,False,VSm,left,219.0
19547,134704,Tm4,15529.0,Tm4_L,L,Primary Anchor,optic,Tm4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm4,left,27726.0
19558,81641,TmY11,22595.0,TmY13_L,L,Prelim Roughly traced,optic,TmY13,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY13,left,15910.0
19574,519019,LC21,16115.0,LC21_L,L,Prelim Roughly traced,visual_projection,LC21,takemuras,,VPNp3,,,,,,,,,,,,,LC21,,,,,,,,,,,,,,,False,LC21,left,39125.0
19582,544412,LLPC3,14496.0,LLPC3_L,L,Prelim Roughly traced,visual_projection,LLPC3,takemuras,,,,,,,,,,,,,,,LLPC3,,,,,,,,,,,,,,,False,LLPC3,left,45603.0
19586,24905,CB3820,18565.0,MeLo13_L,L,Prelim Roughly traced,optic,MeLo13,takemuras,,,ML6,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MeLo13,left,2955.0
19587,92496,T2,10182.0,T2_L,L,Primary Anchor,optic,T2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T2,left,18278.0
19595,47241,LC22,11153.0,LC22_L,L,Prelim Roughly traced,visual_projection,LC22,takemuras,,VPNd1,,,,,,,,,,,,,LC22,,,,,,,,,,,,,,,False,LC22,left,8154.0
19603,42290,LLPC3,14496.0,LLPC3_L,L,Prelim Roughly traced,visual_projection,LLPC3,takemuras,,,,,,,,,,,,,,,LLPC3,,,,,,,,,,,,,,,False,LLPC3,left,6956.0
19606,39748,Mi1,12473.0,Mi1_L,L,Prelim Roughly traced,optic,Mi1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi1,left,6332.0
19609,139551,Tm12,14735.0,Tm12_L,L,Primary Anchor,optic,Tm12,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm12,left,28610.0
19611,128052,Mi13,17948.0,Mi13_L,L,Prelim Roughly traced,optic,Mi13,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi13,left,26322.0
19612,142746,L5,14999.0,L5_L,L,Prelim Roughly traced,optic,L5,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L5,left,29209.0
19614,12945,MTe22,12945.0,MeVP30_L,L,Prelim Roughly traced,visual_projection,MeVP30,,,,ME_VPN30,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MeVP30,left,400.0
19628,138811,Tm3,13421.0,Tm3_L,L,Primary Anchor,optic,Tm3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm3,left,28477.0
19631,57711,CB3819,15056.0,Li14_L,L,Primary Anchor,optic,Li14,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Li14,left,10564.0
19633,148899,Tm2,10851.0,Tm2_L,L,Primary Anchor,optic,Tm2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm2,left,30228.0
19636,22260,LPLC1,12052.0,LPLC1_L,L,Prelim Roughly traced,visual_projection,LPLC1,takemuras,,VPNd1,,,,,,,,,,,,,LPLC1,,,,,,,,,,,,,,,False,LPLC1,left,2321.0
19643,137099,T5b,14326.0,T5b_L,L,Primary Anchor,optic,T5b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5b,left,28161.0
19654,109488,T4b,21218.0,T4b_L,L,Primary Anchor,optic,T4b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4b,left,22190.0
19663,65169,Tm20,17795.0,Tm20_L,L,Primary Anchor,optic,Tm20,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm20,left,12246.0
19667,526148,T2,10182.0,T2_L,L,Primary Anchor,optic,T2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T2,left,40653.0
19686,564630,T4c,16122.0,T4c_L,L,Primary Anchor,optic,T4c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4c,left,48122.0
19687,18188,L1,10465.0,L1_L,L,Prelim Roughly traced,optic,L1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L1,left,1369.0
19691,525544,T1,12970.0,T1_L,L,Primary Anchor,optic,T1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T1,left,40473.0
19697,152469,T4c,16122.0,T4c_L,L,Primary Anchor,optic,T4c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4c,left,30751.0
19702,124730,MTe07,16367.0,MeVPLo2_L,L,Roughly traced,visual_projection,MeVPLo2,,,,ME_VPN11,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MeVPLo2,left,25612.0
19703,160001,,14824.0,TmY10_L,L,Primary Anchor,optic,TmY10,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY10,left,31760.0
19718,193408,Dm2,40824.0,Dm2_L,L,Primary Anchor,optic,Dm2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm2,left,34904.0
19720,102507,Tlp1,15432.0,Tlp12_L,L,Primary Anchor,optic,Tlp12,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tlp12,left,20588.0
19726,211875,L5,14999.0,L5_L,L,Prelim Roughly traced,optic,L5,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L5,left,36106.0
19733,548143,Dm2,40824.0,Dm2_L,L,Primary Anchor,optic,Dm2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm2,left,46487.0
19748,154217,Tm1,13979.0,Tm1_L,L,Prelim Roughly traced,optic,Tm1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm1,left,30993.0
19756,60055,TmYem1,12701.0,TmY17_L,L,Primary Anchor,optic,TmY17,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY17,left,11072.0
19764,46681,L1,10465.0,L1_L,L,Prelim Roughly traced,optic,L1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L1,left,8038.0
19767,190782,T4c,16122.0,T4c_L,L,Primary Anchor,optic,T4c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4c,left,34680.0
19769,61611,T2,10182.0,T2_L,L,Primary Anchor,optic,T2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T2,left,11422.0
19779,175383,,81186.0,Cm4_L,L,Primary Anchor,optic,Cm4,takemuras,,,Mi24,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Cm4,left,33403.0
19780,32383,Pm2,13976.0,Pm2b_L,L,Prelim Roughly traced,optic,Pm2b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Pm2b,left,4699.0
19782,112249,Tm5c,18223.0,Tm5c_L,L,Primary Anchor,optic,Tm5c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm5c,left,22802.0
19784,31326,TmY14,11899.0,TmY14_L,L,Prelim Roughly traced,visual_projection,TmY14,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY14,left,4457.0
19787,29047,Y3,10921.0,Y3_L,L,Prelim Roughly traced,optic,Y3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Y3,left,3957.0
19789,537008,TmY3,15710.0,TmY3_L,L,Prelim Roughly traced,optic,TmY3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY3,left,43827.0
19792,29199,Pm1,16846.0,Pm1_L,L,Prelim Roughly traced,optic,Pm1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Pm1,left,3993.0
19794,99256,T4b,21218.0,T4b_L,L,Primary Anchor,optic,T4b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4b,left,19840.0
19802,534081,LC12,11692.0,LC12_L,L,Prelim Roughly traced,visual_projection,LC12,takemuras,,,,,,,,,,,,,,,LC12,,,,,,,,,,,,,,,False,LC12,left,42881.0
19809,514669,TmY14,11899.0,TmY14_L,L,Prelim Roughly traced,visual_projection,TmY14,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY14,left,37449.0
19810,517652,Mi1,12473.0,Mi1_L,L,Prelim Roughly traced,optic,Mi1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi1,left,38534.0
19813,535365,L1,10465.0,L1_L,L,Prelim Roughly traced,optic,L1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L1,left,43375.0
19818,56342,T1,12970.0,T1_L,L,Prelim Roughly traced,optic,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T1,left,10223.0
19823,153598,Mi13,17948.0,Mi13_L,L,Prelim Roughly traced,optic,Mi13,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi13,left,30908.0
19838,525088,Mi9,11461.0,Mi9_L,L,Primary Anchor,optic,Mi9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi9,left,40338.0
19839,65172,TmY9,15767.0,TmY9a_L,L,Primary Anchor,optic,TmY9a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY9a,left,12247.0
19847,113009,T5b,14326.0,T5b_L,L,Primary Anchor,optic,T5b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5b,left,22982.0
19852,154836,T5c,26518.0,T5c_L,L,Primary Anchor,optic,T5c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5c,left,31087.0
19857,177767,L4,11062.0,L4_L,L,Prelim Roughly traced,optic,L4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L4,left,33608.0
19858,23247,LPLC2,11498.0,LPLC2_L,L,Prelim Roughly traced,visual_projection,LPLC2,takemuras,,VPNd1,,,,,,,,,,,,,LPLC2,,,,,,,,,,,,,,,False,LPLC2,left,2555.0
