root_id,top_in/out_region,community_labels,predicted_nt_type,predicted_nt_confidence,verified_nt_type,verified_neuropeptide,body_part,function,flow,super_class,class,sub_class,hemilineage,nerve,soma_side,primary_cell_type,alternative_cell_type(s),cable_length_(nm),surface_area_(nm^2),volume_(nm^3),known_nt_simplified,top_nt,idx,sign
720575941560886823,T1_PRONM,,acetylcholine,0.51,,,front_leg,tactile,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,,left_prothoracic_leg_nerve,left,SNta44,SNta44,,,,,acetylcholine,70379,1
720575941560887143,GNG,,gaba,0.42,,,labellum,"gustatory,sweet",afferent,sensory,external_taste_sensillum_neuron,labellum_external_taste_sensillum_neuron,,right_maxillary-labial_nerve,right,LB3a,LB3a,,,,,acetylcholine,70380,1
720575941560887597,LAL,"LAL138?,soma in brain",gaba,0.86,gaba,,,,intrinsic,central_brain_intrinsic,,,putative_primary,,left,LAL138,LAL138,,,,gaba,gaba,70381,-1
720575941560890413,ME,"Tm9?,soma in brain",acetylcholine,0.94,,,,,intrinsic,optic_lobe_intrinsic,,,,,right,,,,,,,gaba,70382,-1
720575941560891687,T1_PRONM,,acetylcholine,0.68,,,front_leg,tactile,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,,left_prothoracic_leg_nerve,left,SNta29,SNta29,,,,,acetylcholine,70383,1
720575941560891943,T1_PRONM,,acetylcholine,0.79,,,front_leg,tactile,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,,left_prothoracic_leg_nerve,left,SNta29,SNta29,,,,,acetylcholine,70384,1
720575941560892711,T1_PRONM,,acetylcholine,0.84,,,front_leg,tactile,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,,left_prothoracic_leg_nerve,left,SNta38,SNta38,,,,,acetylcholine,70385,1
720575941560893479,T1_PRONM,,gaba,0.68,,,front_leg,,afferent,sensory,orphan_neuron,front_leg_orphan_neuron,,left_prothoracic_leg_nerve,left,SNxxxx,SNxxxx,,,,,gaba,70386,-1
720575941560894247,T1_PRONM,,acetylcholine,0.77,acetylcholine,,front_leg,"position,proprioception",afferent,sensory,chordotonal_organ_neuron,front_leg_claw_chordotonal_organ_neuron,,left_prothoracic_leg_nerve,left,SNpp50,"SNpp50,claw",,,,acetylcholine,acetylcholine,70387,1
720575941560895015,NO_CONS.T1_PRONM,,gaba,0.92,,,front_leg,"proprioception,vibro_tactile",afferent,sensory,chordotonal_organ_neuron,front_leg_club_chordotonal_organ_neuron,,left_prothoracic_leg_nerve,left,SNxxxx,SNxxxx,,,,,gaba,70388,-1
720575941560900467,ME,,glutamate,0.86,,,,,,,,,,,left,,,,,,,gaba,70389,-1
720575941560906029,GNG,,gaba,0.55,,,labellum,tactile,afferent,sensory,bristle_neuron,labellum_bristle_neuron,,left_maxillary-labial_nerve,left,BM_Taste,BM_Taste,,,,,acetylcholine,70390,1
720575941560907123,LO.ME,soma in brain,acetylcholine,0.78,,,,,,,,,,,left,,,,,,,gaba,70391,-1
720575941560910963,ME.NO_CONS,soma in brain,acetylcholine,0.59,,,,,,,,,,,left,,,,,,,gaba,70392,-1
720575941560921901,MB_CA.NO_CONS,soma in brain,dopamine,0.72,acetylcholine,sNPF,,,intrinsic,central_brain_intrinsic,kenyon_cell,KCg,MBp3,,left,KCg-m,KCg-m,,,,acetylcholine,acetylcholine,70393,1
720575941560922925,ME,soma in brain,acetylcholine,0.67,,,,,,,,,,,right,,,,,,,gaba,70394,-1
720575941560923949,MB_CA,soma in brain,,,acetylcholine,sNPF,,,intrinsic,central_brain_intrinsic,kenyon_cell,KCg,MBp1,,right,KCg-m,KCg-m,,,,acetylcholine,acetylcholine,70395,1
720575941560927021,WED,soma in brain,acetylcholine,0.75,,,,,,,,,,,left,,,,,,,gaba,70396,-1
720575941560928045,LO,soma in brain,acetylcholine,0.75,,,,,,,,,,,right,,,,,,,gaba,70397,-1
720575941560929837,AL,,acetylcholine,0.99,acetylcholine,,antenna,"fruity_volatile,olfactory",afferent,sensory,olfactory_receptor_neuron,antenna_olfactory_receptor_neuron,,left_antennal_nerve,left,ORN_VM2,ORN_VM2,,,,acetylcholine,acetylcholine,70398,1
720575941560930163,ME,"R7,photoreceptor neuron,sensory neuron",,,,,,,,,,,,,right,,,,,,,gaba,70399,-1
720575941560933235,LAL,soma in brain,glutamate,0.76,,,,,intrinsic,central_brain_intrinsic,,,putative_primary,,right,LAL073,LAL073,,,,,glutamate,70400,-1
720575941560938029,MB_CA.NO_CONS,soma in brain,,,acetylcholine,sNPF,,,intrinsic,central_brain_intrinsic,kenyon_cell,KCab,MBp1,,right,KCab,KCab,,,,acetylcholine,acetylcholine,70401,1
720575941560940333,AL,,acetylcholine,0.99,,,,,afferent,sensory,olfactory_receptor_neuron,antenna_olfactory_receptor_neuron,,left_antennal_nerve,left,,,,,,,gaba,70402,-1
720575941560940845,NO_CONS.ANM,,,,,,abdomen,,afferent,sensory,orphan_neuron,abdomen_orphan_neuron,,abdominal_nerve_trunk,right,SNxx05,SNxx05,,,,,acetylcholine,70403,1
720575941560942893,NO_CONS.SAD,,acetylcholine,0.76,,,antenna,"auditory_high_frequency,proprioception",afferent,sensory,chordotonal_organ_neuron,johnstons_organ_B_neuron,,left_antennal_nerve,left,JO-B,JO-B,,,,,gaba,70404,-1
720575941560944429,T1_PRONM,,gaba,0.71,,,front_leg,"mechanical_strain,proprioception",afferent,sensory,campaniform_sensillum_neuron,front_leg_campaniform_sensillum_neuron,,left_prothoracic_leg_nerve,left,CS,CS,,,,,gaba,70405,-1
720575941560946279,GNG,,acetylcholine,0.7,,,labellum,"gustatory,sweet",afferent,sensory,external_taste_sensillum_neuron,labellum_external_taste_sensillum_neuron,,right_maxillary-labial_nerve,right,LB3a,LB3a,,,,,acetylcholine,70406,1
720575941560946791,GNG,,acetylcholine,0.53,,,labellum,"gustatory,sweet",afferent,sensory,external_taste_sensillum_neuron,labellum_external_taste_sensillum_neuron,,right_maxillary-labial_nerve,right,LB3a,LB3a,,,,,acetylcholine,70407,1
720575941560949293,SLP.AVLP,soma in brain,dopamine,0.54,,,,,intrinsic,central_brain_intrinsic,,,VLPd&p1_dorsal,,left,CB3406,CB3406,,,,,dopamine,70408,1
720575941560949805,WED.IPS,soma in brain,acetylcholine,0.7,,,,,intrinsic,central_brain_intrinsic,,,DM5_ventral,,left,WED162,WED162,,,,,acetylcholine,70409,1
720575941560952365,AOTU.BU,"TuBu09?,soma in brain",acetylcholine,0.76,,,,,intrinsic,central_brain_intrinsic,tubercular_bulbar_neuron,,AOTUv3_dorsal,,right,TuBu09,"TuBu09,TuBu10",,,,,acetylcholine,70410,1
720575941560956019,LO,soma in brain,glutamate,0.74,,,,,intrinsic,optic_lobe_intrinsic,transmedullary,,,,right,Tm5f,Tm5f,,,,,acetylcholine,70411,1
720575941560958253,LO,"CNS neuron,soma in brain",acetylcholine,0.7,,,,,intrinsic,optic_lobe_intrinsic,lobula_intrinsic,,,,right,Li14,Li14,,,,,acetylcholine,70412,1
720575941560966189,MB_CA.NO_CONS,soma in brain,,,acetylcholine,sNPF,,,intrinsic,central_brain_intrinsic,kenyon_cell,KCg,MBp3,,right,KCg-m,KCg-m,,,,acetylcholine,acetylcholine,70413,1
720575941560967213,IPS.LAL,soma in brain,gaba,0.92,,,,,intrinsic,central_brain_intrinsic,,,WEDa2,,right,WED031,WED031,,,,,gaba,70414,-1
720575941560968493,MB_CA.NO_CONS,soma in brain,,,acetylcholine,sNPF,,,intrinsic,central_brain_intrinsic,kenyon_cell,KCg,MBp1,,left,KCg-m,KCg-m,,,,acetylcholine,acetylcholine,70415,1
720575941560969517,ME.LO,soma in brain,acetylcholine,0.8,,,,,,,,,,,right,,,,,,,gaba,70416,-1
720575941560970920,LO,soma in brain,acetylcholine,0.63,,,,,intrinsic,optic_lobe_intrinsic,lobula_intrinsic,,,,right,Li11,Li11,,,,,gaba,70417,-1
720575941560975917,ME,soma in brain,acetylcholine,0.82,,,,,,,,,,,right,,,,,,,gaba,70418,-1
720575941560978733,AVLP,soma in brain,acetylcholine,0.47,,,,,intrinsic,central_brain_intrinsic,,,LALv1_ventral,,left,AVLP454_b,AVLP454_b,,,,,acetylcholine,70419,1
720575941560980269,MB_CA.MB_ML,"CNS neuron,soma in brain",dopamine,0.67,acetylcholine,sNPF,,,intrinsic,central_brain_intrinsic,kenyon_cell,KCab,MBp4,,right,KCab,KCab,,,,acetylcholine,acetylcholine,70420,1
720575941560980525,SMP.FB,soma in brain,glutamate,0.87,,,,,intrinsic,central_brain_intrinsic,central_complex_input_neuron,FB_tangential,DL1_dorsal,,right,FB6Z,FB6Z,,,,,glutamate,70421,-1
720575941560988973,SMP,soma in brain,dopamine,0.44,,,,,intrinsic,central_brain_intrinsic,,,SLPpm3,,left,CB3546,CB3546,,,,,dopamine,70422,1
720575941560991533,SMP,soma in brain,glutamate,0.32,,,,,intrinsic,central_brain_intrinsic,,,DM3_dorso_lateral,,left,CB3860,CB3860,,,,,acetylcholine,70423,1
720575941560998003,PRW,"AN_FLA_PRW_1,soma in VNC",serotonin,0.62,,,,,intrinsic,ascending,ascending_neuron,,27X,,left,AN27X017,AN27X017,,,,,glutamate,70424,-1
720575941560998701,MB_CA.MB_ML,"CNS neuron,soma in brain",dopamine,0.42,acetylcholine,sNPF,,,intrinsic,central_brain_intrinsic,kenyon_cell,KCab,MBp1,,right,KCab,KCab,,,,acetylcholine,acetylcholine,70425,1
720575941561009965,ME,soma in brain,acetylcholine,0.42,,,,,,,,,,,right,,,,,,,gaba,70426,-1
720575941561010477,ME,"CNS neuron,soma in brain",glutamate,0.76,glutamate,,,,intrinsic,optic_lobe_intrinsic,transmedullary_y,,,,right,TmY5a,TmY5a,,,,glutamate,glutamate,70427,-1
720575941561014317,UNASSIGNED.ME,"CNS neuron,soma in brain",,,acetylcholine,,,,intrinsic,optic_lobe_intrinsic,lamina_wide_field,,,,right,Lawf1,Lawf1,,,,acetylcholine,acetylcholine,70428,1
720575941561017000,WED.PVLP,soma in brain,acetylcholine,0.78,,,,,intrinsic,central_brain_intrinsic,,,ALl1_ventral,,left,CB2940,CB2940,,,,,acetylcholine,70429,1
720575941561025325,ME,"CNS neuron,soma in brain",glutamate,0.47,gaba,,,,intrinsic,optic_lobe_intrinsic,distal_medulla,,,,right,Dm12,Dm12,,,,gaba,gaba,70430,-1
720575941561026349,ME,"CNS neuron,soma in brain",glutamate,0.53,glutamate,,,,intrinsic,optic_lobe_intrinsic,distal_medulla,,,,right,Dm3v,Dm3v,,,,glutamate,glutamate,70431,-1
720575941561027117,ME,soma in brain,,,,,,,,,,,,,right,,,,,,,gaba,70432,-1
720575941561031981,ME,soma in brain,,,,,,,,,,,,,right,,,,,,,gaba,70433,-1
720575941561032749,ME,,acetylcholine,0.59,,,,,,,,,,,right,,,,,,,gaba,70434,-1
720575941561044781,ME.LO,soma in brain,acetylcholine,0.7,,,,,,,,,,,left,,,,,,,gaba,70435,-1
720575941561047853,ME,"CNS neuron,soma in brain",glutamate,0.48,glutamate,,,,intrinsic,optic_lobe_intrinsic,distal_medulla,,,,right,Dm15,Dm15,,,,glutamate,glutamate,70436,-1
720575941561048109,GNG,,gaba,0.5,,,interommatidial,tactile,afferent,sensory,bristle_neuron,interommatidial_bristle_neuron,,right_eye_nerve,right,BM_InOm,BM_InOm,,,,,unknown,70437,1
720575941561052205,NO_CONS.LO,soma in brain,acetylcholine,0.79,,,,,,,,,,,left,,,,,,,gaba,70438,-1
720575941561052461,LH.SLP,soma in brain,glutamate,0.89,,,,,intrinsic,central_brain_intrinsic,,,LHp1,,right,CB1661,CB1661,,,,,glutamate,70439,-1
720575941561054765,ME,"CNS neuron,soma in brain",serotonin,0.42,"acetylcholine,dopamine,nitric_oxide",,,,intrinsic,optic_lobe_intrinsic,medulla_intrinsic,,,,right,Mi15,Mi15,,,,acetylcholine,acetylcholine,70440,1
720575941561056045,LO,soma in brain,glutamate,0.65,glutamate,,,,intrinsic,visual_projection,lobula_columnar,,,,right,LC25,LC25,,,,glutamate,glutamate,70441,-1
720575941561079720,WED,soma in brain,gaba,0.86,gaba,,,,intrinsic,central_brain_intrinsic,,,WEDa1,,left,SAD021_c,SAD021_c,,,,gaba,gaba,70442,-1
720575941561088557,NO_CONS.LO,"CNS neuron,soma in brain",,,,,,,intrinsic,optic_lobe_intrinsic,transmedullary,,,,right,Tm21,Tm21,,,,,acetylcholine,70443,1
720575941561088813,GNG,soma in brain,acetylcholine,0.67,,,,,,,,,,,left,,,,,,,gaba,70444,-1
720575941561096237,ME.LO,"CNS neuron,T2 neuron,T3?,soma in brain",acetylcholine,0.91,,,,,intrinsic,optic_lobe_intrinsic,transverse_neuron,,,,right,T2a,T2a,,,,,acetylcholine,70445,1
720575941561104429,ME,soma in brain,serotonin,0.43,,,,,,,,,,,right,,,,,,,gaba,70446,-1
720575941561117485,SAD.IPS,soma in brain,acetylcholine,0.73,,,,,intrinsic,central_brain_intrinsic,,,WEDd1,,right,CB2710,CB2710,,,,,acetylcholine,70447,1
720575941561122861,LOP,soma in brain,glutamate,0.86,,,,,,,,,,,left,,,,,,,gaba,70448,-1
720575941561126701,ME,soma in brain,acetylcholine,0.76,,,,,,,,,,,right,,,,,,,gaba,70449,-1
720575941561150509,ME.LOP,soma in brain,acetylcholine,1.0,,,,,,,,,,,right,,,,,,,gaba,70450,-1
