,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,ito_lee_hemilineage,hartenstein_hemilineage,idx,sign
41634,720575940633548128,AN_PRW_FLA_1,right,glutamate,ascending,AN,AN_PRW_FLA,,,41487,-1
41635,720575940621651383,AN_GNG_110,right,acetylcholine,ascending,AN,AN_GNG,,,19164,1
41636,720575940630911991,SA_VTV_5,right,glutamate,ascending,AN,SA_VTV_pro_meso_meta,,,37562,-1
41637,720575940632000104,AN_GNG_SAD_14,right,gaba,ascending,AN,AN_GNG_SAD,,,39494,-1
41638,720575940621668533,AN_GNG_165,right,acetylcholine,ascending,AN,AN_GNG,,,19198,1
41639,720575940619153136,AN_GNG_SAD_1,right,acetylcholine,ascending,AN,AN_GNG_SAD,,,14507,1
41640,720575940617307097,AN_AVLP_54,right,acetylcholine,ascending,AN,AN_AVLP,,,11870,1
41641,720575940622093832,SA_DMT_DMetaN_12,right,acetylcholine,ascending,AN,SA_DMT_DMetaN,,,20017,1
41642,720575940647574916,AN_AVLP_27,right,acetylcholine,ascending,AN,AN_AVLP,,,49664,1
41643,720575940633662871,AN_AVLP_16,right,acetylcholine,ascending,AN,AN_AVLP,,,41628,1
41644,720575940645122948,AN_AVLP_17,right,acetylcholine,ascending,AN,AN_AVLP,,,49031,1
41645,720575940633000162,AN_GNG_165,right,acetylcholine,ascending,AN,AN_GNG,,,40816,1
41646,720575940627330566,AN_multi_96,right,acetylcholine,ascending,AN,AN_multi,,,30546,1
41647,720575940633049963,AN_multi_111,right,gaba,ascending,AN,AN_multi,,,40868,-1
41648,720575940613622501,AN_GNG_SAD_29,right,acetylcholine,ascending,AN,AN_GNG_SAD,,,7116,1
41649,720575940615333076,720575940615333076,right,gaba,ascending,AN,,,,9186,-1
41650,720575940623863614,AN_AVLP_45,right,acetylcholine,ascending,AN,AN_AVLP,,,23548,1
41651,720575940615961542,AN_GNG_WED_1,right,acetylcholine,ascending,AN,AN_GNG_WED,,,9999,1
41652,720575940637679421,AN_AVLP_7,right,acetylcholine,ascending,AN,AN_AVLP,,,45285,1
41653,720575940629008655,AN_AVLP_51,right,acetylcholine,ascending,AN,AN_AVLP,,,33942,1
41654,720575940604023724,720575940604023724,right,gaba,ascending,AN,,,,283,-1
41655,720575940622913123,AN_SLP_AVLP_1,right,serotonin,ascending,AN,AN_SLP_AVLP,,,21703,1
41656,720575940627226450,AN_AVLP_GNG_13,right,gaba,ascending,AN,AN_AVLP_GNG,,,30317,-1
