pre_root_id,post_root_id,syn_count
520410,36040,2
520410,17614,2
520410,66773,2
520410,101590,5
520410,17635,1
520410,519497,2
520410,122191,1
520410,542056,1
520410,134511,4
520410,111984,4
520410,531829,6
520410,30085,1
520410,124321,1
520410,159159,1
520410,521666,2
520410,13768,3
520410,525777,1
520410,75244,2
520410,13807,1
520410,79404,3
520410,118320,1
520410,48709,1
520410,83531,3
520410,517722,1
520410,15978,1
520410,87659,1
520410,26259,1
520410,145063,1
520410,220846,1
520410,59057,5
520410,50866,1
520410,26301,1
520410,558793,2
520410,521939,1
520410,546535,3
520410,12008,3
520410,112360,1
520410,32496,1
520410,44802,11
520410,18182,1
520410,18185,1
520410,534299,2
520410,102171,1
520410,12062,2
520410,513826,1
520410,42789,1
520410,30520,1
520410,94008,1
520410,178014,1
520410,10079,3
520410,32625,1
520410,79759,4
520410,44949,1
520410,100255,1
520410,90017,2
520410,28590,1
520410,61363,1
520410,61364,1
520410,28610,1
520410,18406,1
520410,51184,5
47322,13957,1
47322,147098,1
47322,130459,2
47322,127649,1
47322,88365,3
47322,97101,3
47322,55758,1
47322,10189,1
47322,133718,1
47322,67679,1
47322,67825,1
47322,148853,2
529794,58635,3
529794,575440,2
529794,118357,1
529794,63215,1
55497,184357,1
55497,139577,3
55497,22724,1
55497,120909,9
55497,139359,1
55497,102501,2
55497,146798,3
55497,35323,2
806566,31760,1
806566,800827,1
806566,800372,11
806566,800394,1
806566,804496,3
806566,800424,1
806566,800428,9
806566,904427,1
806566,814838,1
806566,801067,1
806566,934752,1
806566,808836,1
806566,803232,1
806566,801765,2
62362,531332,2
62362,513671,1
62362,53148,2
62362,26150,1
62362,83238,1
62362,531001,1
62362,11967,1
62362,167616,1
62362,51947,3
62362,10608,1
21687,27660,2
21687,99367,1
21687,517165,2
21687,944699,2
21687,11835,2
21687,19532,1
21687,513113,2
21687,391272,4
21687,14466,1
21687,79498,1
21687,14995,2
21687,13472,7
21687,116906,2
21687,520386,1
21687,233170,1
21687,12034,2
21687,14087,1
21687,19221,1
21687,11552,3
21687,513843,1
21687,47927,1
21687,512324,2
21687,10067,1
21687,60254,1
21687,12143,2
21687,12151,1
21687,13689,1
21687,480695,1
21687,112105,1
21687,14323,1
21687,23035,1
61627,10212,3
200660,45362,1
200660,14397,1
200660,24678,1
65982,201219,6
65982,57613,1
65982,544542,5
65982,531745,12
65982,531746,3
65982,49328,6
65982,45745,1
65982,182329,1
65982,140090,1
65982,190434,2
40845,122373,5
40845,514821,9
40845,535175,2
40845,25488,7
40845,10658,1
40845,553895,2
40845,42798,1
40845,519992,1
40845,63691,1
40845,530895,2
40845,568670,1
40845,42471,14
40845,549098,1
28663,800271,1
28663,802595,1
28663,800037,1
28663,10674,1
28663,10197,1
28663,933335,1
28663,10584,1
28663,805221,1
55531,47252,1
55531,127649,2
55531,39982,1
55531,100028,6
55531,63440,1
55531,139490,2
55531,100835,1
55531,116969,1
55531,126185,1
55531,31727,2
55531,111343,1
56513,36810,1
43655,125965,1
43655,87602,1
43655,28247,2
43655,34436,1
43655,68769,1
43655,117984,1
43655,116997,1
43655,61726,1
43655,23843,2
43655,100138,1
43655,36151,1
43655,121666,1
43655,542556,3
43655,20846,1
43655,550789,1
43655,536460,4
43655,98204,1
43655,534439,1
43655,98744,1
43655,71107,1
43655,39904,3
43655,70633,1
43655,88056,1
43655,539133,1
106608,64392,1
106608,75685,1
106608,82856,2
106608,84800,1
106608,50151,1
46667,68508,1
46667,100579,8
46667,46820,1
46667,125539,1
46667,156403,1
529846,512529,1
529846,90147,3
529846,10289,2
529846,78441,1
529846,66166,1
529846,99967,1
529846,515200,1
529846,63624,7
529846,522402,3
529846,74418,1
529846,119476,1
529846,532707,1
529846,188679,3
529846,105299,1
529846,106332,1
529846,124258,2
529846,38765,6
529846,100244,1
529846,527269,1
529846,511916,1
529846,516014,2
529846,71091,3
529846,44982,1
529846,48062,1
529846,91077,1
529846,38855,1
529846,525792,1
529846,527348,1
109463,143640,4
109463,59172,3
109463,147365,1
54668,91212,1
54668,107093,1
54668,94911,1
54668,53055,1
54668,24402,1
54668,56149,1
54668,64914,1
54668,58808,2
54668,106955,2
54668,147440,1
66301,74251,1
66301,51225,14
66301,67123,1
66301,36554,2
66301,36108,4
66301,89361,10
66301,99640,4
66301,65853,2
66301,92519,1
66301,33225,1
66301,47573,1
66301,100324,1
162302,48405,1
162302,69421,1
162302,91641,1
86180,513601,1
148780,84754,1
148780,11296,1
148780,64557,2
148780,80816,1
148780,10298,1
148780,87525,4
