pre_root_id,post_root_id,syn_count
29757,83659,1
74484,83659,1
47714,83659,1
42898,83659,1
19928,83659,1
17302,83659,1
26545,83659,1
25578,83659,1
26723,83659,1
27461,83659,1
10461,524284,38
23045,524284,21
16228,524284,8
13583,524284,13
12314,524284,10
18840,524284,9
13582,524284,8
20643,524284,8
522302,524284,7
10304,524284,1
12066,524284,6
14339,524284,6
45980,524284,5
513970,524284,5
11471,524284,5
10506,524284,5
12312,524284,5
34068,524284,5
11283,524284,5
13143,524284,4
13483,524284,4
11645,524284,1
10806,524284,4
12050,524284,3
518563,524284,3
20354,524284,3
13188,524284,3
13546,524284,3
520119,524284,3
12386,524284,3
12143,524284,2
12820,524284,3
10296,524284,3
10716,524284,3
10967,524284,1
25110,524284,2
22591,524284,2
10348,524284,2
23132,524284,2
17967,524284,2
17739,524284,2
42426,524284,1
17064,524284,2
15294,524284,2
516072,524284,2
11721,524284,2
27333,524284,2
10535,524284,2
13047,524284,1
10075,524284,1
10858,524284,1
15720,524284,1
514009,524284,1
11466,524284,1
16231,524284,1
10429,524284,1
531682,524284,1
12653,524284,1
13470,524284,1
13465,524284,1
14360,524284,1
10686,524284,1
519902,524284,1
523632,524284,1
13798,524284,1
10134,524284,1
10136,524284,1
14852,524284,1
10795,524284,1
516930,524284,1
13356,524284,1
11829,524284,1
12460,524284,1
527410,524284,1
10702,524284,1
14642,524284,1
14628,524284,1
11741,524284,1
30194,524284,1
39100,524284,1
19221,524284,1
17215,524284,1
17626,524284,1
92212,524284,1
23203,524284,1
46186,120821,16
58286,120821,1
60328,120821,8
58022,120821,8
126185,120821,5
44150,120821,5
53900,120821,4
57465,120821,4
101906,120821,4
66796,120821,4
79992,120821,4
83462,120821,4
81825,120821,3
74029,120821,3
136063,120821,3
139490,120821,3
47065,120821,3
64332,120821,3
55970,120821,2
55791,120821,2
52347,120821,2
115775,120821,2
95366,120821,2
51338,120821,2
97610,120821,2
40913,120821,2
49506,120821,2
79099,120821,2
71851,120821,2
93668,120821,2
67859,120821,1
67190,120821,1
66025,120821,1
66665,120821,1
68682,120821,1
69314,120821,1
62426,120821,1
62297,120821,1
61194,120821,1
62026,120821,1
82331,120821,1
81041,120821,1
80898,120821,1
49230,120821,1
40417,120821,1
45874,120821,1
46564,120821,1
46339,120821,1
44881,120821,1
56809,120821,1
57148,120821,1
60339,120821,1
61053,120821,1
59148,120821,1
53330,120821,1
53231,120821,1
53677,120821,1
54865,120821,1
119600,120821,1
116969,120821,1
147189,120821,1
90009,120821,1
90725,120821,1
94106,120821,1
86865,120821,1
102421,120821,1
65251,150067,2
86986,150067,10
61132,150067,3
60376,150067,3
52878,150067,3
69335,150067,2
81683,150067,5
158237,150067,4
165161,150067,5
30145,150067,5
81965,150067,2
73690,150067,1
116685,150067,3
95166,150067,3
46891,150067,3
65053,150067,2
50513,150067,2
95803,150067,2
102449,150067,2
49723,150067,1
137393,150067,2
81620,150067,2
69672,150067,2
89716,150067,2
67933,150067,1
70350,150067,1
71043,150067,1
62250,150067,1
64631,150067,1
77278,150067,1
50956,150067,1
59976,150067,1
55497,150067,1
138224,150067,1
134912,150067,1
115966,150067,1
161866,150067,1
162433,150067,1
89289,150067,1
96845,150067,1
87087,150067,1
100051,150067,1
103513,150067,1
105083,150067,1
101864,150067,1
73959,96983,6
85211,96983,6
536321,96983,5
114018,96983,4
198398,96983,2
75622,96983,3
104324,96983,3
110573,96983,2
92795,96983,3
58370,96983,3
50083,96983,3
40276,96983,3
56314,96983,3
582287537,96983,3
52072,96983,2
99909,96983,2
525576,96983,2
44373,96983,2
45295,96983,2
