pre,post,plen,connected,effconn,effconn_e,effconn_ad,effconn_ad_e
aPhM4,aPhM4,1,True,0.012510273605585,0.012510273605585,0.0,0.0
aPhM4,aPhM4,2,True,0.1301121860742569,0.0013973929453641,0.0,0.0
aPhM4,aPhM4,3,True,0.0208418108522892,0.0002109182823915,0.0,0.0
aPhM4,aPhM4,4,True,0.042641557753086,7.731475488981232e-05,0.0,0.0
aPhM4,aPhM4,5,True,0.0184895265847444,2.3170208805822767e-05,0.0,0.0
BM_Vt_PoOc,BM_Vt_PoOc,1,True,0.1823559701442718,0.1823559701442718,0.0,0.0
BM_Vt_PoOc,BM_Vt_PoOc,2,True,0.1553325355052948,0.0395268835127353,0.0,0.0
BM_Vt_PoOc,BM_Vt_PoOc,3,True,0.0672330036759376,0.0100182192400097,0.0,0.0
BM_Vt_PoOc,BM_Vt_PoOc,4,True,0.0463152304291725,0.0029129569884389,0.0,0.0
BM_Vt_PoOc,BM_Vt_PoOc,5,True,0.0288615338504314,0.0009601385681889,0.0,0.0
LB1e,LB1e,1,True,0.3943842649459839,0.3943842649459839,0.0,0.0
LB1e,LB1e,2,True,0.2074984163045883,0.1564575582742691,0.0,0.0
LB1e,LB1e,3,True,0.1075471639633178,0.0622863247990608,0.0,0.0
LB1e,LB1e,4,True,0.0678052753210067,0.0248677432537078,0.0,0.0
LB1e,LB1e,5,True,0.0439250469207763,0.0099521400406956,0.0,0.0
claw_tpGRN,claw_tpGRN,1,True,0.2670961916446686,0.2670961916446686,0.0,0.0
claw_tpGRN,claw_tpGRN,2,True,0.1573112457990646,0.0744593366980552,0.0,0.0
claw_tpGRN,claw_tpGRN,3,True,0.0686550289392471,0.0208623521029949,0.0,0.0
claw_tpGRN,claw_tpGRN,4,True,0.0371763110160827,0.0058909901417791,0.0,0.0
claw_tpGRN,claw_tpGRN,5,True,0.0204940065741539,0.0016808549407869,0.0,0.0
LB3,LB3,1,True,0.382430225610733,0.382430225610733,0.0,0.0
LB3,LB3,2,True,0.3910781443119049,0.1528022587299347,0.0,0.0
LB3,LB3,3,True,0.2616310119628906,0.0615107640624046,0.0,0.0
LB3,LB3,4,True,0.2106170654296875,0.0248766411095857,0.0,0.0
LB3,LB3,5,True,0.1589760333299636,0.0100990049540996,0.0,0.0
LB1c,LB1c,1,True,0.2039987444877624,0.2039987444877624,0.0,0.0
LB1c,LB1c,2,True,0.0866774469614029,0.0615280531346797,0.0,0.0
LB1c,LB1c,3,True,0.0430430397391319,0.0232859067618846,0.0,0.0
LB1c,LB1c,4,True,0.0279260370880365,0.0096358712762594,0.0,0.0
LB1c,LB1c,5,True,0.0182572808116674,0.0041140848770737,0.0,0.0
"LB1a,LB1d","LB1a,LB1d",1,True,0.3510370850563049,0.3510370850563049,0.0,0.0
"LB1a,LB1d","LB1a,LB1d",2,True,0.1548826843500137,0.1393768489360809,0.0,0.0
"LB1a,LB1d","LB1a,LB1d",3,True,0.0722684189677238,0.0578182451426982,0.0,0.0
"LB1a,LB1d","LB1a,LB1d",4,True,0.0372837409377098,0.0245808325707912,0.0,0.0
"LB1a,LB1d","LB1a,LB1d",5,True,0.0206475239247083,0.01056136097759,0.0,0.0
LB2c,LB2c,1,True,0.2965092360973358,0.2965092360973358,0.0,0.0
LB2c,LB2c,2,True,0.0946005061268806,0.0883314311504364,0.0,0.0
LB2c,LB2c,3,True,0.0315180197358131,0.0263943467289209,0.0,0.0
