pre,post,plen,effconn,effconn_e,effconn_i,e_effconn,ad_effconn,ad_effconn_e,ad_effconn_i,ad_e_effconn
720575940603765280,720575940603765280,4,0.0001186909695095,8.625549e-05,6.548832e-05,3.185517102026139e-05,2.140913608736025e-05,1.989453267015051e-05,8.561146387364715e-06,1.0774216022621146e-05
720575940603765280,720575940603765280,5,6.031609715809312e-05,4.20579e-05,3.5590023e-05,6.62316891655001e-06,8.339818510973364e-06,7.3150831667589955e-06,5.2993545978097245e-06,1.8561873092663208e-06
720575940618152256,720575940618152256,2,0.0004268633201718,0.00017952292,0.00024734053,0.0001720620348351,3.5443808883428574e-05,8.176414667104837e-06,2.7267393306829035e-05,7.891483619459905e-06
720575940618152256,720575940618152256,3,0.0001409730903105,7.121302e-05,6.975997e-05,1.8617245586938225e-05,1.979523221962154e-05,6.9443590291484725e-06,1.2850878192693926e-05,2.726914999584551e-06
720575940618152256,720575940618152256,4,6.236794780295971e-05,3.1551852e-05,3.162997e-05,4.627764487337225e-06,1.1393378246291795e-05,5.898054041608702e-06,5.503643478732556e-06,8.869021179743258e-07
720575940618152256,720575940618152256,5,3.6883596958019054e-05,1.894908e-05,1.8673578e-05,1.2612315219413727e-06,8.206996729033726e-06,4.170597094343975e-06,4.059452294313815e-06,2.809899083725378e-07
720575940629701484,720575940629701484,2,0.0020839001517742,0.0009337082,0.0011501928,0.0009288447909057,0.0007388520170934,0.0007178356172516,2.101647442032117e-05,0.0007178356172516
720575940629701484,720575940629701484,3,0.0007562564569525,0.0002465305,0.000509726,0.0001310699444729,0.0005250796675682,0.0001887637045001,0.0003363159776199,7.892524445196614e-05
720575940629701484,720575940629701484,4,0.000333173226161,0.00019534494,0.00018306775,3.629779150800264e-05,0.0001951280559305,9.009925997816026e-05,0.0001057491172105,2.1879500549795943e-05
720575940629701484,720575940629701484,5,0.0002434997569282,0.00013292408,0.00013383293,1.1454767792292791e-05,0.0001372223908173,6.563792703673244e-05,7.386122888419777e-05,6.9731939390620966e-06
720575940622318085,720575940622318085,2,0.0413792543113231,0.024815055,0.016564192,0.0023575781378895,0.0,0.0,0.0,0.0
720575940622318085,720575940622318085,3,0.0056123035028576,0.0016638692,0.003948435,6.289924203883857e-05,3.784166619880125e-05,1.5670439097448252e-05,2.2171225282363597e-05,8.261361017503077e-07
720575940622318085,720575940622318085,4,0.0065443059629634,0.004656672,0.0041896575,7.441847735117182e-06,1.6207130101975054e-05,9.184582268062512e-06,7.022548743407242e-06,1.9372300812392496e-06
720575940622318085,720575940622318085,5,0.0014266418864692,0.0016655861,0.0012183276,1.5746546402892155e-06,8.067149687357238e-06,4.254606210452039e-06,3.881890279444633e-06,4.411654895359733e-07
720575940622825608,720575940622825608,2,0.0009062363533303,0.00034657828,0.00055965804,0.0003341930278111,9.477577259531245e-05,6.21598373982124e-05,3.2615946111036465e-05,5.950520790065639e-05
720575940622825608,720575940622825608,3,0.0002865811111405,0.00014364664,0.00014293454,3.401474532438442e-05,5.424093978945166e-05,1.7782758732209913e-05,3.645816468633711e-05,7.655759873159695e-06
720575940622825608,720575940622825608,4,0.0001075701431331,5.5334436e-05,5.459282e-05,7.649306590535234e-06,2.6094386393176465e-05,1.408974640071392e-05,1.2025086107314564e-05,2.675924228919e-06
720575940622825608,720575940622825608,5,5.879599090308962e-05,3.051917e-05,3.0139923e-05,1.9223340975466066e-06,1.6955717689743253e-05,8.630984666524455e-06,8.377208359888755e-06,6.529767277400076e-07
720575940630692143,720575940630692143,2,0.0020854081958532,0.00044544903,0.0016399594,0.0002084387087961,0.0003791586495935,0.0002933825599029,8.57761042425409e-05,0.0002933825599029
720575940630692143,720575940630692143,3,0.0004467282560653,0.00024449517,0.000202233,1.9426917788223363e-05,3.650831422419287e-05,1.3905867490393575e-05,2.2602449462283403e-05,1.358109511784278e-05
720575940630692143,720575940630692143,4,0.0002432833436218,0.00017135119,8.867304e-05,3.8148060642211724e-06,1.370544786368212e-05,6.0203437897143885e-06,8.146209438564256e-06,1.003236912281713e-06
720575940630692143,720575940630692143,5,0.0001273011726338,6.8555484e-05,6.831456e-05,9.190707340101284e-07,8.397660648591132e-06,4.785235432791524e-06,3.790169103012886e-06,3.564647134349256e-07
720575940631780812,720575940631780812,2,0.0017166499746963,0.00087609875,0.00084055134,0.0,0.0003991854027844,0.0003801951534114,1.89902275451459e-05,0.0
720575940631780812,720575940631780812,3,0.0005062110722064,0.00030973193,0.00019647909,0.0,5.676496220985428e-05,3.358769754413515e-05,2.3177261027740315e-05,0.0
720575940631780812,720575940631780812,4,0.0001580129174237,8.8410336e-05,7.726392e-05,0.0,1.1033729122721047e-05,5.401788257586304e-06,8.215026355173904e-06,0.0
720575940631780812,720575940631780812,5,6.935754835839513e-05,3.8015478e-05,3.741299e-05,0.0,4.794535022069786e-06,2.611695435916772e-06,2.6479553980607307e-06,0.0
720575940612707811,720575940612707811,2,0.0009687431738711,0.00026302153,0.0007057219,0.0,0.0001081198788597,3.08924718410708e-05,7.722739974269643e-05,0.0
720575940612707811,720575940612707811,3,0.0002511420752853,0.00013371461,0.000117427524,0.0,0.00014563134755,6.519105227198452e-05,8.044026617426425e-05,0.0
720575940612707811,720575940612707811,4,0.0001613642463691,8.045051e-05,8.345919e-05,0.0,9.362421344985558e-05,4.475036985240877e-05,4.893015284324065e-05,0.0
