bodyId,cell_type,side,instance,idx,top_nt,sign
1690232290,Li18,right,Li18_R,14628,gaba,-1
1690232419,LC28a,noside,LC28a,14629,acetylcholine,1
1690266485,LC12,right,LC12(lVLPT7)_R,14630,gaba,-1
1690266547,PS273,right,PS273_R,14631,acetylcholine,1
1690274628,LC14,right,LC14_R,14632,acetylcholine,1
1690283437,LC14,right,LC14_R,14633,acetylcholine,1
1690283458,LC14,right,LC14_R,14634,acetylcholine,1
1690283476,LC14,right,LC14_R,14635,acetylcholine,1
1690598004,LC12,right,LC12(lVLPT7)_R,14636,gaba,-1
1690602927,LC34,right,LC34_R,14637,acetylcholine,1
1690620299,LC14,right,LC14_R,14638,acetylcholine,1
1690620322,LC14,right,LC14_R,14639,acetylcholine,1
1690694192,PVLP036,right,PVLP036_R,14640,gaba,-1
1690698128,PVLP036,right,PVLP036_R,14641,gaba,-1
1690706380,PVLP037,right,PVLP037_R,14642,gaba,-1
1690897627,LC20,noside,LC20,14643,glutamate,-1
1690902029,LC20,noside,LC20,14644,glutamate,-1
1690910458,LC28b,noside,LC28b,14645,acetylcholine,1
1690917721,LC17,noside,LC17,14646,gaba,-1
1690935369,LC20,noside,LC20,14647,glutamate,-1
1691233928,LC12,noside,LC12,14648,gaba,-1
1691259738,LPLC2,right,LPLC2_R,14649,acetylcholine,1
1691298247,PVLP066,right,PVLP066_R,14650,acetylcholine,1
1691303322,AVLP122,right,AVLP122_R,14651,acetylcholine,1
1691310419,PVLP026,right,PVLP026_R,14652,gaba,-1
1691405824,SAD049,right,SAD049_R,14653,acetylcholine,1
1691574966,LC12,noside,LC12,14654,gaba,-1
1691600238,MC64,noside,MC64,14655,acetylcholine,1
1691630995,PVLP078,right,PVLP078_R,14656,acetylcholine,1
1691635022,PVLP041,right,PVLP041_R,14657,gaba,-1
1691638475,PVLP086,right,PVLP086_R,14658,acetylcholine,1
1691686234,AVLP552,right,AVLP552_R,14659,glutamate,-1
1691941760,MC64,noside,MC64,14660,acetylcholine,1
1691972267,PVLP025,right,PVLP025_R,14661,gaba,-1
1691992939,AVLP126,right,AVLP126_R,14662,acetylcholine,1
1692014053,AVLP582,left,AVLP582_L,14663,glutamate,-1
1692278031,LC10,noside,LC10,14664,acetylcholine,1
1692299350,PVLP077,right,PVLP077_R,14665,acetylcholine,1
1692304756,PVLP086,right,PVLP086_R,14666,acetylcholine,1
1692462759,SAD034,right,SAD034_R,14667,glutamate,-1
1692614515,LC10,noside,LC10,14668,acetylcholine,1
1692619060,MC64,noside,MC64,14669,acetylcholine,1
1692627340,LT57,right,LT57_R,14670,acetylcholine,1
1692782686,AOTU062,right,AOTU062_R,14671,gaba,-1
1692817033,VA7l_adPN,right,VA7l_adPN_R,14672,acetylcholine,1
1693486219,M_lPNm13,right,M_lPNm13_R,14673,acetylcholine,1
1693577325,VM5d_adPN,left,VM5d_adPN_L,14674,acetylcholine,1
1693719111,AVLP257,right,AVLP257_R,14675,acetylcholine,1
1693798741,LAL019,right,LAL019_R,14676,acetylcholine,1
1693827279,M_adPNm8,right,M_adPNm8_R,14677,acetylcholine,1
1694462986,PLP235,right,PLP235_R,14678,acetylcholine,1
1694721025,PVLP031,right,PVLP031_R,14679,gaba,-1
1694725926,WED063_a,right,WED063_a_R,14680,acetylcholine,1
1694760595,AVLP551,right,AVLP551_R,14681,glutamate,-1
1694807145,LAL195,right,LAL195_R,14682,serotonin,1
1694850602,M_vPNml89,right,M_vPNml89_R,14683,gaba,-1
1695066320,WED110,right,WED110_R,14684,acetylcholine,1
1695143944,LAL166,right,LAL166_R,14685,acetylcholine,1
1695145055,PS057,right,PS057_R,14686,glutamate,-1
1695149590,WED183,right,WED183(SCB048)_R,14687,unknown,1
1695178970,PS270,right,PS270_R,14688,acetylcholine,1
1695693354,PVLP072,right,PVLP072_R,14689,acetylcholine,1
1695848572,LAL021,right,LAL021_R,14690,acetylcholine,1
1696159313,WED153,right,WED153_R,14691,acetylcholine,1
1696948638,ORN_DM4,left,ORN_DM4_L,14692,acetylcholine,1
1697104095,AVLP145,right,AVLP145_R,14693,acetylcholine,1
1697185831,LAL188,right,LAL188_R,14694,acetylcholine,1
1697263685,ORN_DP1l,left,ORN_DP1l_L,14695,acetylcholine,1
1697272285,ORN_DP1m,right,ORN_DP1m_R,14696,acetylcholine,1
1697276313,ORN_DP1m,right,ORN_DP1m_R,14697,acetylcholine,1
1697276582,ORN_DM1,left,ORN_DM1_L,14698,acetylcholine,1
1697276648,ORN_DM1,left,ORN_DM1_L,14699,acetylcholine,1
1697276695,ORN_DM1,left,ORN_DM1_L,14700,acetylcholine,1
1697280776,ORN_DP1m,right,ORN_DP1m_R,14701,acetylcholine,1
1697280847,ORN_DC4,right,ORN_DC4_R,14702,acetylcholine,1
1697280950,ORN_DM1,right,ORN_DM1_R,14703,acetylcholine,1
1697281203,ORN_DM4,right,ORN_DM4_R,14704,acetylcholine,1
1697285129,ORN_VL2p,left,ORN_VL2p_L,14705,acetylcholine,1
1697285165,ORN_DP1m,right,ORN_DP1m_R,14706,acetylcholine,1
1697285307,ORN_DM1,right,ORN_DM1_R,14707,acetylcholine,1
1697285520,ORN_DM4,left,ORN_DM4_L,14708,acetylcholine,1
1697285565,ORN_DM1,left,ORN_DM1_L,14709,acetylcholine,1
1697285571,ORN_DM4,left,ORN_DM4_L,14710,acetylcholine,1
1697285610,ORN_DM4,left,ORN_DM4_L,14711,acetylcholine,1
1697600363,ORN_DP1m,right,ORN_DP1m_R,14712,acetylcholine,1
1697604748,ORN_DP1m,right,ORN_DP1m_R,14713,acetylcholine,1
1697605071,ORN_DM1,left,ORN_DM1_L,14714,acetylcholine,1
1697608583,ORN_DP1m,left,ORN_DP1m_L,14715,acetylcholine,1
1697608860,ORN_DM1,left,ORN_DM1_L,14716,acetylcholine,1
1697609151,ORN_DM1,right,ORN_DM1_R,14717,acetylcholine,1
1697609381,ORN_DM4,right,ORN_DM4_R,14718,acetylcholine,1
1697613072,ORN_DM1,left,ORN_DM1_L,14719,acetylcholine,1
1697613132,ORN_DM1,right,ORN_DM1_R,14720,acetylcholine,1
1697613170,ORN_DM1,left,ORN_DM1_L,14721,acetylcholine,1
1697613300,ORN_DM1,left,ORN_DM1_L,14722,acetylcholine,1
1697613314,ORN_DM1,left,ORN_DM1_L,14723,acetylcholine,1
1697613458,ORN_DM2,right,ORN_DM2_R,14724,acetylcholine,1
1697613466,ORN_DM1,right,ORN_DM1_R,14725,acetylcholine,1
1697613506,ORN_DM4,left,ORN_DM4_L,14726,acetylcholine,1
1697613513,ORN_DM1,left,ORN_DM1_L,14727,acetylcholine,1
1697613611,ORN_DM2,right,ORN_DM2_R,14728,acetylcholine,1
1697613650,ORN_DM1,left,ORN_DM1_L,14729,acetylcholine,1
1697617556,ORN_DM1,left,ORN_DM1_L,14730,acetylcholine,1
1697617570,ORN_DM2,left,ORN_DM2_L,14731,acetylcholine,1
1697617587,ORN_DM2,left,ORN_DM2_L,14732,acetylcholine,1
1697621641,ORN_DM4,left,ORN_DM4_L,14733,acetylcholine,1
1697621973,ORN_DM2,left,ORN_DM2_L,14734,acetylcholine,1
1697621981,ORN_DM1,left,ORN_DM1_L,14735,acetylcholine,1
1697621991,ORN_DM2,right,ORN_DM2_R,14736,acetylcholine,1
1697630404,ORN_DP1m,left,ORN_DP1m_L,14737,acetylcholine,1
1697648168,ORN_DM4,left,ORN_DM4_L,14738,acetylcholine,1
1697859822,WED017,right,WED017_R,14739,acetylcholine,1
1697937875,ORN_DP1m,left,ORN_DP1m_L,14740,acetylcholine,1
1697941039,ORN_DM4,right,ORN_DM4_R,14741,acetylcholine,1
1697945551,ORN_DP1m,left,ORN_DP1m_L,14742,acetylcholine,1
1697945569,ORN_DM1,right,ORN_DM1_R,14743,acetylcholine,1
1697949646,ORN_DM6,left,ORN_DM6_L,14744,acetylcholine,1
1697949895,ORN_DM2,left,ORN_DM2_L,14745,acetylcholine,1
1697949977,ORN_DM2,left,ORN_DM2_L,14746,acetylcholine,1
1697953882,ORN_DM5,noside,ORN_DM5,14747,serotonin,1
1697954189,ORN_DM1,left,ORN_DM1_L,14748,acetylcholine,1
1697954208,ORN_DM2,left,ORN_DM2_L,14749,acetylcholine,1
1697958405,ORN_DM1,left,ORN_DM1_L,14750,acetylcholine,1
1697988867,ORN_DM1,right,ORN_DM1_R,14751,acetylcholine,1
1697993770,ORN_DM1,left,ORN_DM1_L,14752,acetylcholine,1
1698002425,ORN_DM1,left,ORN_DM1_L,14753,acetylcholine,1
1698274536,ORN_DM1,right,ORN_DM1_R,14754,acetylcholine,1
1698278095,ORN_DM1,left,ORN_DM1_L,14755,acetylcholine,1
1698278105,ORN_DP1m,left,ORN_DP1m_L,14756,acetylcholine,1
1698278346,ORN_DM1,left,ORN_DM1_L,14757,acetylcholine,1
1698286310,ORN_DM5,noside,ORN_DM5,14758,serotonin,1
1698334367,ORN_DM4,left,ORN_DM4_L,14759,acetylcholine,1
1698338840,ORN_DM4,left,ORN_DM4_L,14760,acetylcholine,1
1698338865,ORN_DM4,left,ORN_DM4_L,14761,acetylcholine,1
1698338958,ORN_DM4,left,ORN_DM4_L,14762,acetylcholine,1
1698343052,ORN_DM4,left,ORN_DM4_L,14763,acetylcholine,1
1698618777,ORN_DP1m,right,ORN_DP1m_R,14764,acetylcholine,1
1698618858,ORN_DM1,right,ORN_DM1_R,14765,acetylcholine,1
1698619179,ORN_DM1,right,ORN_DM1_R,14766,acetylcholine,1
1698619238,ORN_DM1,left,ORN_DM1_L,14767,acetylcholine,1
1698623120,ORN_DM1,right,ORN_DM1_R,14768,acetylcholine,1
1698623131,ORN_DM1,right,ORN_DM1_R,14769,acetylcholine,1
1698693312,ORN_DM1,right,ORN_DM1_R,14770,acetylcholine,1
1698796216,AVLP424,right,AVLP424_R,14771,gaba,-1
1698796218,AVLP423,right,AVLP423_R,14772,gaba,-1
1698796271,AVLP423,right,AVLP423_R,14773,gaba,-1
1698796278,AVLP424,right,AVLP424_R,14774,gaba,-1
1698800347,AVLP419,right,AVLP419_R,14775,gaba,-1
1698821941,AVLP549,right,AVLP549_R,14776,gaba,-1
1698905428,LAL049,right,LAL049_R,14777,gaba,-1
1699379523,ORN_DM1,left,ORN_DM1_L,14778,acetylcholine,1
1699633680,ORN_DM1,right,ORN_DM1_R,14779,acetylcholine,1
1699637626,ORN_DM1,right,ORN_DM1_R,14780,acetylcholine,1
1699698428,ORN_DM6,left,ORN_DM6_L,14781,acetylcholine,1
1699711025,ORN_DC2,right,ORN_DC2_R,14782,acetylcholine,1
1699711114,ORN_DC2,right,ORN_DC2_R,14783,acetylcholine,1
1699711405,ORN_DC4,left,ORN_DC4_L,14784,acetylcholine,1
1699715276,ORN_DC4,left,ORN_DC4_L,14785,acetylcholine,1
1699715494,ORN_DM3,left,ORN_DM3_L,14786,serotonin,1
1699719901,ORN_DC4,left,ORN_DC4_L,14787,acetylcholine,1
1699957886,ORN_DL2d,left,ORN_DL2d_L,14788,acetylcholine,1
1699961833,ORN_DL1,left,ORN_DL1_L,14789,acetylcholine,1
1699961883,ORN_DL1,left,ORN_DL1_L,14790,acetylcholine,1
1699961895,ORN_DL1,left,ORN_DL1_L,14791,acetylcholine,1
1699961956,ORN_DL1,left,ORN_DL1_L,14792,acetylcholine,1
1699962012,ORN_DL1,left,ORN_DL1_L,14793,acetylcholine,1
1699962040,ORN_DL1,right,ORN_DL1_R,14794,acetylcholine,1
1699962056,ORN_DL1,right,ORN_DL1_R,14795,acetylcholine,1
1699962188,ORN_DC4,left,ORN_DC4_L,14796,acetylcholine,1
1699974843,lLN2T_e,right,lLN2T_e(Tortuous)_R,14797,serotonin,1
1700052335,ORN_DC1,left,ORN_DC1_L,14798,acetylcholine,1
1700294219,ORN_DL1,left,ORN_DL1_L,14799,acetylcholine,1
1700298673,ORN_DL1,left,ORN_DL1_L,14800,acetylcholine,1
1700298962,ORN_DL2v,left,ORN_DL2v_L,14801,acetylcholine,1
1700299033,ORN_DM1,right,ORN_DM1_R,14802,acetylcholine,1
1700303013,ORN_DM1,right,ORN_DM1_R,14803,acetylcholine,1
1700303249,ORN_DM1,left,ORN_DM1_L,14804,acetylcholine,1
1700307582,M_l2PNl21,right,M_l2PNl21_R,14805,acetylcholine,1
1700328422,ORN_DM6,right,ORN_DM6_R,14806,acetylcholine,1
1700393451,ORN_DA2,noside,ORN_DA2,14807,acetylcholine,1
1700428338,DL5_adPN,left,DL5_adPN_L,14808,acetylcholine,1
1700596143,ORN_DL1,right,ORN_DL1_R,14809,acetylcholine,1
1700596168,ORN_DL2d,left,ORN_DL2d_L,14810,acetylcholine,1
1700600598,ORN_DL2v,left,ORN_DL2v_L,14811,acetylcholine,1
1700604830,ORN_DL1,left,ORN_DL1_L,14812,acetylcholine,1
1700604898,ORN_DL1,right,ORN_DL1_R,14813,acetylcholine,1
1700604950,ORN_DL1,right,ORN_DL1_R,14814,acetylcholine,1
1700604978,ORN_DL1,right,ORN_DL1_R,14815,acetylcholine,1
1700605059,ORN_DL2v,left,ORN_DL2v_L,14816,acetylcholine,1
1700605075,ORN_DL2v,left,ORN_DL2v_L,14817,acetylcholine,1
1700609155,ORN_DL1,right,ORN_DL1_R,14818,acetylcholine,1
1700609238,ORN_DL1,left,ORN_DL1_L,14819,acetylcholine,1
1700609292,ORN_DL1,left,ORN_DL1_L,14820,acetylcholine,1
1700609325,ORN_DL1,left,ORN_DL1_L,14821,acetylcholine,1
1700613376,ORN_DL1,left,ORN_DL1_L,14822,acetylcholine,1
1700613391,ORN_DL1,left,ORN_DL1_L,14823,acetylcholine,1
1700613524,ORN_DL1,left,ORN_DL1_L,14824,acetylcholine,1
1700613531,ORN_DL1,left,ORN_DL1_L,14825,acetylcholine,1
1700613639,ORN_DL1,left,ORN_DL1_L,14826,acetylcholine,1
1700613707,ORN_DL1,noside,ORN_DL1,14827,acetylcholine,1
1700617897,ORN_DL1,right,ORN_DL1_R,14828,acetylcholine,1
1700635321,ORN_DC4,left,ORN_DC4_L,14829,acetylcholine,1
1700635521,ORN_DL2d,left,ORN_DL2d_L,14830,acetylcholine,1
1700639697,ORN_DC4,right,ORN_DC4_R,14831,acetylcholine,1
1700639720,ORN_DC4,right,ORN_DC4_R,14832,acetylcholine,1
1700644008,v2LN3A,right,v2LN3a_R,14833,acetylcholine,1
1700652037,ORN_DC4,right,ORN_DC4_R,14834,acetylcholine,1
1700652765,ORN_DM1,left,ORN_DM1_L,14835,acetylcholine,1
1700657154,ORN_DM1,left,ORN_DM1_L,14836,acetylcholine,1
1700739144,ORN_DM3,right,ORN_DM3_R,14837,serotonin,1
1700743216,ORN_DM3,left,ORN_DM3_L,14838,serotonin,1
1700932816,ORN_DL1,right,ORN_DL1_R,14839,acetylcholine,1
1700932879,ORN_DL1,left,ORN_DL1_L,14840,acetylcholine,1
1700937093,DL1_adPN,right,DL1_adPN_R,14841,acetylcholine,1
1700937308,ORN_DL2d,left,ORN_DL2d_L,14842,acetylcholine,1
1700941352,ORN_DL1,right,ORN_DL1_R,14843,acetylcholine,1
