bodyId,cell_type,side,idx
5813047637,LC10,noside,21204
5813047644,AVLP438,right,21205
5813047647,ER2_c,right,21206
5813047655,PLP212,right,21207
5813047662,KCg-m,right,21208
5813047676,KCa'b'-ap2,right,21209
5813047683,LHPV6q1,right,21210
5813047685,SLP357,right,21211
5813047691,lLN1_c,right,21212
5813047713,SLP280,right,21213
5813047717,PI1_b,noside,21214
5813047739,SMP367,right,21215
5813047763,FB5AB,right,21216
5813047772,DGI,right,21217
5813047774,LHPD1b1,right,21218
5813047784,PAM05,left,21219
5813047790,KCa'b'-ap1,right,21220
5813047793,ER4m,left,21221
5813047809,PS118,right,21222
5813047832,AVLP475,right,21223
5813047907,PI1_a,noside,21224
5813047935,SAD093,right,21225
5813047970,AVLP439,right,21226
5813047990,AVLP190,right,21227
5813047992,LPLC1,right,21228
5813048007,PS095,right,21229
5813048042,Delta7,left,21230
5813048055,PLP122,right,21231
5813048096,CL283,right,21232
5813048099,LHPV5b6,right,21233
5813048127,CL235,right,21234
5813048182,hDeltaB,noside,21235
5813048214,PAM06_b,left,21236
5813048229,CL171,right,21237
5813048234,DNp24,left,21238
5813048244,CRE075,left,21239
5813048265,WED162,right,21240
5813048268,LT52,right,21241
5813048297,LHAV2c1,right,21242
5813048298,LHPV4a7_c,right,21243
5813048319,LHAV2b1,right,21244
5813048346,LHPV5b2_b,right,21245
5813048443,PVLP006,right,21246
5813048447,LC10,noside,21247
5813048450,LC10,noside,21248
5813048451,LC10,noside,21249
5813048452,LC10,noside,21250
5813048521,CL226,right,21251
5813048522,CL224,right,21252
5813048530,FB7D,left,21253
5813048536,vDeltaA_a,noside,21254
5813048646,CL222,right,21255
5813048647,CL226,right,21256
5813048648,CL222,right,21257
5813048670,LC6,noside,21258
5813048692,AVLP129,right,21259
5813048693,AVLP138,right,21260
5813048745,CL300,right,21261
5813048755,PFGs,noside,21262
5813048837,PLP232,right,21263
5813048880,LC10,noside,21264
5813048896,ER2_c,right,21265
5813048920,LC12,right,21266
5813049045,LHAV7b2,right,21267
5813049102,IB053,right,21268
5813049105,LHPV1c2,right,21269
5813049136,SMP308,right,21270
5813049185,VS,noside,21271
5813049193,LC9,right,21272
5813049298,ORN_VL1,right,21273
5813049372,PS277,right,21274
5813049378,SMP311,right,21275
5813049380,SIP029,right,21276
5813049438,SMP285,left,21277
5813049443,LT82b,right,21278
5813049445,FC2A,right,21279
5813049472,DC4_adPN,left,21280
5813049491,ATL011,right,21281
5813049627,AVLP370,right,21282
5813049745,ORN_VC5,noside,21283
5813049824,FB6E,right,21284
5813049834,KCa'b'-ap1,right,21285
5813049870,LAL072,right,21286
5813049879,LPC1,noside,21287
5813049907,SLP390,right,21288
5813049920,LHPV6g1,right,21289
5813049931,ER5,left,21290
5813049934,ORN_VC5,noside,21291
5813049946,PLP124,right,21292
5813049948,ER4m,left,21293
5813049966,OA-ASM1,left,21294
5813050000,PFNa,noside,21295
5813050013,DM2_lPN,left,21296
5813050022,ORN_VC5,noside,21297
5813050102,LC9,noside,21298
5813050145,LC9,right,21299
5813050276,ORN_VA1v,noside,21300
5813050455,DNp32,right,21301
5813050499,AVLP082,right,21302
5813050604,LC10,noside,21303
5813050676,ORN_VC3l,right,21304
5813050720,ORN_VC5,noside,21305
5813050727,VM7d_adPN,right,21306
5813050729,VA7m_lPN,right,21307
5813050739,ORN_VM1,noside,21308
5813050747,FB6C_b,left,21309
5813050750,ORN_VC5,noside,21310
5813050751,ORN_VC5,noside,21311
5813050758,FB6T,right,21312
5813050765,KCa'b'-ap2,right,21313
5813050767,ER4m,right,21314
5813050772,PLP032,left,21315
5813050779,DNp16/17,right,21316
5813050791,PS059,right,21317
5813050818,KCab-m,right,21318
5813050820,KCab-m,right,21319
5813050827,LPLC2,right,21320
