pre,post,plen,threshold_0,threshold_0.001,threshold_0.01,threshold_0.03,threshold_0.05,threshold_0.1
AN_GNG_125,DNp17,3,False,False,False,False,False,False
AN_GNG_125,DNp17,4,False,False,False,False,False,False
AN_GNG_125,DNp17,5,False,False,False,False,False,False
AN_GNG_125,CB0426,2,False,False,False,False,False,False
AN_GNG_125,CB0426,3,False,False,False,False,False,False
AN_GNG_125,CB0426,4,False,False,False,False,False,False
AN_GNG_125,CB0426,5,False,False,False,False,False,False
AN_GNG_125,LHPV10c1,2,False,False,False,False,False,False
AN_GNG_125,LHPV10c1,3,False,False,False,False,False,False
AN_GNG_125,LHPV10c1,4,False,False,False,False,False,False
AN_GNG_125,LHPV10c1,5,False,False,False,False,False,False
AN_GNG_125,SAD012,2,False,False,False,False,False,False
AN_GNG_125,SAD012,3,False,False,False,False,False,False
AN_GNG_125,SAD012,4,False,False,False,False,False,False
AN_GNG_125,SAD012,5,False,False,False,False,False,False
AN_GNG_125,LT76,2,False,False,False,False,False,False
AN_GNG_125,LT76,3,False,False,False,False,False,False
AN_GNG_125,LT76,4,False,False,False,False,False,False
AN_GNG_125,LT76,5,False,False,False,False,False,False
AN_GNG_125,"FC1A,FC1B,FC1F",2,False,False,False,False,False,False
AN_GNG_125,"FC1A,FC1B,FC1F",3,False,False,False,False,False,False
AN_GNG_125,"FC1A,FC1B,FC1F",4,False,False,False,False,False,False
AN_GNG_125,"FC1A,FC1B,FC1F",5,False,False,False,False,False,False
AN_GNG_125,AN_GNG_131,2,False,False,False,False,False,False
AN_GNG_125,AN_GNG_131,3,False,False,False,False,False,False
AN_GNG_125,AN_GNG_131,4,False,False,False,False,False,False
AN_GNG_125,AN_GNG_131,5,False,False,False,False,False,False
AN_GNG_125,SLP406,2,False,False,False,False,False,False
AN_GNG_125,SLP406,3,False,False,False,False,False,False
AN_GNG_125,SLP406,4,False,False,False,False,False,False
AN_GNG_125,SLP406,5,False,False,False,False,False,False
AN_GNG_125,CB3329,2,False,False,False,False,False,False
AN_GNG_125,CB3329,3,False,False,False,False,False,False
AN_GNG_125,CB3329,4,False,False,False,False,False,False
AN_GNG_125,CB3329,5,False,False,False,False,False,False
AN_GNG_125,CB2714,2,False,False,False,False,False,False
AN_GNG_125,CB2714,3,False,False,False,False,False,False
AN_GNG_125,CB2714,4,False,False,False,False,False,False
AN_GNG_125,CB2714,5,False,False,False,False,False,False
AN_GNG_125,AN_GNG_127,2,False,False,False,False,False,False
AN_GNG_125,AN_GNG_127,3,False,False,False,False,False,False
AN_GNG_125,AN_GNG_127,4,False,False,False,False,False,False
AN_GNG_125,AN_GNG_127,5,False,False,False,False,False,False
AN_GNG_125,DNge064,2,False,False,False,False,False,False
AN_GNG_125,DNge064,3,False,False,False,False,False,False
AN_GNG_125,DNge064,4,False,False,False,False,False,False
AN_GNG_125,DNge064,5,False,False,False,False,False,False
AN_GNG_125,CB1528,2,False,False,False,False,False,False
AN_GNG_125,CB1528,3,False,False,False,False,False,False
AN_GNG_125,CB1528,4,False,False,False,False,False,False
AN_GNG_125,CB1528,5,False,False,False,False,False,False
AN_GNG_125,SLP286b,2,False,False,False,False,False,False
AN_GNG_125,SLP286b,3,False,False,False,False,False,False
