glomerulus,OilBl,E2Hex,GerAc,Prpyl,IPenA,Et3HB,Nonnl,CiVAc,MetSl,HexAc,PeEtA,AceAc,EtHex,2PnAc,5OdMx,BeZal,bCitr,1HxOl,Frnsl,WatBl,Cdvrn,Sprmn,Acoin,MtAct,AcAcd,PrpnA,BtrAc,Amnia,Pyrdn,PAcHd,HCL36,PAcAc,Vingr,Geosn,VinGe,PEtAm,ClrBL,ClrB2,FlyFM,EtAmn,Ptscn,Lnlol,23BTD,Sprdn,CO21P
DM3,-0.022857142857142857,0.011428571428571429,0.04,1.0,0.8514285714285714,0.022857142857142857,-0.005714285714285714,0.02857142857142857,0.04,0.0,-0.017142857142857144,0.045714285714285714,0.46285714285714286,-0.017142857142857144,0.22285714285714286,0.02857142857142857,0.0,-0.005714285714285714,0.011428571428571429,0.0,0.017142857142857144,0.0,-0.022857142857142857,0.0,-0.011428571428571429,0.0,-0.005714285714285714,0.022857142857142857,0.005714285714285714,-0.017142857142857144,0.014285714285714285,0.0,0.005714285714285714,0.0,-0.011428571428571429,0.011428571428571429,0.0,0.011428571428571429,-0.008571428571428572,0.011428571428571429,-0.005714285714285714,0.011428571428571429,0.011428571428571429,0.017142857142857144,
DM6,0.1381523474175076,0.0437581677940135,0.06414115819455625,0.3295345543754486,0.7322595704948647,0.13594120105130303,0.02597373332642658,0.05554997612296039,0.06335074731238546,0.010718509990030161,0.06846877383761239,0.13266587006957314,0.8440365473405181,0.028854725870793296,0.2168500974033228,0.04413284214761293,0.05351455369302313,0.1328203613383095,0.07090194401990259,0.019547434229085572,0.03182044182965734,-0.032293620789728215,0.13903713222122185,0.12411431851581768,0.08157632929232143,0.08162746752179668,0.27170761807092847,0.015135402853784556,0.23759827169156889,0.12024767099681244,0.042667474461067965,0.09444892607419317,0.028204329684149477,0.03886167708795841,-0.054173528604541034,0.04185856588149397,-0.05637389344539906,0.08332339095895189,0.07615468700140002,0.27315467878648175,0.09822992325814295,0.05600682524095324,0.06237892733920978,0.055288787975786034,0.03488069784601637
VA1d,0.39285714285714285,0.14285714285714285,0.0,0.32142857142857145,-0.07142857142857142,0.14285714285714285,-0.03571428571428571,0.35714285714285715,0.17857142857142858,0.5,0.10714285714285714,0.17857142857142858,0.2857142857142857,0.7142857142857143,0.17857142857142858,0.32142857142857145,0.2857142857142857,0.25,0.5,-0.35714285714285715,0.42857142857142855,0.32142857142857145,0.2857142857142857,0.07142857142857142,0.35714285714285715,0.14285714285714285,0.39285714285714285,0.21428571428571427,0.03571428571428571,1.0,0.8928571428571429,0.6785714285714286,-0.07142857142857142,0.5357142857142857,0.6785714285714286,0.42857142857142855,,,,,,,,,
VA1lm,0.013392857142857144,0.07802579365079365,0.0314484126984127,0.12951388888888887,0.029563492063492063,0.06994047619047619,0.11254960317460318,0.16919642857142858,-0.005158730158730161,0.11001984126984127,0.05238095238095238,0.03179563492063493,0.2588789682539682,0.02361111111111111,0.1357638888888889,0.2987528344671202,0.18684807256235827,0.30612244897959184,0.11757369614512471,0.1509424603174603,0.21485260770975056,0.10532879818594103,0.18244047619047618,0.14905753968253968,0.0003472222222222236,0.09818948412698413,0.2195436507936508,0.575595238095238,0.1978174603174603,0.2805059523809524,0.03606150793650794,0.0890376984126984,0.1078125,0.06498015873015874,0.13591269841269843,0.24002976190476188,0.16342592592592592,0.3248677248677248,0.21428571428571427,0.2871693121693122,0.337037037037037,0.14332010582010582,0.27976190476190477,0.20039682539682538,0.3236111111111111
VA3,0.043864892204782055,0.013582997406758224,0.06324054975510522,0.016200946366170598,0.06347911584732986,0.3660555023318487,0.15969533206354608,0.05791035949965927,0.15569632944896358,0.25962592877039226,0.9135135135135135,0.1114884502741174,0.191718486800664,0.1772899476273941,0.18044660805483012,0.11446862845761352,0.10303278663624849,0.22537903116278865,0.03634746807052079,0.017491268946815762,0.027190985523007555,0.05294972391746585,0.04307928474726272,0.047380360016079925,0.1044179455023605,0.1312268635950776,0.03670845338688884,0.11938790703408442,0.02256320836965998,0.10173786689915723,0.10435672647676808,0.052851867265714635,0.12433329657989542,0.1572147104955917,0.20323570174105304,0.19734640646453844,0.07410415627140479,0.025930401628166615,0.07045986682066373,0.5308868547576644,0.3439693669177833,0.04967427055760146,0.20113478740476834,0.14415716462069392,0.23280054247796186
VA4,0.01953125,0.01953125,0.0703125,0.078125,0.00390625,0.03125,0.08984375,0.03515625,0.03125,0.3203125,0.04296875,0.01171875,0.0234375,1.0,-0.01171875,-0.0390625,0.12109375,-0.06640625,0.078125,0.0625,0.05859375,0.05859375,0.05078125,0.0859375,0.0546875,0.12890625,0.0625,0.09375,0.06640625,0.1328125,0.01171875,0.09765625,0.046875,0.09765625,0.125,0.23828125,0.01171875,0.078125,0.11328125,0.0,0.05078125,-0.015625,0.0390625,0.140625,0.02734375
VA7m,0.26176470588235295,0.11764705882352941,0.12941176470588237,0.11764705882352941,0.14411764705882354,0.3647058823529412,0.5205882352941176,0.27941176470588236,0.24705882352941178,0.14705882352941177,-0.04411764705882353,0.08823529411764706,0.5882352941176471,0.017647058823529405,0.21764705882352942,0.058823529411764705,0.3764705882352941,-0.41764705882352937,0.6352941176470588,0.3647058823529412,0.12058823529411763,0.0,0.43529411764705883,0.25882352941176473,0.21764705882352942,0.3205882352941176,0.41764705882352937,0.29117647058823526,0.17058823529411765,0.17647058823529413,0.029411764705882353,0.07647058823529412,0.34411764705882353,0.12941176470588237,0.15588235294117647,0.023529411764705882,0.1588235294117647,0.6,0.23529411764705882,0.29411764705882354,0.3235294117647059,0.26176470588235295,0.2823529411764706,0.3176470588235294,
VC5,0.13865546218487396,0.5294117647058824,0.06722689075630252,0.06722689075630252,0.025210084033613446,0.037815126050420166,0.008403361344537815,0.058823529411764705,0.3403361344537815,0.907563025210084,0.058823529411764705,0.025210084033613446,0.06722689075630252,0.058823529411764705,0.15126050420168066,0.44537815126050423,0.6050420168067226,0.06302521008403361,0.6512605042016807,0.01680672268907563,0.5966386554621849,0.6596638655462185,0.453781512605042,0.3697478991596639,0.025210084033613446,0.04201680672268908,-0.01680672268907563,0.18487394957983194,0.5126050420168067,0.42016806722689076,0.0,0.01680672268907563,0.03361344537815126,0.029411764705882353,0.025210084033613446,0.025210084033613446,0.0,0.09243697478991597,0.42016806722689076,1.0,0.05042016806722689,0.6722689075630253,0.025210084033613446,0.3025210084033613,
VM2,0.028134355255619543,0.12420215555848439,0.13288082922923677,0.70282821789413,0.5246975386179572,0.7632402503610978,0.17219105858345685,0.08591963143374855,0.20598070648738645,0.20907334834208843,0.2537159893450391,0.8901303538175046,0.10190162451394137,0.12138913470133565,0.6466665366625155,0.04842643423717599,0.03531910191339213,0.30473073898842423,0.04393355801636976,0.006937626698011116,0.043070151136550085,0.05818145262155613,0.2204665311037173,0.18456935900780833,0.15105753894072618,0.1728285272143517,0.07990402555612637,0.021533730697745727,0.21022926456203395,0.19451803874840967,0.06074925875219326,0.1416223755972346,0.02770074658245984,0.03219788155994222,0.033043917195424925,0.14899293853314075,0.02549403818894355,0.022780986041140486,0.20394210691003445,0.035386793730034276,0.05250441789968879,0.2350824719437593,0.12044682875046286,0.20082144691930512,0.0624664342730392
VM3,0.037821482602118005,-0.012102874432677761,0.059001512859304085,0.024205748865355523,0.0226928895612708,0.3434190620272315,0.1951588502269289,0.0529500756429652,0.24357034795763993,0.3086232980332829,0.26021180030257185,1.0,0.037821482602118005,0.07261724659606657,0.8350983358547656,0.03328290468986384,0.01361573373676248,-0.04387291981845688,0.03328290468986384,0.036308623298033284,0.015128593040847202,0.04387291981845688,0.0030257186081694403,0.03479576399394856,0.01059001512859304,0.08169440242057488,-0.030257186081694403,0.028744326777609682,0.0015128593040847202,0.01664145234493192,0.02723146747352496,0.08169440242057488,0.08018154311649017,0.06202723146747353,0.0453857791225416,0.35098335854765506,0.0045385779122541605,0.04236006051437216,0.0680786686838124,0.04387291981845688,0.0680786686838124,-0.007564296520423601,0.35098335854765506,0.0453857791225416,0.006051437216338881
VM7d,0.10193353061811147,0.2739880139096067,0.05462708262109191,0.7978844187756713,0.22460099252398041,0.21830801204341435,0.41750444411678966,0.17490885820911256,0.10842792331865854,0.1633920676011499,0.03486055666138858,0.07697035845715439,-0.03164873849554288,0.07909024060984648,0.16397833991064376,0.7780332056194126,0.027389456634617608,0.18791803293685672,0.08574547786529267,0.007948846247666725,0.038888115097668076,0.05063946997435551,0.1844363489177922,0.15590184926171896,0.05925427406823387,0.056440588240650125,0.08560587497183043,0.013287637353009021,0.026017901587094196,0.1257975691140465,0.08316163886809949,0.1207746731161687,0.045222886690378473,0.05691070334498625,0.06429271508036405,0.15920714280923134,0.11270986742792188,0.13654603710131363,0.09836307019120852,0.041227234521363745,0.055830487763798495,0.10948443606205852,0.04748405849692394,0.07236820135734291,0.4604612705573614
VM7v,0.04088273363038776,0.014718088133713409,0.03705265500501036,0.5653171120861588,0.5527640492799025,0.21193138885916182,0.06307552268282954,0.039603236952792345,0.10975680695678118,0.0881546405836017,0.1826885736198806,0.1538142388304617,0.820630081300813,0.013929087984537597,0.14227561202616412,0.05850488550757067,0.04215564306121721,0.12950978114936712,0.04073254440412374,0.16072770632472977,0.18163066178926648,0.07634061619335779,0.10149781830387111,0.05910685851972202,0.13828237236550667,0.07530038858675384,0.08543729995038284,0.25149120065442776,0.0815906011947036,0.09527509963970801,0.19027439632443793,0.05893427265445371,0.07166838340451614,0.05047275149905468,-0.03844220937472638,0.07963130065086052,0.09289902906009515,0.1502919366424418,0.04484541860027695,0.23517504645529105,0.19721000710206543,0.10315182529567618,0.03538349734564358,0.160351827890038,0.21797594783387006
