cell_type,OilBl,E2Hex,GerAc,Prpyl,IPenA,Et3HB,Nonnl,CiVAc,MetSl,HexAc,PeEtA,AceAc,EtHex,2PnAc,5OdMx,BeZal,bCitr,1HxOl,Frnsl,WatBl,Cdvrn,Sprmn,Acoin,MtAct,AcAcd,PrpnA,BtrAc,Amnia,Pyrdn,PAcHd,HCL36,PAcAc,Vingr,Geosn,VinGe,PEtAm,ClrBL,ClrB2,FlyFM,EtAmn,Ptscn,Lnlol,23BTD,Sprdn,CO21P
LHPV4a7,0.1557377049180328,1.0,0.11475409836065574,0.14754098360655737,-0.03278688524590164,-0.19672131147540983,0.2786885245901639,0.11475409836065574,0.09836065573770492,0.16393442622950818,0.16393442622950818,-0.02459016393442623,-0.01639344262295082,0.06557377049180328,0.22950819672131148,0.3442622950819672,0.02459016393442623,-0.11475409836065574,0.10655737704918032,0.13934426229508196,0.12295081967213115,0.32786885245901637,-0.00819672131147541,0.18032786885245902,0.4426229508196721,0.8852459016393442,0.5327868852459017,-0.02459016393442623,0.2540983606557377,0.23770491803278687,0.3770491803278688,0.13114754098360656,0.05737704918032787,0.23770491803278687,0.12295081967213115,0.4098360655737705,-0.040983606557377046,-0.01639344262295082,0.13114754098360656,0.040983606557377046,0.36065573770491804,0.319672131147541,0.22131147540983606,0.00819672131147541,0.9672131147540983
"LHPV4a2, LHPV4a3",0.12121212121212122,0.6262626262626263,0.9595959595959596,0.43434343434343436,0.2828282828282828,0.48484848484848486,1.0,0.9696969696969697,0.32323232323232326,0.12121212121212122,0.6464646464646465,0.2222222222222222,0.18181818181818182,0.494949494949495,0.1717171717171717,0.5050505050505051,0.2828282828282828,0.18181818181818182,0.26262626262626265,0.020202020202020204,0.48484848484848486,0.8080808080808081,0.5656565656565656,0.48484848484848486,0.48484848484848486,0.48484848484848486,0.5858585858585859,0.9090909090909091,0.3434343434343434,0.797979797979798,0.6666666666666666,0.9494949494949495,0.8383838383838383,0.6262626262626263,0.7272727272727273,0.9696969696969697,0.020202020202020204,0.06060606060606061,0.5252525252525253,0.5252525252525253,0.40404040404040403,0.35353535353535354,0.1919191919191919,0.37373737373737376,
"LHPV4a2, LHPV4a3",0.17582417582417584,0.7472527472527473,0.21428571428571427,0.21978021978021978,0.08241758241758242,0.23076923076923078,0.24175824175824176,0.17032967032967034,0.38461538461538464,0.32967032967032966,0.0989010989010989,0.10989010989010989,0.45604395604395603,0.0989010989010989,0.23076923076923078,0.46153846153846156,0.23076923076923078,0.3956043956043956,0.22527472527472528,0.03296703296703297,0.8131868131868132,0.6813186813186813,0.47802197802197804,0.7032967032967034,0.7142857142857143,0.6263736263736264,0.554945054945055,0.8901098901098901,0.16483516483516483,0.6483516483516484,0.42857142857142855,0.3516483516483517,0.521978021978022,0.33516483516483514,0.27472527472527475,1.0,0.06593406593406594,0.04395604395604396,0.46153846153846156,0.8296703296703297,0.43956043956043955,0.23626373626373626,0.26373626373626374,0.2802197802197802,
LHPV4a6,0.0,0.9142857142857143,0.0,0.0,0.11428571428571428,0.9142857142857143,0.42857142857142855,0.0,0.08571428571428572,0.6571428571428571,0.08571428571428572,0.05714285714285714,0.0,0.05714285714285714,0.17142857142857143,0.6,0.14285714285714285,0.37142857142857144,0.11428571428571428,0.0,0.5142857142857142,0.0,0.3142857142857143,0.02857142857142857,0.11428571428571428,0.11428571428571428,0.14285714285714285,0.6285714285714286,0.11428571428571428,0.0,0.02857142857142857,0.08571428571428572,0.17142857142857143,0.22857142857142856,0.11428571428571428,0.5142857142857142,0.0,0.22857142857142856,0.0,1.0,0.02857142857142857,0.08571428571428572,0.2857142857142857,0.5142857142857142,0.0
LHPV4a6,0.029585798816568046,1.0,0.2514792899408284,0.22485207100591717,0.11834319526627218,0.39644970414201186,0.3816568047337278,0.20118343195266272,0.13609467455621302,0.1893491124260355,0.047337278106508875,0.09467455621301775,0.09467455621301775,0.07100591715976332,0.07692307692307693,0.1242603550295858,0.20118343195266272,0.1242603550295858,0.047337278106508875,0.0,0.3431952662721893,0.1952662721893491,0.17159763313609466,0.11242603550295859,0.21893491124260356,0.15976331360946747,0.17751479289940827,0.25443786982248523,0.3905325443786982,0.023668639053254437,0.011834319526627219,0.05917159763313609,0.10650887573964497,0.0650887573964497,0.09467455621301775,0.1301775147928994,0.005917159763313609,0.1242603550295858,0.08284023668639054,0.31952662721893493,0.25443786982248523,0.09467455621301775,0.08284023668639054,0.10059171597633136,0.047337278106508875
LHPV4a6,0.04411764705882353,0.9264705882352942,0.022058823529411766,0.10294117647058823,0.029411764705882353,0.20588235294117646,0.10294117647058823,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.20588235294117646,0.16176470588235295,0.29411764705882354,0.04411764705882353,0.0,0.3382352941176471,0.16176470588235295,0.3235294117647059,0.3088235294117647,0.2647058823529412,0.3235294117647059,0.3088235294117647,0.9264705882352942,0.08823529411764706,0.11764705882352941,0.10294117647058823,0.1323529411764706,0.058823529411764705,0.17647058823529413,0.1323529411764706,0.7352941176470589,0.0,0.1323529411764706,0.16176470588235295,1.0,0.20588235294117646,0.11764705882352941,0.2647058823529412,0.25,0.0
LHAV4a1,0.0,0.0,0.0898876404494382,0.16853932584269662,0.8202247191011236,0.033707865168539325,0.0,0.011235955056179775,0.20786516853932585,0.15730337078651685,0.2696629213483146,0.6853932584269663,1.0,0.07865168539325842,0.797752808988764,0.011235955056179775,0.0056179775280898875,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,-0.02247191011235955,0.0,0.0,0.0,0.0,0.033707865168539325,0.02247191011235955,0.0,0.011235955056179775,0.011235955056179775,-0.011235955056179775,0.033707865168539325,0.0,0.0,0.0,0.0,0.0,0.016853932584269662,0.0,0.07865168539325842,0.0
LHAV4a1,0.09174311926605505,0.30275229357798167,0.5321100917431193,0.6880733944954128,0.9862385321100917,0.8073394495412844,0.07339449541284404,0.3669724770642202,0.6605504587155964,0.7798165137614679,0.3119266055045872,0.06422018348623854,0.8486238532110092,0.19724770642201836,0.2889908256880734,0.5596330275229358,0.23394495412844038,0.15137614678899083,0.13761467889908258,0.009174311926605505,0.11009174311926606,0.06880733944954129,0.013761467889908258,0.06422018348623854,0.12844036697247707,0.03669724770642202,-0.027522935779816515,0.045871559633027525,0.09174311926605505,0.009174311926605505,0.08256880733944955,0.0779816513761468,0.11009174311926606,0.027522935779816515,0.10091743119266056,0.24770642201834864,0.0,0.045871559633027525,0.1834862385321101,0.23853211009174313,0.23853211009174313,0.05504587155963303,0.09174311926605505,0.45871559633027525,1.0
LHAV4a1,0.0,0.0,0.057971014492753624,0.22705314009661837,0.7391304347826086,0.07729468599033816,0.00966183574879227,0.07729468599033816,0.2222222222222222,0.2222222222222222,0.34782608695652173,0.5652173913043478,1.0,0.21497584541062803,0.8405797101449275,0.03864734299516908,0.01932367149758454,0.05314009661835749,0.0,0.0,0.0,0.0,0.004830917874396135,0.00966183574879227,0.004830917874396135,0.0,0.0,0.0,0.0,0.004830917874396135,0.004830917874396135,0.01932367149758454,0.004830917874396135,0.03864734299516908,0.00966183574879227,0.01932367149758454,0.0,0.014492753623188406,0.00966183574879227,0.178743961352657,0.0,0.0,0.2028985507246377,0.18357487922705315,0.028985507246376812
LHAV4a1,-0.03225806451612903,0.010752688172043012,0.34408602150537637,0.8602150537634409,0.6666666666666666,0.6451612903225806,0.0,0.1827956989247312,0.2903225806451613,0.24731182795698925,0.22580645161290322,0.25806451612903225,1.0,0.08602150537634409,0.27956989247311825,0.12365591397849462,0.010752688172043012,0.010752688172043012,0.021505376344086023,0.021505376344086023,0.043010752688172046,0.053763440860215055,0.010752688172043012,0.5161290322580645,0.06451612903225806,0.021505376344086023,0.10752688172043011,0.010752688172043012,0.15053763440860216,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.021505376344086023,0.010752688172043012,0.0967741935483871,0.06451612903225806,-0.005376344086021506,0.0,0.0,0.10752688172043011,0.0967741935483871,0.08602150537634409,0.1935483870967742,0.20430107526881722,
