,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,ito_lee_hemilineage,hartenstein_hemilineage,idx,sign,coords
4072,720575940620024534,PEG,right,acetylcholine,central,CX,,DM1_CX_d2,DPMm1_CX_d2,41647,1,
4073,720575940636833392,CB1489,left,acetylcholine,central,,,DL1_dorsal,CP2_dorsal,121583,1,
4074,720575940637450074,CB1819,left,acetylcholine,central,,,VLPl&p1_lateral,BLVp2_anterior,122944,1,
4075,720575940630390981,LLPC3,left,acetylcholine,visual_projection,,,,,98742,1,
4076,720575940618022469,CB1804,right,acetylcholine,central,,,VLPl2_posterior,BLAv2_posterior,33332,1,
4077,720575940626844815,LC12,left,acetylcholine,visual_projection,,,,,78962,1,
4078,720575940624419820,KCg-m,left,acetylcholine,central,Kenyon_Cell,,MBp2,MBp2,66546,1,
4079,720575940637330142,PEG,left,acetylcholine,central,CX,,DM3_CX_d2,DPMpm2_CX_d2,122696,1,
4080,720575940606432177,CL179,right,glutamate,central,,,SMPp&v1_posterior,DPLc5_anterior,3227,-1,
4081,720575940629736310,CB1820,right,glutamate,central,,,SLPal3_and_SLPal4_dorsal,BLAd3_and_BLAd4_dorsal,95354,-1,
4082,720575940615833574,LC10a,right,acetylcholine,visual_projection,,,VPNd2,,25233,1,
4083,720575940629806807,CB1821,right,gaba,central,,,SLPav3,BLVa2a,95709,-1,
4084,720575940637832937,LHAV2b7_b,right,acetylcholine,central,,,VLPl2_posterior,BLAv2_posterior,123873,1,
4085,720575940631299923,WED082,left,gaba,central,,,WEDd2,BAmd2,103691,-1,
4086,720575940628022141,SLP289,left,glutamate,central,,,SLPpm1,DPLm1,86082,-1,
4087,720575940618291520,DNge060,right,glutamate,descending,,,putative_primary,putative_primary,34622,-1,
4088,720575940618648955,WEDPN9,left,acetylcholine,central,,,putative_primary,putative_primary,36102,1,
4089,720575940628250761,MTe03,right,acetylcholine,visual_projection,,,,,87417,1,
4090,720575940606335106,KCg-m,left,acetylcholine,central,Kenyon_Cell,,MBp1,MBp1,3100,1,
4091,720575940627170715,LAL094,left,glutamate,central,,,AOTUv3_ventral,DALcl1_ventral,81042,-1,
4092,720575940620031308,PVLP033,left,gaba,central,,,VLPa2,DALv1,41685,-1,
4093,720575940643324196,WED002c,left,acetylcholine,central,,,AOTUv1_ventral,DALcm2_ventral,132713,1,
4094,720575940629512195,SMP158,right,acetylcholine,central,,,SMPad2,DAMd2_or_3,94301,1,
4095,720575940620473889,"FS4A,FS4B,FS4C",left,acetylcholine,central,CX,columnar,DM4_CX_d1,CM4_CX_d1,43786,1,
4096,720575940630682428,cLP02,left,gaba,visual_centrifugal,,,,,100287,-1,
4097,720575940624988168,LCe03,right,glutamate,visual_projection,,,,,69480,-1,
4098,720575940612910503,CB1822,right,acetylcholine,central,,,,,15705,1,
4099,720575940634989560,KCab,right,acetylcholine,central,Kenyon_Cell,,MBp1,MBp1,116975,1,
4100,720575940632717408,CB1823,right,glutamate,central,,,SMPp&v1_posterior,DPLc5_anterior,110092,-1,
4101,720575940616424927,SMP229,right,glutamate,central,,,SLPpl1,DPLl1,27365,-1,
4102,720575940603854182,SLP405,left,acetylcholine,central,,,DM6_dorso_lateral,CM3_dorso_lateral,352,1,
4103,720575940633675603,LTe14,left,acetylcholine,visual_projection,,,,,113611,1,
4104,720575940637681267,ER3w,right,gaba,central,CX,ring neuron,EBa1,DALv2,123534,-1,
4105,720575940620295777,CB1072,right,acetylcholine,central,,,DM1_dorsal,DPMm1_dorsal,42933,1,
