idx,hitting_time,cell_group
686,3.122502081382001,PLP173_right
687,2.154184823860065,Sm13_right
688,4.341898629642645,FB4P_a_left
689,3.563234710146763,PS193a_left
690,4.686733473729214,KCapbp-ap1_right
691,1.8266760252626506,Tm27_left
692,1.4936318877920172,Sm01_left
693,4.371774253231445,SMP123b_left
694,2.0,T3_left
695,2.0002692433662377,T5d_right
696,3.1380184307767123,CB2587_right
697,4.86787914385823,KCapbp-ap2_right
698,4.435063254267244,KCg-m_left
699,2.028744870368936,Tm9_right
700,2.0,T5d_left
701,2.339158461234761,KCg-d_left
702,1.0,Tm2_right
703,4.683136364920424,PFNp_right
704,4.779926334411636,ORN_VA1d_right
705,4.755076464919326,KCab_left
706,2.5685976206326258,LC10d_left
707,3.7068264035418346,WED100_left
708,3.958598882543874,KCab-p_left
709,1.0,Mi1_right
710,2.000596956552285,T2a_right
711,4.648708764033423,KCab_left
712,2.0881338731409187,LC10c_left
713,2.0,T5c_right
714,2.6055067027347167,LCe03_right
715,1.8383181662676882,Sm10_left
716,3.9192727700193246,CB0958_right
717,4.650467785966461,PFNv_right
718,4.472004811392182,PFNp_left
719,2.0,T3_right
720,1.0,C3_right
721,2.0,T4c_right
722,4.9733375940391245,BM_InOm_left
723,0.0,L1_left
724,2.211079226573845,Tm36_right
725,1.0,Tm20_right
726,4.026138531858509,JO-B_left
727,3.4550066410902076,WED038b_left
728,1.4835964620480238,Mi2_right
729,2.032388903510265,Tm7_right
730,3.5042447948733866,WED103_right
731,1.0,Tm1_right
732,4.260595659576007,CRE005_left
733,3.2418539412910987,CL269_right
734,2.0010655343050496,T5a_right
735,4.712369902053286,KCapbp-ap2_left
736,1.0,Mi15_left
737,4.688255566289089,ORN_VL1_left
738,1.9719120242405332,Tm21_right
739,2.08333854668573,LMa4_right
740,4.760423469856008,KCab_left
741,1.0,R1-6_left
742,1.0178269219723965,Tm3_right
743,4.717832858625193,PFNm_right
744,1.8529167732429204,Mi13_left
745,2.0,T4a_left
746,4.098435034210876,CRE027_left
747,4.288303478177369,CB2051_left
748,2.0,T4d_right
749,4.666041533683118,lLN13_right
750,4.2946810889836655,AVLP082_right
751,4.37639831785917,CB3410_right
752,4.730188307180864,KCab_left
753,2.142779673166938,TmY31_left
754,2.3172658543491695,TmY31_right
755,3.8316700071401026,CB2384_right
756,1.940512534287973,Tm5e_right
757,2.6088979234330347,LTe31_right
758,1.0,L5_right
759,2.003369191904939,T2a_right
760,0.0,L3_left
761,1.9431108914553947,TmY11_left
762,3.372249172347344,CB1395_right
763,4.810525939910884,LB3_right
764,4.4169949007978095,CB3858_right
765,1.0,L4_left
766,1.0,Tm1_left
767,2.7422678330786576,LTe38a_right
768,1.0,T1_left
769,1.0,L5_right
770,2.6251627318221398,LC11_left
771,1.0,C3_left
772,1.0,Mi1_right
773,4.3505600756383975,CB3858_left
774,2.3311807008605956,LPLC4_right
775,1.0,Mi9_left
776,3.913475128209508,CB2433_left
777,2.024711254471339,T2_right
778,1.863035060899124,Tm27_left
779,4.850345051265744,hDeltaG_right
780,1.110960936236796,Dm3q_right
781,4.000719239661932,CB2563_right
782,2.6030867095768855,LTe58_right
783,2.0,T5a_left
784,4.695571939025541,KCab_left
785,1.0,R1-6_left
786,4.596802813245135,720575940604621257_right
787,2.0,T4c_right
788,1.9528992496541115,Sm04_left
789,0.0,L3_left
790,4.325258276466375,M_lvPNm48_right
791,2.9757199825516008,PVLP113_right
792,4.72898107888745,KCab_left
793,1.0199099173932615,Tm4_right
794,1.172364584578018,Tm5a_left
795,3.787545145169075,CB3050_right
796,2.0000786579044045,T5c_left
797,4.028256151482641,KCg-m_right
798,4.822479924757108,KCab_right
799,2.650371727463165,LC11_right
800,1.7337919450282504,Mi4_left
801,1.865236076951395,Dm3v_right
802,1.26624047029794,Mi4_left
803,2.0,T4c_right
804,0.0,L1_left
805,2.0,T4c_right
806,2.0,T4c_right
807,2.0,T4d_right
808,2.105821153095447,TmY4_left
809,2.0437322397686155,Tm5f_left
810,2.0,T4a_right
811,2.0055289707975206,T2a_left
