,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,idx,sign
79997,720575940627189622,Mi1,right,acetylcholine,optic,ME,columnar,28026,1
79998,720575940624029704,C3,right,gaba,optic,ME>LA,,22234,-1
79999,720575940643674312,T5a,right,acetylcholine,optic,LO>LOP,,46244,1
80001,720575940618868052,C2,right,gaba,optic,ME>LA,,12732,-1
80009,720575940623529143,Mi10,right,acetylcholine,optic,ME,,21263,1
80010,720575940619624374,Mi1,right,acetylcholine,optic,ME,columnar,13626,1
80011,720575940639445923,C2,right,gaba,optic,ME>LA,,44233,-1
80012,720575940615773590,720575940615773590,right,glutamate,optic,ME,,8541,-1
80014,720575940620572781,T4a,right,acetylcholine,optic,ME>LOP,,15197,1
80015,720575940609669188,T2a,right,acetylcholine,optic,ME>LO,,2678,1
80016,720575940630769090,Mi9,right,glutamate,optic,ME,,34801,-1
80017,720575940619756423,Tm1,right,acetylcholine,optic,ME>LO,,13856,1
80018,720575940622737288,C2,right,gaba,optic,ME>LA,,19702,-1
80019,720575940617657684,T3,right,acetylcholine,optic,ME>LO,,10904,1
80020,720575940642181851,T2,right,acetylcholine,optic,ME>LO,,45802,1
80021,720575940613485608,C3,right,gaba,optic,ME>LA,,5939,-1
80022,720575940625824100,Tm1,right,acetylcholine,optic,ME>LO,,25391,1
80023,720575940614124967,T2a,right,acetylcholine,optic,ME>LO,,6590,1
80024,720575940615524806,T4d,right,acetylcholine,optic,ME>LOP,,8249,1
80025,720575940620367854,T3,right,acetylcholine,optic,ME>LO,,14824,1
80027,720575940619758215,T3,right,acetylcholine,optic,ME>LO,,13861,1
80028,720575940625563429,C3,right,gaba,optic,ME>LA,,24974,-1
80029,720575940615121986,T2a,right,acetylcholine,optic,ME>LO,,7776,1
80032,720575940647109764,L1,right,glutamate,optic,LA>ME,L1-5,47367,-1
80033,720575940621757308,C2,right,gaba,optic,ME>LA,,17742,-1
80034,720575940617384678,Mi4,right,gaba,optic,ME,columnar,10532,-1
80035,720575940626467417,T2,right,acetylcholine,optic,ME>LO,,26464,1
80037,720575940626468185,Tm6,right,acetylcholine,optic,ME>LO,,26466,1
80038,720575940647111300,T5c,right,acetylcholine,optic,LO>LOP,,47368,1
80039,720575940621759100,T4c,right,acetylcholine,optic,ME>LOP,,17747,1
80040,720575940631527480,T5b,right,acetylcholine,optic,LO>LOP,,36193,1
80041,720575940633365037,Tm16,right,acetylcholine,optic,ME>LO,,38990,1
80042,720575940634470114,T2a,right,acetylcholine,optic,ME>LO,,40126,1
