bodyId,hitting_time,cell_group
16064,2.330548061,aMe8
16066,2.959548826,LPT114
16069,1.702498472,Mi18
16106,2.000297381,Pm7
16117,1.815338181,Mi18
16128,2.063093332,LC4
16137,2.589574157,LT73
16138,2.051636337,LC4
16140,2.090684025,TmY19a
16153,2.762233488,LT72
16154,2.527695949,LT78
16157,3.000236285,MeVPMe8
16170,1.885154047,Dm14
16184,2.004825951,Pm9
16195,2.597471224,LoVP30
16213,1.995192754,Pm7
16218,2.422545035,LOLP1
16229,2.05101108,Cm28
16237,1.845894674,Dm14
16253,1.767763428,MeVPMe10
16260,2.001491874,Li17
16271,2.064510308,Pm3
16273,20,PS272
16284,2.654839346,LT52
16286,2.979778278,LPT23
16291,2.616843165,MeLo10
16316,2.77087513,LoVP69
16323,2.362941522,PS272
16325,2.0909384,TmY19b
16333,1.009012412,Dm4
16354,1.391045487,Tm5a
16355,2.00015093,Dm13
16366,2.47710139,LoVP50
16367,1.756816495,MeVPLo2
16373,2.809862437,LT63
16375,1.995430004,Dm13
16388,2.046050619,Pm3
16390,2.808492119,LT63
16396,2.195080716,TmY19a
16413,1.013408686,Dm4
16415,2.577590059,Li30
16429,2.001153697,Li17
16435,2.008328602,TmY19a
16461,2.168153446,s-LNv
16465,2.000591899,Dm18
16469,2.353850605,LPLC4
16474,2.774569621,LT60
16478,1.854923177,Dm14
16512,2.127776037,MeVP27
16514,2.063831746,Pm3
16538,1.986459771,Dm18
16545,2.000211161,Li28
16549,2.688759981,Li30
16552,2.537114712,s-LNv
16570,2.99584847,VST2
16572,1.902665327,Dm14
16574,2.000254454,Pm7
16587,1.988935255,Dm18
16590,2.465974528,LC33
16597,2.009638527,Pm9
16600,1.989858096,Dm18
16602,1.943117528,LoVC23
16606,2.999406913,VST2
16609,2.394369547,LoVP65
16611,2.115857434,TmY19b
16618,2.162419906,MeLo11
16628,2.056216549,LC4
16633,2.108088524,TmY19b
16643,2.046181608,Pm8
16645,1.971740876,Mi18
16652,2.797756295,MeVPMe9
16653,2.011598422,Pm9
16664,2.400694997,MeVP35
16670,2.9815079,LPT114
16674,1.759046192,aMe10
16678,1.006447365,Dm4
16683,2.28784696,Cm26
16689,2.060238658,Pm8
16717,2.124463698,LoVC23
16726,1.008597102,Dm4
16743,1.996846514,Dm18
16748,2.264512206,LC33
16755,2.000156812,Dm13
16760,2.058952288,Pm3
16761,2.971264439,MeVPMe9
16770,2.000386163,Pm2b
16777,2.018079273,MeLo9
16792,2.000152191,Dm13
16819,2.644212691,LPT31
16826,2.718649684,LT55
16837,2.495041254,LLPC4
16859,2.598141996,LT77
16861,2.066395281,TmY19b
16865,2.011265408,MeLo9
16866,2.287127885,aMe8
16875,2.99266137,LPT51
16876,2.68979141,LT78
16880,2.14142432,PLP231
16890,2.000345334,Pm2b
16896,2.000300661,Pm2b
16936,2.729012554,LPT31
16940,2.000699908,Pm6
16948,1.692900649,Mi18
16955,2.001910594,Mi18
16975,2.241836392,Li36
16991,1.013362077,Dm4
16996,2.498037402,LT69
17004,2.109939373,LoVP50
17010,2.105909662,TmY19b
17015,1.123395004,l-LNv
17028,2.544658682,LT78
17037,2.361371324,MeVP17
17039,2.269823364,MeVP17
17054,2.066658447,LC4
17086,1.975445649,Dm18
17091,2.05083924,Pm3
17106,2.000153595,Dm13
17115,2.055396644,Pm8
17118,2.00038014,Pm2b
17123,2.536361185,MeVP42
