,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,idx,sign
131218,720575940614934323,R1-6,left,acetylcholine,sensory,visual,,7369,1
131220,720575940647252515,R1-6,left,acetylcholine,sensory,visual,,48023,1
131221,720575940625390059,R1-6,left,acetylcholine,sensory,visual,,25025,1
131222,720575940613050803,R1-6,left,acetylcholine,sensory,visual,,5330,1
131223,720575940637665454,R1-6,left,acetylcholine,sensory,visual,,43415,1
131224,720575940618720925,R1-6,left,acetylcholine,sensory,visual,,12488,1
131225,720575940637857648,R1-6,left,acetylcholine,sensory,visual,,43532,1
131227,720575940661012865,R1-6,left,acetylcholine,sensory,visual,,49088,1
131229,720575940631067692,R1-6,left,acetylcholine,sensory,visual,,35816,1
131230,720575940619270981,R1-6,left,acetylcholine,sensory,visual,,13279,1
131232,720575940630408186,R1-6,left,acetylcholine,sensory,visual,,34496,1
131233,720575940632249359,R1-6,left,acetylcholine,sensory,visual,,37786,1
131234,720575940628705557,R1-6,left,acetylcholine,sensory,visual,,31443,1
131235,720575940621791085,R1-6,left,acetylcholine,sensory,visual,,17661,1
131236,720575940622958505,R1-6,left,acetylcholine,sensory,visual,,20022,1
131237,720575940610164163,R1-6,left,acetylcholine,sensory,visual,,2869,1
131238,720575940622960041,R1-6,left,acetylcholine,sensory,visual,,20027,1
131241,720575940633686829,R1-6,left,acetylcholine,sensory,visual,,39937,1
131242,720575940626893514,R1-6,left,acetylcholine,sensory,visual,,27627,1
131243,720575940626836175,R1-6,left,acetylcholine,sensory,visual,,27507,1
131244,720575940626110362,R1-6,left,acetylcholine,sensory,visual,,26265,1
131245,720575940625896974,R1-6,left,acetylcholine,sensory,visual,,25896,1
131246,720575940619896374,R1-6,left,acetylcholine,sensory,visual,,13998,1
131247,720575940617075899,R1-6,left,acetylcholine,sensory,visual,,10025,1
131248,720575940625462252,R1-6,left,acetylcholine,sensory,visual,,25169,1
131249,720575940628783080,R1-6,left,acetylcholine,sensory,visual,,31614,1
131250,720575940618285405,R1-6,left,acetylcholine,sensory,visual,,11811,1
131251,720575940625897742,R1-6,left,acetylcholine,sensory,visual,,25899,1
131252,720575940631077180,R1-6,left,acetylcholine,sensory,visual,,35838,1
131253,720575940617779595,R1-6,left,acetylcholine,sensory,visual,,10916,1
131254,720575940636815727,R1-6,left,acetylcholine,sensory,visual,,42759,1
131255,720575940619774262,R1-6,left,acetylcholine,sensory,visual,,13861,1
131256,720575940625555604,R1-6,left,acetylcholine,sensory,visual,,25304,1
131257,720575940623996184,R1-6,left,acetylcholine,sensory,visual,,22219,1
131258,720575940611602296,R1-6,left,acetylcholine,sensory,visual,,3815,1
131263,720575940619801862,R1-6,left,acetylcholine,sensory,visual,,13888,1
131264,720575940628105810,R1-6,left,acetylcholine,sensory,visual,,30187,1
131265,720575940629409128,R1-6,left,acetylcholine,sensory,visual,,32753,1
131267,720575940621422016,R1-6,left,acetylcholine,sensory,visual,,16866,1
131268,720575940637718190,R1-6,left,acetylcholine,sensory,visual,,43446,1
131270,720575940626024231,R1-6,left,acetylcholine,sensory,visual,,26131,1
131290,720575940624941053,R1-6,left,acetylcholine,sensory,visual,,24141,1
131293,720575940619434560,R1-6,left,acetylcholine,sensory,visual,,13461,1
131294,720575940628739304,R1-6,left,acetylcholine,sensory,visual,,31515,1
131296,720575940647690292,R1-6,left,acetylcholine,sensory,visual,,48152,1
131297,720575940615268350,R1-6,left,acetylcholine,sensory,visual,,7846,1
131298,720575940615269118,R1-6,left,acetylcholine,sensory,visual,,7847,1
131304,720575940631926359,R1-6,left,acetylcholine,sensory,visual,,37269,1
131305,720575940612312526,R1-6,left,acetylcholine,sensory,visual,,4461,1
131313,720575940606533152,R1-6,left,acetylcholine,sensory,visual,,1104,1
131314,720575940628301138,R1-6,left,acetylcholine,sensory,visual,,30608,1
