,hemilineage,class,predicted_nt,soma_neuromere,root_side,systematic_type,type,soma_side,instance,combined_type,nt_binary,idx
976,,sensory neuron,acetylcholine,,LHS,SNpp60,SNpp60,,SNpp60_MetaLN_L,SNpp60_MetaLN_L,-1,11331
977,19A,intrinsic neuron,gaba,T1,,IN19A007,IN19A007,LHS,IN19A007_T1_L,IN19A007_T1_L,-1,7978
982,,sensory ascending,glutamate,,LHS,SAch01,SAch01,,SAch01_MetaLN_L,SAch01_MetaLN_L,1,11003
983,12B,intrinsic neuron,gaba,T2,,IN12B088,IN12B088,RHS,IN12B088_T2_R,IN12B088_T2_R,-1,6227
984,07B,intrinsic neuron,acetylcholine,T1,,IN07B001,IN07B001,LHS,IN07B001_T1_L,IN07B001_T1_L,1,4651
985,,descending neuron,acetylcholine,,LHS,DNut012,DNg04,,DNut012_CvC_L,DNut012_CvC_L,1,1642
986,13A,intrinsic neuron,gaba,T2,,IN13A015,IN13A015,RHS,IN13A015_T2_R,IN13A015_T2_R,-1,6312
987,19A,intrinsic neuron,gaba,T3,,IN19A064,IN19A064,LHS,IN19A064_T3_L,IN19A064_T3_L,-1,8154
988,,sensory neuron,glutamate,,RHS,SNch08,SNch15,,SNch15_ProLN_R,SNch15_ProLN_R,-1,11142
989,09B,ascending neuron,acetylcholine,A5,RHS,AN09B029,AN09B029,LHS,AN09B029_A5_L,AN09B029_A5_L,1,712
991,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A089,IN20A.22A089,LHS,IN20A.22A089_T1_L,IN20A.22A089_T1_L,1,8768
992,,descending neuron,acetylcholine,,LHS,DNxl078,DNxl078,,DNxl078_CvC_L,DNxl078_CvC_L,1,1898
993,03B,intrinsic neuron,gaba,T3,,IN03B042,IN03B042,RHS,IN03B042_T3_R,IN03B042_T3_R,-1,3672
994,06B,intrinsic neuron,gaba,T2,,IN06B061,IN06B061,LHS,IN06B061_T2_L,IN06B061_T2_L,-1,4586
