,hemilineage,class,predicted_nt,soma_neuromere,root_side,systematic_type,type,soma_side,instance,combined_type,nt_binary,idx
10260,23B,intrinsic neuron,glutamate,T1,,IN23B018,IN23B018,LHS,IN23B018_T1_L,IN23B018_T1_L,-1,9186
10261,02A,intrinsic neuron,glutamate,T1,,IN02A067,IN02A067,LHS,IN02A067_T1_L,IN02A067_T1_L,-1,3319
10263,13B,intrinsic neuron,gaba,T1,,IN13B070,IN13B070,LHS,IN13B070_T1_L,IN13B070_T1_L,-1,6744
10266,TBD,intrinsic neuron,acetylcholine,A8,,INXXX431,INXXX431,RHS,INXXX431_A8_R,INXXX431_A8_R,1,10341
10269,01A,intrinsic neuron,acetylcholine,T2,,IN01A023,IN01A023,RHS,IN01A023_T2_R,IN01A023_T2_R,1,2650
10271,08A,intrinsic neuron,gaba,T2,,IN08A006,IN08A006,LHS,IN08A006_T2_L,IN08A006_T2_L,-1,4841
10275,19A,intrinsic neuron,acetylcholine,T1,,IN19A012,IN19A012,RHS,IN19A012_T1_R,IN19A012_T1_R,1,8007
10276,03A,intrinsic neuron,acetylcholine,T2,,IN03A067,IN03A067,LHS,IN03A067_T2_L,IN03A067_T2_L,1,3511
10278,23B,intrinsic neuron,acetylcholine,T3,,IN23B014,IN23B014,LHS,IN23B014_T3_L,IN23B014_T3_L,1,9176
10280,08A,intrinsic neuron,glutamate,T3,,IN08A002,IN08A002,LHS,IN08A002_T3_L,IN08A002_T3_L,-1,4829
10284,04B,intrinsic neuron,acetylcholine,T2,,IN04B026,IN04B026,LHS,IN04B026_T2_L,IN04B026_T2_L,1,3834
10285,02A,intrinsic neuron,glutamate,A2,,IN02A064,IN02A064,LHS,IN02A064_A2_L,IN02A064_A2_L,-1,3307
10289,06A,ascending neuron,gaba,T3,RHS,AN06A026,AN06A026,LHS,AN06A026_T3_L,AN06A026_T3_L,-1,275
10290,19A,ascending neuron,acetylcholine,A3,LHS,AN19A018,AN19A018,LHS,AN19A018_A3_L,AN19A018_A3_L,1,1066
10292,09A,intrinsic neuron,gaba,T3,,IN09A006,IN09A006,LHS,IN09A006_T3_L,IN09A006_T3_L,-1,5095
10293,08B,ascending neuron,acetylcholine,T3,LHS,AN08B024,AN08B024,RHS,AN08B024_T3_R,AN08B024_T3_R,1,516
10295,TBD,intrinsic neuron,acetylcholine,A8,,INXXX234,INXXX234,RHS,INXXX234_A8_R,INXXX234_A8_R,1,9807
10296,12A,intrinsic neuron,acetylcholine,T2,,IN12A034,IN12A034,LHS,IN12A034_T2_L,IN12A034_T2_L,1,5870
10297,,sensory neuron,unknown,,,SNxxxx,SNxxxx,,SNxxxx_MesoLN_L,SNxxxx_MesoLN_L,-1,11649
10302,,sensory neuron,acetylcholine,,LHS,SNxx18,SNxx18,,SNxx18_AbNT_L,SNxx18_AbNT_L,1,11582
10303,09A,intrinsic neuron,gaba,T3,,IN09A050,IN09A050,RHS,IN09A050_T3_R,IN09A050_T3_R,-1,5277
10305,01A,intrinsic neuron,acetylcholine,A2,,IN01A031,IN01A031,RHS,IN01A031_A2_R,IN01A031_A2_R,1,2676
10307,09A,intrinsic neuron,gaba,T1,,IN09A085,IN09A085,RHS,IN09A085_T1_R,IN09A085_T1_R,-1,5380
10309,08B,ascending neuron,acetylcholine,T3,LHS,AN08B071,AN08B071,RHS,AN08B071_T3_R,AN08B071_T3_R,1,568
10311,09B,intrinsic neuron,glutamate,T1,,IN09B046,IN09B046,RHS,IN09B046_T1_R,IN09B046_T1_R,-1,5460
10313,,descending neuron,acetylcholine,,LHS,DNxn115,DNxn115,,DNxn115_CvC_L,DNxn115_CvC_L,1,2235
10317,,descending neuron,acetylcholine,,RHS,DNxl085,DNxl085,,DNxl085_CvC_R,DNxl085_CvC_R,1,1913
10318,10B,intrinsic neuron,acetylcholine,T3,,IN10B041,IN10B041,LHS,IN10B041_T3_L,IN10B041_T3_L,1,5586
10321,19A,intrinsic neuron,gaba,A4,,IN19A099,IN19A099,LHS,IN19A099_A4_L,IN19A099_A4_L,-1,8237
10322,19A,intrinsic neuron,gaba,T1,,IN19A093,IN19A093,LHS,IN19A093_T1_L,IN19A093_T1_L,-1,8215
10323,03A,intrinsic neuron,acetylcholine,T1,,IN03A088,IN03A088,LHS,IN03A088_T1_L,IN03A088_T1_L,1,3573
10324,,sensory neuron,acetylcholine,,RHS,SNxx09,SNxx09,,SNxx09_AbNT_R,SNxx09_AbNT_R,1,11559
10329,01B,intrinsic neuron,gaba,T3,,IN01B020,IN01B020,RHS,IN01B020_T3_R,IN01B020_T3_R,-1,2915
10331,23B,intrinsic neuron,acetylcholine,T3,,IN23B053,IN23B053,RHS,IN23B053_T3_R,IN23B053_T3_R,1,9326
10334,,sensory neuron,glutamate,,LHS,SNpp57,SNpp57,,SNpp57_MetaLN_L,SNpp57_MetaLN_L,1,11314
10335,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A005,IN20A.22A005,RHS,IN20A.22A005_T3_R,IN20A.22A005_T3_R,1,8519
10338,,descending neuron,acetylcholine,,RHS,DNxl053,DNxl053,,DNxl053_CvC_R,DNxl053_CvC_R,1,1849
10339,16B,intrinsic neuron,glutamate,A7,,IN16B049,IN16B049,LHS,IN16B049_A7_L,IN16B049_A7_L,-1,7383
10340,02A,intrinsic neuron,glutamate,A1,,IN02A054,IN02A054,RHS,IN02A054_A1_R,IN02A054_A1_R,-1,3268
10344,14A,intrinsic neuron,glutamate,T1,,IN14A037,IN14A037,LHS,IN14A037_T1_L,IN14A037_T1_L,-1,6999
10347,24B.25B,motor neuron,glutamate,T2,,MNml05,Tr flexor MN,LHS,MNml05_MesoLN_L,MNml05_MesoLN_L,-1,10834
10351,12B,intrinsic neuron,gaba,T2,,IN12B038,IN12B038,RHS,IN12B038_T2_R,IN12B038_T2_R,-1,6077
10352,00A,intrinsic neuron,gaba,T1,,IN00A026,IN00A026,Midline,IN00A026_T1_M,IN00A026_T1_M,-1,2517
10353,,descending neuron,acetylcholine,,LHS,DNad001,oviDN,,DNad001_CvC_L,DNad001_CvC_L,1,1433
10359,13B,intrinsic neuron,gaba,T1,,IN13B011,IN13B011,LHS,IN13B011_T1_L,IN13B011_T1_L,-1,6507
10361,09A,intrinsic neuron,gaba,T3,,IN09A058,IN09A058,LHS,IN09A058_T3_L,IN09A058_T3_L,-1,5296
10363,,sensory neuron,acetylcholine,,LHS,SNta36,SNta36,,SNta36_MesoLN_L,SNta36_MesoLN_L,-1,11468
10364,07B,intrinsic neuron,acetylcholine,T3,,IN07B022,IN07B022,LHS,IN07B022_T3_L,IN07B022_T3_L,1,4693
10366,16B,intrinsic neuron,glutamate,T3,,IN16B119,IN16B119,LHS,IN16B119_T3_L,IN16B119_T3_L,-1,7542
10372,01B,intrinsic neuron,gaba,T1,,IN01B097,IN01B097,RHS,IN01B097_T1_R,IN01B097_T1_R,-1,3126
10373,TBD,motor neuron,glutamate,A5,,MNad08,MNad08,RHS,MNad08_AbN4_R,MNad08_AbN4_R,-1,10469
10374,23B,intrinsic neuron,acetylcholine,T2,,IN23B021,IN23B021,RHS,IN23B021_T2_R,IN23B021_T2_R,1,9201
10375,02A,intrinsic neuron,glutamate,A1,,IN02A054,IN02A054,LHS,IN02A054_A1_L,IN02A054_A1_L,-1,3267
10376,16B,intrinsic neuron,glutamate,T1,,IN16B022,IN16B022,RHS,IN16B022_T1_R,IN16B022_T1_R,-1,7308
10377,,descending neuron,acetylcholine,,RHS,DNxl015,DNa11,,DNxl015_CvC_R,DNxl015_CvC_R,1,1773
10378,19A,intrinsic neuron,gaba,T3,,IN19A104,IN19A104,RHS,IN19A104_T3_R,IN19A104_T3_R,-1,8251
10381,19B,intrinsic neuron,acetylcholine,T2,,IN19B011,IN19B011,LHS,IN19B011_T2_L,IN19B011_T2_L,1,8343
10382,13A,intrinsic neuron,gaba,T2,,IN13A021,IN13A021,RHS,IN13A021_T2_R,IN13A021_T2_R,-1,6338
10384,TBD,motor neuron,,A2,,MNad59,MNad59,RHS,MNad59_AbN3_R,MNad59_AbN3_R,-1,10585
10387,13B,intrinsic neuron,gaba,T2,,IN13B088,IN13B088,RHS,IN13B088_T2_R,IN13B088_T2_R,-1,6803
10389,02A,intrinsic neuron,glutamate,A3,,IN02A030,IN02A030,LHS,IN02A030_A3_L,IN02A030_A3_L,-1,3205
10393,,sensory ascending,acetylcholine,,LHS,SAchxx,SAchxx,,SAchxx_MesoLN_L,SAchxx_MesoLN_L,-1,11013
10395,03B,intrinsic neuron,gaba,T1,,IN03B092,IN03B092,LHS,IN03B092_T1_L,IN03B092_T1_L,-1,3767
10396,09A,intrinsic neuron,gaba,T2,,IN09A024,IN09A024,LHS,IN09A024_T2_L,IN09A024_T2_L,-1,5175
10397,,descending neuron,acetylcholine,,RHS,DNut023,DNp16,,DNut023_CvC_R,DNut023_CvC_R,1,1665
10399,,sensory neuron,glutamate,,LHS,SNxxxx,SNxxxx,,SNxxxx_ADMN_L,SNxxxx_ADMN_L,1,11643
10400,19A,intrinsic neuron,gaba,A3,,IN19A099,IN19A099,LHS,IN19A099_A3_L,IN19A099_A3_L,-1,8235
10401,07B,ascending neuron,acetylcholine,T3,RHS,AN07B043,AN07B043,LHS,AN07B043_T3_L,AN07B043_T3_L,1,409
10402,08B,ascending neuron,acetylcholine,T1,LHS,AN08B096,AN08B096,RHS,AN08B096_T1_R,AN08B096_T1_R,1,586
10403,06A,intrinsic neuron,gaba,A4,,IN06A109,IN06A109,RHS,IN06A109_A4_R,IN06A109_A4_R,-1,4415
10405,03A,intrinsic neuron,acetylcholine,T1,,IN03A006,IN03A006,LHS,IN03A006_T1_L,IN03A006_T1_L,1,3335
10406,19A,ascending neuron,acetylcholine,T1,RHS,AN19A019,AN19A019,RHS,AN19A019_T1_R,AN19A019_T1_R,1,1075
10410,05B,ascending neuron,acetylcholine,T3,LHS,AN05B097,AN05B097,RHS,AN05B097_T3_R,AN05B097_T3_R,1,228
10411,19B,intrinsic neuron,acetylcholine,T3,,IN19B035,IN19B035,RHS,IN19B035_T3_R,IN19B035_T3_R,1,8379
10413,03A,intrinsic neuron,acetylcholine,T2,,IN03A033,IN03A033,LHS,IN03A033_T2_L,IN03A033_T2_L,1,3425
10414,13A,intrinsic neuron,gaba,T1,,IN13A008,IN13A008,RHS,IN13A008_T1_R,IN13A008_T1_R,-1,6274
10415,13A,intrinsic neuron,gaba,T3,,IN13A053,IN13A053,LHS,IN13A053_T3_L,IN13A053_T3_L,-1,6415
10416,14A,intrinsic neuron,glutamate,T1,,IN14A112,IN14A112,RHS,IN14A112_T1_R,IN14A112_T1_R,-1,7215
10421,12B,intrinsic neuron,gaba,T1,,IN12B012,IN12B012,RHS,IN12B012_T1_R,IN12B012_T1_R,-1,5963
10424,00B,efferent neuron,glutamate,A3,,EN00B023,EN00B023,Midline,EN00B023_A3_M,EN00B023_A3_M,-1,2422
10425,23B,intrinsic neuron,acetylcholine,T1,,IN23B057,IN23B057,LHS,IN23B057_T1_L,IN23B057_T1_L,1,9341
10426,05B,intrinsic neuron,gaba,T1,,IN05B075,IN05B075,LHS,IN05B075_T1_L,IN05B075_T1_L,-1,4157
10427,16B,intrinsic neuron,glutamate,T3,,IN16B098,IN16B098,RHS,IN16B098_T3_R,IN16B098_T3_R,-1,7503
10437,06A,motor neuron,glutamate,A3,,MNad19,MNad19,LHS,MNad19_AbN4_L,MNad19_AbN4_L,-1,10505
10438,13B,intrinsic neuron,gaba,T2,,IN13B036,IN13B036,RHS,IN13B036_T2_R,IN13B036_T2_R,-1,6630
10439,,descending neuron,acetylcholine,,LHS,DNfl035,DNfl035,,DNfl035_CvC_L,DNfl035_CvC_L,1,1512
10441,TBD,motor neuron,glutamate,T3,,MNhl31,Pleural remotor/abductor MN,RHS,MNhl31_MetaLN_R,MNhl31_MetaLN_R,-1,10764
10448,TBD,intrinsic neuron,glutamate,A4,,INXXX019,INXXX019,RHS,INXXX019_A4_R,INXXX019_A4_R,-1,9517
10452,,descending neuron,acetylcholine,,RHS,DNxl071,DNxl071,,DNxl071_CvC_R,DNxl071_CvC_R,1,1885
10455,16B,intrinsic neuron,glutamate,T2,,IN16B101,IN16B101,LHS,IN16B101_T2_L,IN16B101_T2_L,-1,7508
10457,19A,intrinsic neuron,gaba,T2,,IN19A085,IN19A085,LHS,IN19A085_T2_L,IN19A085_T2_L,-1,8197
10458,,descending neuron,gaba,,RHS,DNxn089,DNp62,,DNxn089_CvC_R,DNxn089_CvC_R,-1,2184
10460,13B,intrinsic neuron,gaba,T1,,IN13B037,IN13B037,RHS,IN13B037_T1_R,IN13B037_T1_R,-1,6634
10461,27X,intrinsic neuron,gaba,T2,,IN27X002,vMS17,LHS,IN27X002_T2_L,IN27X002_T2_L,-1,9490
10463,07B,ascending neuron,acetylcholine,T2,RHS,AN07B005,AN07B005,LHS,AN07B005_T2_L,AN07B005_T2_L,1,371
10467,06A,intrinsic neuron,gaba,T2,,IN06A012,IN06A012,RHS,IN06A012_T2_R,IN06A012_T2_R,-1,4210
10468,06B,intrinsic neuron,gaba,T2,,IN06B043,IN06B043,LHS,IN06B043_T2_L,IN06B043_T2_L,-1,4558
10471,17A,intrinsic neuron,acetylcholine,T1,,IN17A065,IN17A065,RHS,IN17A065_T1_R,IN17A065_T1_R,1,7709
10473,TBD,intrinsic neuron,gaba,A2,,INXXX359,INXXX359,RHS,INXXX359_A2_R,INXXX359_A2_R,-1,10122
10474,TBD,intrinsic neuron,acetylcholine,A3,,INXXX062,INXXX062,RHS,INXXX062_A3_R,INXXX062_A3_R,1,9586
10475,09A,intrinsic neuron,gaba,T2,,IN09A016,IN09A016,LHS,IN09A016_T2_L,IN09A016_T2_L,-1,5135
10476,06B,intrinsic neuron,gaba,T3,,IN06B040,IN06B040,RHS,IN06B040_T3_R,IN06B040_T3_R,-1,4553
10477,08A,intrinsic neuron,glutamate,T2,,IN08A040,IN08A040,RHS,IN08A040_T2_R,IN08A040_T2_R,-1,4930
10478,,descending neuron,acetylcholine,,LHS,DNxn090,DNp63,,DNxn090_CvC_L,DNxn090_CvC_L,1,2185
10479,19B,intrinsic neuron,acetylcholine,A1,,IN19B082,IN19B082,RHS,IN19B082_A1_R,IN19B082_A1_R,1,8463
10480,TBD,intrinsic neuron,acetylcholine,A2,,INXXX402,INXXX402,LHS,INXXX402_A2_L,INXXX402_A2_L,1,10251
10483,TBD,intrinsic neuron,acetylcholine,A9,,INXXX237,INXXX237,LHS,INXXX237_A9_L,INXXX237_A9_L,1,9810
10485,TBD,ascending neuron,acetylcholine,T1,LHS,ANXXX023,ANXXX023,RHS,ANXXX023_T1_R,ANXXX023_T1_R,1,1226
10489,21A,intrinsic neuron,glutamate,T1,,IN21A056,IN21A056,LHS,IN21A056_T1_L,IN21A056_T1_L,-1,9013
10490,TBD,intrinsic neuron,gaba,A7,,INXXX243,INXXX243,LHS,INXXX243_A7_L,INXXX243_A7_L,-1,9824
10491,TBD,intrinsic neuron,acetylcholine,A4,,INXXX331,INXXX331,RHS,INXXX331_A4_R,INXXX331_A4_R,1,10057
10493,16B,intrinsic neuron,glutamate,T3,,IN16B077,IN16B077,RHS,IN16B077_T3_R,IN16B077_T3_R,-1,7451
10496,08B,ascending neuron,glutamate,T3,LHS,AN08B007,AN08B007,RHS,AN08B007_T3_R,AN08B007_T3_R,-1,466
10497,13B,intrinsic neuron,gaba,T2,,IN13B035,IN13B035,RHS,IN13B035_T2_R,IN13B035_T2_R,-1,6624
10498,16B,intrinsic neuron,glutamate,A8,,IN16B049,IN16B049,LHS,IN16B049_A8_L,IN16B049_A8_L,-1,7385
10499,09A,intrinsic neuron,gaba,T1,,IN09A031,IN09A031,RHS,IN09A031_T1_R,IN09A031_T1_R,-1,5204
10502,21A,intrinsic neuron,glutamate,T2,,IN21A077,IN21A077,RHS,IN21A077_T2_R,IN21A077_T2_R,-1,9056
10503,18B,intrinsic neuron,acetylcholine,T3,,IN18B038,IN18B038,RHS,IN18B038_T3_R,IN18B038_T3_R,1,7905
10508,01B,intrinsic neuron,gaba,T1,,IN01B044,IN01B044,RHS,IN01B044_T1_R,IN01B044_T1_R,-1,2997
10509,10B,intrinsic neuron,acetylcholine,T1,,IN10B061,IN10B061,RHS,IN10B061_T1_R,IN10B061_T1_R,1,5648
10511,12A,intrinsic neuron,acetylcholine,T2,,IN12A060,IN12A060,LHS,IN12A060_T2_L,IN12A060_T2_L,1,5920
10513,03A,intrinsic neuron,acetylcholine,T1,,IN03A089,IN03A089,LHS,IN03A089_T1_L,IN03A089_T1_L,1,3579
10514,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A001,IN20A.22A001,RHS,IN20A.22A001_T1_R,IN20A.22A001_T1_R,1,8497
10516,,descending neuron,acetylcholine,,RHS,DNxn132,DNxn132,,DNxn132_CvC_R,DNxn132_CvC_R,1,2269
10518,02A,intrinsic neuron,glutamate,A1,,IN02A030,IN02A030,LHS,IN02A030_A1_L,IN02A030_A1_L,-1,3201
10519,09A,intrinsic neuron,gaba,A1,,IN09A011,IN09A011,LHS,IN09A011_A1_L,IN09A011_A1_L,-1,5111
10520,23B,intrinsic neuron,acetylcholine,T3,,IN23B013,IN23B013,LHS,IN23B013_T3_L,IN23B013_T3_L,1,9170
10521,TBD,intrinsic neuron,gaba,A3,,INXXX396,INXXX396,LHS,INXXX396_A3_L,INXXX396_A3_L,-1,10224
10523,17B,ascending neuron,gaba,T2,RHS,AN17B009,AN17B009,RHS,AN17B009_T2_R,AN17B009_T2_R,-1,1027
10524,,sensory neuron,acetylcholine,,RHS,SNpp38,SNpp38,,SNpp38_ADMN_R,SNpp38_ADMN_R,1,11222
10525,TBD,intrinsic neuron,acetylcholine,A7,,INXXX149,INXXX149,LHS,INXXX149_A7_L,INXXX149_A7_L,1,9682
10527,13B,intrinsic neuron,gaba,T3,,IN13B031,IN13B031,LHS,IN13B031_T3_L,IN13B031_T3_L,-1,6605
10528,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A006,IN20A.22A006,LHS,IN20A.22A006_T1_L,IN20A.22A006_T1_L,1,8520
10529,TBD,intrinsic neuron,acetylcholine,A4,,INXXX297,INXXX297,RHS,INXXX297_A4_R,INXXX297_A4_R,1,9984
10533,12A,intrinsic neuron,acetylcholine,T1,,IN12A030,IN12A030,LHS,IN12A030_T1_L,IN12A030_T1_L,1,5864
10534,,sensory neuron,glutamate,,LHS,SNpp53,SNpp53,,SNpp53_MesoLN_L,SNpp53_MesoLN_L,-1,11299
10535,07B,ascending neuron,acetylcholine,T1,LHS,AN07B052,AN07B052,RHS,AN07B052_T1_R,AN07B052_T1_R,1,421
10537,21A,intrinsic neuron,glutamate,T2,,IN21A088,IN21A088,RHS,IN21A088_T2_R,IN21A088_T2_R,-1,9086
10539,05B,ascending neuron,acetylcholine,T1,LHS,AN05B100,AN05B100,RHS,AN05B100_T1_R,AN05B100_T1_R,1,238
10540,06A,intrinsic neuron,gaba,T3,,IN06A138,IN06A138,RHS,IN06A138_T3_R,IN06A138_T3_R,-1,4480
10541,01A,intrinsic neuron,acetylcholine,T2,,IN01A056,IN01A056,LHS,IN01A056_T2_L,IN01A056_T2_L,1,2763
10543,17A,intrinsic neuron,acetylcholine,T3,,IN17A022,IN17A022,LHS,IN17A022_T3_L,IN17A022_T3_L,1,7607
10545,TBD,intrinsic neuron,acetylcholine,T2,,INXXX023,INXXX023,LHS,INXXX023_T2_L,INXXX023_T2_L,1,9524
10548,03B,motor neuron,glutamate,T1,,MNwm15,"DVMn 3a, b",RHS,MNwm15_PDMNa_R,MNwm15_PDMNa_R,-1,10952
10552,09A,intrinsic neuron,gaba,T3,,IN09A060,IN09A060,LHS,IN09A060_T3_L,IN09A060_T3_L,-1,5302
10558,TBD,intrinsic neuron,gaba,A5,,INXXX363,INXXX363,LHS,INXXX363_A5_L,INXXX363_A5_L,-1,10133
10559,19B,intrinsic neuron,acetylcholine,T2,,IN19B066,IN19B066,LHS,IN19B066_T2_L,IN19B066_T2_L,1,8428
10560,,descending neuron,acetylcholine,,LHS,DNxl030,DNg45,,DNxl030_CvC_L,DNxl030_CvC_L,1,1802
10561,21A,intrinsic neuron,glutamate,T1,,IN21A045,IN21A045,RHS,IN21A045_T1_R,IN21A045_T1_R,-1,8984
10562,09A,intrinsic neuron,gaba,T1,,IN09A062,IN09A062,RHS,IN09A062_T1_R,IN09A062_T1_R,-1,5307
10564,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A067,IN20A.22A067,RHS,IN20A.22A067_T2_R,IN20A.22A067_T2_R,1,8709
10566,14B,intrinsic neuron,gaba,T2,,IN14B007,IN14B007,RHS,IN14B007_T2_R,IN14B007_T2_R,-1,7267
10567,06A,intrinsic neuron,gaba,T1,,IN06A084,IN06A084,LHS,IN06A084_T1_L,IN06A084_T1_L,-1,4354
10569,13A,intrinsic neuron,gaba,T1,,IN13A055,IN13A055,LHS,IN13A055_T1_L,IN13A055_T1_L,-1,6421
10570,06A,intrinsic neuron,gaba,A1,,IN06A074,IN06A074,LHS,IN06A074_A1_L,IN06A074_A1_L,-1,4336
10571,03B,intrinsic neuron,gaba,T1,,IN03B037,IN03B037,LHS,IN03B037_T1_L,IN03B037_T1_L,-1,3663
10572,TBD,intrinsic neuron,acetylcholine,A1,,INXXX219,INXXX219,RHS,INXXX219_A1_R,INXXX219_A1_R,1,9766
10574,09B,intrinsic neuron,acetylcholine,T3,,IN09B006,IN09B006,RHS,IN09B006_T3_R,IN09B006_T3_R,1,5422
10585,06A,intrinsic neuron,glutamate,T1,,IN06A004,IN06A004,RHS,IN06A004_T1_R,IN06A004_T1_R,-1,4198
10587,,descending neuron,acetylcholine,,RHS,DNxl016,DNg39,,DNxl016_CvC_R,DNxl016_CvC_R,1,1775
10588,,descending neuron,glutamate,,RHS,DNxn154,DNxn154,,DNxn154_CvC_R,DNxn154_CvC_R,-1,2312
10589,07B,ascending neuron,glutamate,T2,LHS,AN07B013,AN07B013,RHS,AN07B013_T2_R,AN07B013_T2_R,-1,380
10592,TBD,motor neuron,glutamate,A3,,MNad02,MNad02,RHS,MNad02_AbN4_L,MNad02_AbN4_L,-1,10454
10593,06A,intrinsic neuron,gaba,A3,,IN06A117,IN06A117,LHS,IN06A117_A3_L,IN06A117_A3_L,-1,4432
10596,03B,intrinsic neuron,gaba,T1,,IN03B042,IN03B042,LHS,IN03B042_T1_L,IN03B042_T1_L,-1,3667
10597,01A,intrinsic neuron,acetylcholine,T1,,IN01A041,IN01A041,RHS,IN01A041_T1_R,IN01A041_T1_R,1,2718
10598,10B,intrinsic neuron,acetylcholine,T3,,IN10B055,IN10B055,RHS,IN10B055_T3_R,IN10B055_T3_R,1,5628
10599,21A,intrinsic neuron,glutamate,T1,,IN21A011,IN21A011,LHS,IN21A011_T1_L,IN21A011_T1_L,-1,8842
10601,21A,intrinsic neuron,glutamate,T1,,IN21A019,IN21A019,RHS,IN21A019_T1_R,IN21A019_T1_R,-1,8893
10602,07B,ascending neuron,acetylcholine,T1,LHS,AN07B051,AN07B051,RHS,AN07B051_T1_R,AN07B051_T1_R,1,419
10603,,descending neuron,acetylcholine,,RHS,DNxn153,DNxn153,,DNxn153_CvC_R,DNxn153_CvC_R,1,2310
10605,09A,intrinsic neuron,gaba,T3,,IN09A034,IN09A034,LHS,IN09A034_T3_L,IN09A034_T3_L,-1,5216
10607,08B,ascending neuron,acetylcholine,T3,RHS,AN08B012,AN08B012,LHS,AN08B012_T3_L,AN08B012_T3_L,1,477
10609,19A,intrinsic neuron,gaba,T1,,IN19A015,IN19A015,LHS,IN19A015_T1_L,IN19A015_T1_L,-1,8018
10612,12B,intrinsic neuron,gaba,T2,,IN12B046,IN12B046,LHS,IN12B046_T2_L,IN12B046_T2_L,-1,6108
10613,08A,intrinsic neuron,glutamate,T3,,IN08A016,IN08A016,LHS,IN08A016_T3_L,IN08A016_T3_L,-1,4865
10614,12B,intrinsic neuron,gaba,T2,,IN12B040,IN12B040,RHS,IN12B040_T2_R,IN12B040_T2_R,-1,6089
10615,19A,ascending neuron,acetylcholine,A1,LHS,AN19A018,AN19A018,LHS,AN19A018_A1_L,AN19A018_A1_L,1,1062
10617,17A,intrinsic neuron,glutamate,T3,,IN17A115,IN17A115,RHS,IN17A115_T3_R,IN17A115_T3_R,-1,7803
10618,19A,intrinsic neuron,gaba,T1,,IN19A024,IN19A024,LHS,IN19A024_T1_L,IN19A024_T1_L,-1,8054
10619,23B,intrinsic neuron,acetylcholine,T1,,IN23B040,IN23B040,RHS,IN23B040_T1_R,IN23B040_T1_R,1,9273
10620,,sensory neuron,glutamate,,,SNta44,SNta44,,SNta44_MetaLN_L,SNta44_MetaLN_L,-1,11514
10621,11B,intrinsic neuron,glutamate,T2,,IN11B014,IN11B014,LHS,IN11B014_T2_L,IN11B014_T2_L,-1,5772
10628,06B,ascending neuron,glutamate,T1,RHS,AN06B057,AN06B057,LHS,AN06B057_T1_L,AN06B057_T1_L,-1,359
10630,06A,ascending neuron,gaba,T2,LHS,AN06A010,AN06A010,RHS,AN06A010_T2_R,AN06A010_T2_R,-1,264
10631,00A,intrinsic neuron,gaba,T2,,IN00A022,IN00A022,Midline,IN00A022_T2_M,IN00A022_T2_M,-1,2508
10634,19A,intrinsic neuron,gaba,T3,,IN19A100,IN19A100,LHS,IN19A100_T3_L,IN19A100_T3_L,-1,8241
10635,10B,ascending neuron,acetylcholine,T2,LHS,AN10B027,AN10B027,RHS,AN10B027_T2_R,AN10B027_T2_R,1,799
10636,12B,intrinsic neuron,gaba,T3,,IN12B027,IN12B027,LHS,IN12B027_T3_L,IN12B027_T3_L,-1,6024
10637,TBD,intrinsic neuron,gaba,A4,,INXXX363,INXXX363,LHS,INXXX363_A4_L,INXXX363_A4_L,-1,10131
10638,06B,intrinsic neuron,glutamate,T1,,IN06B065,IN06B065,LHS,IN06B065_T1_L,IN06B065_T1_L,-1,4596
10639,01A,intrinsic neuron,acetylcholine,T2,,IN01A009,IN01A009,RHS,IN01A009_T2_R,IN01A009_T2_R,1,2610
10642,00A,intrinsic neuron,gaba,T2,,IN00A031,IN00A031,Midline,IN00A031_T2_M,IN00A031_T2_M,-1,2530
10643,01B,ascending neuron,gaba,T1,LHS,AN01B014,AN01B014,LHS,AN01B014_T1_L,AN01B014_T1_L,-1,49
10647,13B,intrinsic neuron,glutamate,T1,,IN13B032,IN13B032,RHS,IN13B032_T1_R,IN13B032_T1_R,-1,6608
10648,15B,motor neuron,glutamate,T3,,MNhl27,Acc. ti flexor MN,LHS,MNhl27_MetaLN_L,MNhl27_MetaLN_L,-1,10757
10649,09B,intrinsic neuron,glutamate,T1,,IN09B050,IN09B050,LHS,IN09B050_T1_L,IN09B050_T1_L,-1,5479
10655,10B,intrinsic neuron,acetylcholine,T1,,IN10B025,IN10B025,RHS,IN10B025_T1_R,IN10B025_T1_R,1,5536
10657,17A,intrinsic neuron,acetylcholine,T2,,IN17A118,IN17A118,RHS,IN17A118_T2_R,IN17A118_T2_R,1,7809
10663,14A,intrinsic neuron,glutamate,T1,,IN14A041,IN14A041,RHS,IN14A041_T1_R,IN14A041_T1_R,-1,7016
10665,04B,intrinsic neuron,acetylcholine,T3,,IN04B004,IN04B004,RHS,IN04B004_T3_R,IN04B004_T3_R,1,3783
10666,13B,intrinsic neuron,gaba,T1,,IN13B029,IN13B029,LHS,IN13B029_T1_L,IN13B029_T1_L,-1,6593
10667,23B,intrinsic neuron,acetylcholine,T3,,IN23B052,IN23B052,RHS,IN23B052_T3_R,IN23B052_T3_R,1,9324
10670,21A,intrinsic neuron,glutamate,T2,,IN21A030,IN21A030,RHS,IN21A030_T2_R,IN21A030_T2_R,-1,8938
