idx,hitting_time,bodyId,cell_type,side,coords,nt,sign,cell_type_side
108,2.626816051307253,10693,LoVP101,right,,unclear,1,LoVP101_right
109,2.0561509090305474,10696,aMe17c,right,,glutamate,-1,aMe17c_right
110,1.8944435800906017,10705,DNc02,left,,unclear,1,DNc02_left
111,2.0021376231876404,10723,MeVP24,right,,unclear,1,MeVP24_right
112,2.9936256629070965,10729,Nod4,right,,acetylcholine,1,Nod4_right
113,2.226222312686579,10730,LoVC21,left,,gaba,-1,LoVC21_left
114,2.977272280257173,10755,H1,right,,glutamate,-1,H1_right
115,2.8561090749166684,10764,LT1c,right,,unclear,1,LT1c_right
116,2.9968472315149723,10766,VS,right,,acetylcholine,1,VS_right
117,2.434912436297485,10771,LT66,right,,acetylcholine,1,LT66_right
118,2.3978694639975906,10787,LT35,left,,gaba,-1,LT35_left
119,2.139013237206325,10803,MeVP47,right,,unclear,1,MeVP47_right
120,2.002752211685677,10807,Pm11,right,,gaba,-1,Pm11_right
121,2.6830658789234527,10809,MeVC2,left,,acetylcholine,1,MeVC2_left
122,2.129858069722528,10818,MeVPMe1,left,,glutamate,-1,MeVPMe1_left
123,1.8493970435681013,10825,OA-AL2i3,right,,octopamine,1,OA-AL2i3_right
124,2.7379676937411657,10836,OLVC3,left,,acetylcholine,1,OLVC3_left
125,1.01340242068776,10839,Dm17,right,,glutamate,-1,Dm17_right
126,2.206104770559435,10843,Cm31a,right,,gaba,-1,Cm31a_right
127,1.0181903124545697,10845,Dm17,right,,glutamate,-1,Dm17_right
128,2.7074473745580945,10854,V1,left,,acetylcholine,1,V1_left
129,2.214941378985852,10860,Cm31a,right,,gaba,-1,Cm31a_right
130,2.7310753440403848,10865,H1,left,,glutamate,-1,H1_left
131,1.607152810168495,10870,l-LNv,right,,unclear,1,l-LNv_right
132,2.0698950852208733,10882,MeVPMe11,left,,glutamate,-1,MeVPMe11_left
133,2.730983378101619,10891,OLVC1,right,,acetylcholine,1,OLVC1_right
134,2.9996028226697944,10893,LPi2b,right,,gaba,-1,LPi2b_right
135,1.9418451742338223,10896,MeVP51,right,,glutamate,-1,MeVP51_right
136,2.1460008563138477,10901,MeVP52,right,,acetylcholine,1,MeVP52_right
137,2.0047698281209323,10907,MeVPMe1,right,,glutamate,-1,MeVPMe1_right
138,2.5007257356572112,10914,LoVC18,right,,dopamine,1,LoVC18_right
139,2.980506297239114,10915,Nod1,right,,acetylcholine,1,Nod1_right
140,3.956138237750812,10928,LPT59,right,,glutamate,-1,LPT59_right
141,2.0027334131510752,10950,Pm11,right,,gaba,-1,Pm11_right
142,3.896138394065514,10955,vCal3,left,,acetylcholine,1,vCal3_left
143,2.7346123303768097,10956,LoVC20,left,,gaba,-1,LoVC20_left
144,2.8877284040036906,10974,Li31,right,,glutamate,-1,Li31_right
145,2.916234563216909,11003,LPT53,right,,gaba,-1,LPT53_right
146,2.901974850918995,11009,LPT22,right,,gaba,-1,LPT22_right
147,2.2746707425913906,11015,MeVPMe3,left,,glutamate,-1,MeVPMe3_left
148,2.5873103529185,11029,Pm13,right,,glutamate,-1,Pm13_right
149,2.995842277742662,11031,LPT21,right,,acetylcholine,1,LPT21_right
150,1.9372500047219727,11046,MeVC23,right,,glutamate,-1,MeVC23_right
151,2.7429443709080497,11055,LT62,right,,unclear,1,LT62_right
152,2.996625300353192,11077,vCal3,right,,acetylcholine,1,vCal3_right
