bodyId,cell_type,side,idx,nt,sign
101744,C2,right,32576,gaba,-1
101745,Tm6,right,32577,acetylcholine,1
101749,Tm4,right,32578,acetylcholine,1
101753,L5,right,32579,acetylcholine,1
101756,T4b,right,32580,acetylcholine,1
101757,Tm5b,right,32581,acetylcholine,1
101758,T4d,right,32582,acetylcholine,1
101762,Tm4,right,32583,acetylcholine,1
101765,Tm9,right,32584,acetylcholine,1
101767,L5,right,32585,acetylcholine,1
101770,T4b,right,32586,acetylcholine,1
101772,Tm3,right,32587,acetylcholine,1
101774,Tm9,right,32588,acetylcholine,1
101776,T5d,right,32589,acetylcholine,1
101779,T5d,right,32590,acetylcholine,1
101780,T5a,right,32591,acetylcholine,1
101782,Tm4,right,32592,acetylcholine,1
101787,Mi4,right,32593,gaba,-1
101788,T4b,right,32594,acetylcholine,1
101793,T5c,right,32595,acetylcholine,1
101795,T5c,right,32596,acetylcholine,1
101796,Li27,right,32597,gaba,-1
101800,L4,right,32598,acetylcholine,1
101801,Tm9,right,32599,acetylcholine,1
101804,TmY18,right,32600,acetylcholine,1
101805,T4a,right,32601,acetylcholine,1
101806,Tm6,right,32602,acetylcholine,1
101807,T4c,right,32603,acetylcholine,1
101810,C2,right,32604,gaba,-1
101815,Mi15,right,32605,acetylcholine,1
101817,Tm5c,right,32606,glutamate,-1
101818,Mi9,right,32607,glutamate,-1
101820,L5,right,32608,acetylcholine,1
101823,Tm6,right,32609,acetylcholine,1
101826,Dm3b,right,32610,glutamate,-1
101828,Mi9,right,32611,glutamate,-1
101829,Tm34,right,32612,glutamate,-1
101831,C2,right,32613,gaba,-1
101832,Tm5Y,right,32614,acetylcholine,1
101833,Dm11,right,32615,glutamate,-1
101834,Mi13,right,32616,glutamate,-1
101838,T3,right,32617,acetylcholine,1
101842,Tm6,right,32618,acetylcholine,1
101843,Mi16,right,32619,gaba,-1
101848,T5d,right,32620,acetylcholine,1
101851,Tm5b,right,32621,acetylcholine,1
101853,L5,right,32622,acetylcholine,1
101855,L4,right,32623,acetylcholine,1
101857,T5b,right,32624,acetylcholine,1
101858,T3,right,32625,acetylcholine,1
101860,Mi13,right,32626,glutamate,-1
101862,T5c,right,32627,acetylcholine,1
101863,Tm20,right,32628,acetylcholine,1
101864,Tm9,right,32629,acetylcholine,1
101865,T4a,right,32630,acetylcholine,1
101867,LoVP13,right,32631,glutamate,-1
101873,T4b,right,32632,acetylcholine,1
101876,Dm8a,right,32633,glutamate,-1
101878,T4a,right,32634,acetylcholine,1
101879,TmY18,right,32635,acetylcholine,1
101882,L5,right,32636,acetylcholine,1
101883,C2,right,32637,gaba,-1
101885,T4a,right,32638,acetylcholine,1
101886,T4a,right,32639,acetylcholine,1
101887,Tm2,right,32640,acetylcholine,1
101888,Tm5b,right,32641,acetylcholine,1
101890,T5b,right,32642,acetylcholine,1
101895,LC30,right,32643,acetylcholine,1
101896,Mi13,right,32644,glutamate,-1
101901,TmY9b,right,32645,acetylcholine,1
101903,T4a,right,32646,acetylcholine,1
101906,Tm9,right,32647,acetylcholine,1
101908,T4c,right,32648,acetylcholine,1
101913,L3,right,32649,acetylcholine,1
101915,T2,right,32650,acetylcholine,1
101920,L5,right,32651,acetylcholine,1
101922,Mi9,right,32652,glutamate,-1
