,bodyid,hemilineage,class,predictedNt,somaNeuromere,rootSide,systematicType,type,somaSide,name,combined_type,nt_binary,idx
7717,16080,13A,intrinsic neuron,gaba,T1,,IN13A035,IN13A035,RHS,IN13A035_T1_R,IN13A035_T1_R,-1,5397
7718,16081,03A,intrinsic neuron,acetylcholine,T2,,IN03A033,IN03A033,RHS,IN03A033_T2_R,IN03A033_T2_R,1,5398
7719,16082,,descending neuron,acetylcholine,,RHS,DNxn140,DNxn140,,DNxn140_CvC_R,DNxn140_CvC_R,1,5399
7720,16083,05B,ascending neuron,gaba,T2,LHS,AN05B048,AN05B048,RHS,AN05B048_T2_R,AN05B048_T2_R,-1,5400
7721,16084,TBD,intrinsic neuron,gaba,A9,,INXXX305,INXXX305,LHS,INXXX305_A9_L,INXXX305_A9_L,-1,5401
7722,16085,07B,intrinsic neuron,acetylcholine,T3,,IN07B038,IN07B038,LHS,IN07B038_T3_L,IN07B038_T3_L,1,5402
7723,16086,08B,ascending neuron,acetylcholine,T1,RHS,AN08B022,AN08B022,LHS,AN08B022_T1_L,AN08B022_T1_L,1,5403
7724,16087,03A,intrinsic neuron,acetylcholine,T2,,IN03A033,IN03A033,LHS,IN03A033_T2_L,IN03A033_T2_L,1,5404
7725,16088,11B,intrinsic neuron,gaba,T2,,IN11B013,IN11B013,LHS,IN11B013_T2_L,IN11B013_T2_L,-1,5405
7726,16089,01A,intrinsic neuron,acetylcholine,A7,,IN01A045,IN01A045,LHS,IN01A045_A7_L,IN01A045_A7_L,1,5406
7727,16090,TBD,intrinsic neuron,gaba,A6,,INXXX230,INXXX230,LHS,INXXX230_A6_L,INXXX230_A6_L,-1,5407
7728,16091,TBD,intrinsic neuron,gaba,A9,,INXXX211,INXXX211,RHS,INXXX211_A9_R,INXXX211_A9_R,-1,5408
7729,16092,04B,intrinsic neuron,acetylcholine,T2,,IN04B031,IN04B031,LHS,IN04B031_T2_L,IN04B031_T2_L,1,5409
7730,16093,19A,intrinsic neuron,gaba,T3,,IN19A110,IN19A110,RHS,IN19A110_T3_R,IN19A110_T3_R,-1,5410
7731,16094,TBD,motor neuron,unknown,A9,,MNad53,MNad53,LHS,MNad53_AbNT_L,MNad53_AbNT_L,-1,5411
7732,16095,,sensory ascending,acetylcholine,,RHS,SAppxx,SAppxx,,SAppxx_DMetaN_R,SAppxx_DMetaN_R,1,5412
7733,16096,,sensory neuron,acetylcholine,,RHS,SNta10,SNta10,,SNta10_PDMN_R,SNta10_PDMN_R,1,5413
7734,16097,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A018,IN20A.22A018,LHS,IN20A.22A018_T1_L,IN20A.22A018_T1_L,-1,5414
7735,16099,,descending neuron,glutamate,,LHS,DNxn184,DNxn184,,DNxn184_CvC_L,DNxn184_CvC_L,-1,5415
7736,16101,02A,intrinsic neuron,glutamate,T1,,IN02A023,IN02A023,LHS,IN02A023_T1_L,IN02A023_T1_L,-1,5416
7737,16102,02A,ascending neuron,acetylcholine,T1,LHS,AN02A017,AN02A017,LHS,AN02A017_T1_L,AN02A017_T1_L,1,5417
7738,16104,,sensory ascending,acetylcholine,,RHS,SApp05,SApp05,,SApp05_DMetaN_R,SApp05_DMetaN_R,1,5418
7739,16105,19B,intrinsic neuron,acetylcholine,T2,,IN19B045,IN19B045,RHS,IN19B045_T2_R,IN19B045_T2_R,1,5419
7740,161066,,sensory neuron,glutamate,,RHS,SNppxx,SNppxx,,SNppxx_ProNTBD_R,SNppxx_ProNTBD_R,-1,22337
7741,16107,TBD,ascending neuron,acetylcholine,T1,LHS,ANXXX255,ANXXX255,LHS,ANXXX255_T1_L,ANXXX255_T1_L,1,5420
7742,16108,13A,intrinsic neuron,gaba,T3,,IN13A021,IN13A021,RHS,IN13A021_T3_R,IN13A021_T3_R,-1,5421
7743,16110,19B,intrinsic neuron,acetylcholine,A1,,IN19B047,IN19B047,RHS,IN19B047_A1_R,IN19B047_A1_R,1,5422
7744,16111,18B,intrinsic neuron,acetylcholine,T2,,IN18B043,IN18B043,LHS,IN18B043_T2_L,IN18B043_T2_L,1,5423
7745,16112,08B,intrinsic neuron,acetylcholine,T3,,IN08B045,IN08B045,LHS,IN08B045_T3_L,IN08B045_T3_L,1,5424
7746,16113,12A,intrinsic neuron,acetylcholine,T1,,IN12A028,TN1a,RHS,IN12A028_T1_R,IN12A028_T1_R,1,5425
7747,16114,08B,ascending neuron,acetylcholine,T1,LHS,AN08B049,AN08B049,RHS,AN08B049_T1_R,AN08B049_T1_R,1,5426
7748,16115,06A,ascending neuron,glutamate,A1,LHS,AN06A030,AN06A030,LHS,AN06A030_A1_L,AN06A030_A1_L,-1,5427
7749,16116,17A,intrinsic neuron,acetylcholine,T2,,IN17A071,IN17A071,LHS,IN17A071_T2_L,IN17A071_T2_L,1,5428
7750,16117,TBD,intrinsic neuron,gaba,A7,,INXXX440,INXXX440,RHS,INXXX440_A7_R,INXXX440_A7_R,-1,5429
7751,16118,19A,intrinsic neuron,gaba,T3,,IN19A046,IN19A046,LHS,IN19A046_T3_L,IN19A046_T3_L,-1,5430
7752,16119,03A,intrinsic neuron,acetylcholine,T2,,IN03A057,IN03A057,LHS,IN03A057_T2_L,IN03A057_T2_L,1,5431
7753,16120,01A,intrinsic neuron,acetylcholine,A7,,IN01A045,IN01A045,RHS,IN01A045_A7_R,IN01A045_A7_R,1,5432
7754,161204,,sensory neuron,glutamate,,RHS,SNch10,SNch10,,SNch10_ProLN_R,SNch10_ProLN_R,-1,22338
7755,16121,06A,intrinsic neuron,gaba,T2,,IN06A044,IN06A044,RHS,IN06A044_T2_R,IN06A044_T2_R,-1,5433
7756,16122,11A,intrinsic neuron,glutamate,T2,,IN11A031,IN11A031,RHS,IN11A031_T2_R,IN11A031_T2_R,-1,5434
7757,16123,06B,intrinsic neuron,gaba,T3,,IN06B038,IN06B038,LHS,IN06B038_T3_L,IN06B038_T3_L,-1,5435
7758,16125,01A,intrinsic neuron,acetylcholine,T1,,IN01A041,IN01A041,LHS,IN01A041_T1_L,IN01A041_T1_L,1,5436
7759,16126,03A,intrinsic neuron,acetylcholine,T3,,IN03A055,IN03A055,RHS,IN03A055_T3_R,IN03A055_T3_R,1,5437
7760,16127,00A,intrinsic neuron,gaba,T1,,IN00A032,IN00A032,Midline,IN00A032_T1_M,IN00A032_T1_M,-1,5438
7761,16128,12A,intrinsic neuron,acetylcholine,T2,,IN12A054,IN12A054,LHS,IN12A054_T2_L,IN12A054_T2_L,-1,5439
7762,16129,13B,intrinsic neuron,gaba,T3,,IN13B026,IN13B026,RHS,IN13B026_T3_R,IN13B026_T3_R,-1,5440
7763,16130,03A,intrinsic neuron,acetylcholine,T3,,IN03A050,IN03A050,RHS,IN03A050_T3_R,IN03A050_T3_R,1,5441
7764,16131,06A,intrinsic neuron,glutamate,T3,,IN06A038,IN06A038,RHS,IN06A038_T3_R,IN06A038_T3_R,-1,5442
7765,16132,TBD,intrinsic neuron,acetylcholine,A9,,INXXX149,INXXX149,RHS,INXXX149_A9_R,INXXX149_A9_R,1,5443
7766,16134,23B,intrinsic neuron,acetylcholine,T2,,IN23B023,IN23B023,RHS,IN23B023_T2_R,IN23B023_T2_R,1,5444
7767,16135,TBD,intrinsic neuron,acetylcholine,A7,,INXXX275,INXXX275,RHS,INXXX275_A7_R,INXXX275_A7_R,1,5445
7768,16136,04B,intrinsic neuron,acetylcholine,T3,,IN04B022,IN04B022,LHS,IN04B022_T3_L,IN04B022_T3_L,1,5446
7769,16137,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A005,IN20A.22A005,RHS,IN20A.22A005_T1_R,IN20A.22A005_T1_R,1,5447
7770,16138,08A,intrinsic neuron,glutamate,T3,,IN08A017,IN08A017,RHS,IN08A017_T3_R,IN08A017_T3_R,-1,5448
7771,16139,06A,intrinsic neuron,gaba,T2,,IN06A033,IN06A033,RHS,IN06A033_T2_R,IN06A033_T2_R,-1,5449
7772,16140,13A,intrinsic neuron,gaba,T2,,IN13A034,IN13A034,RHS,IN13A034_T2_R,IN13A034_T2_R,-1,5450
7773,16141,12A,intrinsic neuron,acetylcholine,T1,,IN12A042,IN12A042,LHS,IN12A042_T1_L,IN12A042_T1_L,1,5451
7774,16142,11B,intrinsic neuron,gaba,T1,,IN11B009,IN11B009,RHS,IN11B009_T1_R,IN11B009_T1_R,-1,5452
7775,16143,03A,intrinsic neuron,acetylcholine,T2,,IN03A033,IN03A033,LHS,IN03A033_T2_L,IN03A033_T2_L,1,5453
7776,16144,00A,intrinsic neuron,gaba,T1,,IN00A014,IN00A014,Midline,IN00A014_T1_M,IN00A014_T1_M,-1,5454
7777,16145,00A,intrinsic neuron,gaba,T2,,IN00A057,IN00A057,Midline,IN00A057_T2_M,IN00A057_T2_M,-1,5455
7778,161458,,sensory neuron,glutamate,,LHS,SNta45,SNta45,,SNta45_MesoLN_L,SNta45_MesoLN_L,1,22339
7779,16146,08A,intrinsic neuron,glutamate,T3,,IN08A024,IN08A024,LHS,IN08A024_T3_L,IN08A024_T3_L,-1,5456
7780,16147,03A,intrinsic neuron,acetylcholine,T1,,IN03A045,IN03A045,LHS,IN03A045_T1_L,IN03A045_T1_L,1,5457
7781,16148,19B,ascending neuron,acetylcholine,T3,RHS,AN19B065,AN19B065,LHS,AN19B065_T3_L,AN19B065_T3_L,1,5458
7782,16150,03A,intrinsic neuron,acetylcholine,T2,,IN03A044,IN03A044,LHS,IN03A044_T2_L,IN03A044_T2_L,1,5459
7783,16152,06A,intrinsic neuron,glutamate,T2,,IN06A057,IN06A057,LHS,IN06A057_T2_L,IN06A057_T2_L,-1,5460
7784,16154,12A,intrinsic neuron,acetylcholine,T1,,IN12A046,IN12A046,LHS,IN12A046_T1_L,IN12A046_T1_L,1,5461
7785,16155,06A,intrinsic neuron,glutamate,T2,,IN06A022,IN06A022,RHS,IN06A022_T2_R,IN06A022_T2_R,-1,5462
7786,16156,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A007,IN20A.22A007,RHS,IN20A.22A007_T2_R,IN20A.22A007_T2_R,1,5463
7787,16157,,sensory ascending,acetylcholine,,RHS,SApp05,SApp05,,SApp05_DMetaN_R,SApp05_DMetaN_R,1,5464
7788,16158,12A,intrinsic neuron,acetylcholine,T2,,IN12A063,IN12A063,RHS,IN12A063_T2_R,IN12A063_T2_R,1,5465
7789,16159,12A,intrinsic neuron,acetylcholine,T1,,IN12A043,IN12A043,RHS,IN12A043_T1_R,IN12A043_T1_R,1,5466
7790,16160,TBD,ascending neuron,acetylcholine,A1,LHS,ANXXX214,ANXXX214,RHS,ANXXX214_A1_R,ANXXX214_A1_R,1,5467
7791,16161,,sensory neuron,acetylcholine,,LHS,SNxx04,SNxx04,,SNxx04_AbNT_L,SNxx04_AbNT_L,1,5468
7792,16162,12A,intrinsic neuron,acetylcholine,T1,,IN12A029,IN12A029,LHS,IN12A029_T1_L,IN12A029_T1_L,1,5469
7793,16163,00A,intrinsic neuron,gaba,A5,,IN00A027,IN00A027,Midline,IN00A027_A5_M,IN00A027_A5_M,-1,5470
7794,16164,08B,ascending neuron,acetylcholine,T1,RHS,AN08B053,AN08B053,LHS,AN08B053_T1_L,AN08B053_T1_L,1,5471
7795,16165,12B,intrinsic neuron,gaba,T3,,IN12B040,IN12B040,LHS,IN12B040_T3_L,IN12B040_T3_L,-1,5472
7796,16166,08B,intrinsic neuron,acetylcholine,T3,,IN08B036,IN08B036,RHS,IN08B036_T3_R,IN08B036_T3_R,1,5473
7797,16167,TBD,motor neuron,glutamate,T2,,MNxm03,MNxm03,LHS,MNxm03_DMetaN_L,MNxm03_DMetaN_L,-1,5474
7798,16168,06A,intrinsic neuron,gaba,T2,,IN06A033,IN06A033,RHS,IN06A033_T2_R,IN06A033_T2_R,-1,5475
7799,16169,11A,intrinsic neuron,acetylcholine,T1,,IN11A011,IN11A011,RHS,IN11A011_T1_R,IN11A011_T1_R,1,5476
7800,16170,09A,intrinsic neuron,gaba,T2,,IN09A031,IN09A031,RHS,IN09A031_T2_R,IN09A031_T2_R,-1,5477
7801,16171,04B,intrinsic neuron,acetylcholine,T2,,IN04B016,IN04B016,RHS,IN04B016_T2_R,IN04B016_T2_R,1,5478
7802,16172,08B,intrinsic neuron,acetylcholine,T3,,IN08B055,IN08B055,LHS,IN08B055_T3_L,IN08B055_T3_L,1,5479
7803,16173,03A,intrinsic neuron,acetylcholine,T3,,IN03A037,IN03A037,RHS,IN03A037_T3_R,IN03A037_T3_R,1,5480
7804,16174,07B,intrinsic neuron,acetylcholine,T2,,IN07B044,IN07B044,RHS,IN07B044_T2_R,IN07B044_T2_R,1,5481
7805,16175,03A,intrinsic neuron,acetylcholine,T1,,IN03A029,IN03A029,RHS,IN03A029_T1_R,IN03A029_T1_R,1,5482
7806,16176,01A,intrinsic neuron,acetylcholine,T3,,IN01A037,IN01A037,RHS,IN01A037_T3_R,IN01A037_T3_R,1,5483
7807,16178,TBD,motor neuron,unclear,A4,,MNad13,MNad13,LHS,MNad13_AbN4_L,MNad13_AbN4_L,-1,5484
7808,16179,04B,intrinsic neuron,acetylcholine,T1,,IN04B019,IN04B019,RHS,IN04B019_T1_R,IN04B019_T1_R,1,5485
7809,16180,,sensory neuron,acetylcholine,,LHS,SNpp01,SNpp01,,SNpp01_AbN3_L,SNpp01_AbN3_L,1,5486
7810,16181,17A,ascending neuron,acetylcholine,T1,RHS,AN17A068,AN17A068,RHS,AN17A068_T1_R,AN17A068_T1_R,1,5487
7811,16182,TBD,intrinsic neuron,glutamate,A2,,INXXX364,INXXX364,LHS,INXXX364_A2_L,INXXX364_A2_L,-1,5488
7812,16183,08A,intrinsic neuron,glutamate,T1,,IN08A041,IN08A041,LHS,IN08A041_T1_L,IN08A041_T1_L,-1,5489
7813,16184,01B,intrinsic neuron,gaba,T2,,IN01B010,IN01B010,LHS,IN01B010_T2_L,IN01B010_T2_L,-1,5490
7814,16185,08B,intrinsic neuron,acetylcholine,T3,,IN08B070,IN08B070,RHS,IN08B070_T3_R,IN08B070_T3_R,1,5491
7815,16186,21A,intrinsic neuron,glutamate,T2,,IN21A027,IN21A027,RHS,IN21A027_T2_R,IN21A027_T2_R,-1,5492
7816,16187,04B,intrinsic neuron,acetylcholine,T3,,IN04B029,IN04B029,RHS,IN04B029_T3_R,IN04B029_T3_R,1,5493
7817,16188,03A,intrinsic neuron,acetylcholine,T1,,IN03A040,IN03A040,RHS,IN03A040_T1_R,IN03A040_T1_R,1,5494
7818,16189,08B,intrinsic neuron,acetylcholine,T3,,IN08B063,IN08B063,RHS,IN08B063_T3_R,IN08B063_T3_R,1,5495
7819,16190,21A,intrinsic neuron,acetylcholine,T1,,IN21A022,IN21A022,RHS,IN21A022_T1_R,IN21A022_T1_R,1,5496
7820,16191,08A,intrinsic neuron,glutamate,T2,,IN08A027,IN08A027,RHS,IN08A027_T2_R,IN08A027_T2_R,-1,5497
7821,16192,,descending neuron,glutamate,,RHS,DNxn062,DNg71,,DNxn062_CvC_R,DNxn062_CvC_R,-1,5498
7822,16193,,descending neuron,acetylcholine,,RHS,DNxl125,DNxl125,,DNxl125_CvC_R,DNxl125_CvC_R,1,5499
7823,16194,09B,ascending neuron,glutamate,T1,RHS,AN09B032,AN09B032,LHS,AN09B032_T1_L,AN09B032_T1_L,-1,5500
7824,16195,09B,ascending neuron,glutamate,T1,LHS,AN09B035,AN09B035,RHS,AN09B035_T1_R,AN09B035_T1_R,-1,5501
7825,16196,08B,intrinsic neuron,acetylcholine,T2,,IN08B040,IN08B040,LHS,IN08B040_T2_L,IN08B040_T2_L,1,5502
7826,16197,,descending neuron,acetylcholine,,RHS,DNxn101,DNxn101,,DNxn101_CvC_R,DNxn101_CvC_R,1,5503
7827,16199,03A,intrinsic neuron,acetylcholine,T3,,IN03A040,IN03A040,RHS,IN03A040_T3_R,IN03A040_T3_R,1,5504
7828,16201,16B,motor neuron,glutamate,T3,,MNhm39,hi2 MN,LHS,MNhm39_AbN1_L,MNhm39_AbN1_L,-1,5505
7829,16202,03A,intrinsic neuron,acetylcholine,T1,,IN03A045,IN03A045,LHS,IN03A045_T1_L,IN03A045_T1_L,1,5506
7830,16203,09A,intrinsic neuron,glutamate,T1,,IN09A024,IN09A024,RHS,IN09A024_T1_R,IN09A024_T1_R,-1,5507
7831,16204,04B,intrinsic neuron,acetylcholine,T3,,IN04B076,IN04B076,RHS,IN04B076_T3_R,IN04B076_T3_R,1,5508
7832,16205,04B,intrinsic neuron,acetylcholine,T2,,IN04B036,IN04B036,LHS,IN04B036_T2_L,IN04B036_T2_L,1,5509
7833,16206,16B,intrinsic neuron,glutamate,T3,,IN16B042,IN16B042,RHS,IN16B042_T3_R,IN16B042_T3_R,-1,5510
7834,16207,12A,intrinsic neuron,acetylcholine,T1,,IN12A028,TN1a,RHS,IN12A028_T1_R,IN12A028_T1_R,1,5511
7835,16208,10B,intrinsic neuron,acetylcholine,T3,,IN10B042,IN10B042,LHS,IN10B042_T3_L,IN10B042_T3_L,1,5512
7836,16209,04B,intrinsic neuron,acetylcholine,T1,,IN04B015,IN04B015,RHS,IN04B015_T1_R,IN04B015_T1_R,1,5513
7837,16211,13A,intrinsic neuron,gaba,T3,,IN13A028,IN13A028,RHS,IN13A028_T3_R,IN13A028_T3_R,-1,5514
7838,162114,03B,motor neuron,glutamate,T1,,MNwm15,"DVMn 3a, b",RHS,MNwm15_PDMNa_R,MNwm15_PDMNa_R,-1,22340
7839,16212,TBD,intrinsic neuron,acetylcholine,A1,,INXXX266,INXXX266,RHS,INXXX266_A1_R,INXXX266_A1_R,1,5515
7840,16213,08B,intrinsic neuron,acetylcholine,T3,,IN08B063,IN08B063,LHS,IN08B063_T3_L,IN08B063_T3_L,1,5516
7841,16214,06A,intrinsic neuron,gaba,T2,,IN06A044,IN06A044,LHS,IN06A044_T2_L,IN06A044_T2_L,-1,5517
7842,16215,13A,intrinsic neuron,gaba,T2,,IN13A023,IN13A023,LHS,IN13A023_T2_L,IN13A023_T2_L,-1,5518
7843,16216,05B,ascending neuron,gaba,T2,LHS,AN05B049,AN05B049,RHS,AN05B049_T2_R,AN05B049_T2_R,-1,5519
7844,16217,14B,intrinsic neuron,gaba,T2,,IN14B012,IN14B012,LHS,IN14B012_T2_L,IN14B012_T2_L,-1,5520
7845,16218,TBD,ascending neuron,glutamate,T1,RHS,ANXXX250,ANXXX250,RHS,ANXXX250_T1_R,ANXXX250_T1_R,-1,5521
7846,16219,13B,intrinsic neuron,gaba,T2,,IN13B032,IN13B032,RHS,IN13B032_T2_R,IN13B032_T2_R,-1,5522
7847,16220,TBD,ascending neuron,glutamate,A2,LHS,ANXXX202,ANXXX202,RHS,ANXXX202_A2_R,ANXXX202_A2_R,-1,5523
7848,16221,13B,intrinsic neuron,glutamate,T2,,IN13B033,IN13B033,LHS,IN13B033_T2_L,IN13B033_T2_L,-1,5524
7849,162210,21A,intrinsic neuron,glutamate,T1,,IN21A100,IN21A100,LHS,IN21A100_T1_L,IN21A100_T1_L,-1,22341
7850,16222,16B,motor neuron,glutamate,T3,,MNhm39,hi2 MN,RHS,MNhm39_AbN1_R,MNhm39_AbN1_R,-1,5525
7851,16223,18B,intrinsic neuron,acetylcholine,T3,,IN18B035,IN18B035,LHS,IN18B035_T3_L,IN18B035_T3_L,1,5526
7852,16224,04B,intrinsic neuron,acetylcholine,T1,,IN04B092,IN04B092,LHS,IN04B092_T1_L,IN04B092_T1_L,1,5527
7853,162240,03B,motor neuron,glutamate,T1,,MNwm20,DLMn c-f,RHS,MNwm20_PDMNa_R,MNwm20_PDMNa_R,-1,22342
7854,16225,05B,ascending neuron,gaba,T1,LHS,AN05B071,AN05B071,RHS,AN05B071_T1_R,AN05B071_T1_R,-1,5528
7855,16226,04B,intrinsic neuron,acetylcholine,T3,,IN04B032,IN04B032,RHS,IN04B032_T3_R,IN04B032_T3_R,1,5529
7856,16227,TBD,motor neuron,glutamate,A4,,MNad05,MNad05,RHS,MNad05_AbN4_R,MNad05_AbN4_R,-1,5530
7857,16228,15B,motor neuron,glutamate,T3,,MNhl25,Acc. ti flexor MN,RHS,MNhl25_MetaLN_R,MNhl25_MetaLN_R,-1,5531
7858,16229,08B,intrinsic neuron,acetylcholine,T2,,IN08B056,IN08B056,RHS,IN08B056_T2_R,IN08B056_T2_R,1,5532
7859,16230,04B,intrinsic neuron,acetylcholine,T1,,IN04B021,IN04B021,RHS,IN04B021_T1_R,IN04B021_T1_R,1,5533
7860,16231,03B,intrinsic neuron,gaba,T1,,IN03B054,IN03B054,LHS,IN03B054_T1_L,IN03B054_T1_L,-1,5534
7861,16233,,sensory ascending,acetylcholine,,RHS,SApp09,SApp09,,SApp09_DMetaN_R,SApp09_DMetaN_R,1,5535
7862,16234,17A,intrinsic neuron,glutamate,T2,,IN17A064,IN17A064,RHS,IN17A064_T2_R,IN17A064_T2_R,-1,5536
7863,16235,09A,intrinsic neuron,gaba,A1,,IN09A019,IN09A019,RHS,IN09A019_A1_R,IN09A019_A1_R,-1,5537
7864,16236,03A,intrinsic neuron,acetylcholine,T3,,IN03A037,IN03A037,RHS,IN03A037_T3_R,IN03A037_T3_R,1,5538
7865,16237,21A,intrinsic neuron,glutamate,T2,,IN21A028,IN21A028,RHS,IN21A028_T2_R,IN21A028_T2_R,-1,5539
7866,162387,07B,intrinsic neuron,acetylcholine,A1,,IN07B096,IN07B096,RHS,IN07B096_A1_R,IN07B096_A1_R,1,22343
7867,16239,19B,intrinsic neuron,acetylcholine,T2,,IN19B087,IN19B087,LHS,IN19B087_T2_L,IN19B087_T2_L,1,5540
7868,162396,07B,intrinsic neuron,acetylcholine,A1,,IN07B092,IN07B092,LHS,IN07B092_A1_L,IN07B092_A1_L,1,22344
7869,16240,06A,intrinsic neuron,gaba,T2,,IN06A044,IN06A044,LHS,IN06A044_T2_L,IN06A044_T2_L,-1,5541
7870,16241,06A,intrinsic neuron,gaba,A1,,IN06A035,IN06A035,LHS,IN06A035_A1_L,IN06A035_A1_L,-1,5542
7871,16242,10B,intrinsic neuron,acetylcholine,T1,,IN10B028,IN10B028,LHS,IN10B028_T1_L,IN10B028_T1_L,1,5543
7872,16243,04B,intrinsic neuron,acetylcholine,T3,,IN04B032,IN04B032,LHS,IN04B032_T3_L,IN04B032_T3_L,1,5544
7873,16244,03B,intrinsic neuron,gaba,T3,,IN03B079,IN03B079,RHS,IN03B079_T3_R,IN03B079_T3_R,-1,5545
7874,162445,06B,intrinsic neuron,gaba,T3,,IN06B053,IN06B053,RHS,IN06B053_T3_R,IN06B053_T3_R,-1,22345
7875,16245,03A,intrinsic neuron,acetylcholine,T2,,IN03A060,IN03A060,LHS,IN03A060_T2_L,IN03A060_T2_L,1,5546
7876,16246,TBD,efferent neuron,glutamate,T3,,ENXXX226,ENXXX226,LHS,ENXXX226_T3_L,ENXXX226_T3_L,-1,5547
7877,16247,19B,intrinsic neuron,acetylcholine,T2,,IN19B048,IN19B048,RHS,IN19B048_T2_R,IN19B048_T2_R,1,5548
7878,16248,11B,intrinsic neuron,glutamate,T2,,IN11B003,IN11B003,LHS,IN11B003_T2_L,IN11B003_T2_L,-1,5549
7879,16249,TBD,intrinsic neuron,gaba,A1,,INXXX287,INXXX287,RHS,INXXX287_A1_R,INXXX287_A1_R,-1,5550
7880,16250,TBD,motor neuron,glutamate,T1,,MNfl54,Tergopleural/Pleural promotor MN,RHS,MNfl54_DProN_R,MNfl54_DProN_R,-1,5551
7881,16251,TBD,intrinsic neuron,glutamate,A10,,INXXX279,INXXX279,RHS,INXXX279_A10_R,INXXX279_A10_R,-1,5552
7882,16252,TBD,intrinsic neuron,gaba,A8,,INXXX211,INXXX211,LHS,INXXX211_A8_L,INXXX211_A8_L,-1,5553
7883,16253,04B,intrinsic neuron,acetylcholine,T3,,IN04B054,IN04B054,RHS,IN04B054_T3_R,IN04B054_T3_R,1,5554
7884,162539,13A,intrinsic neuron,gaba,T1,,IN13A001,IN13A001,LHS,IN13A001_T1_L,IN13A001_T1_L,-1,22346
7885,16254,13B,intrinsic neuron,gaba,T1,,IN13B028,IN13B028,LHS,IN13B028_T1_L,IN13B028_T1_L,-1,5555
7886,162540,04B,intrinsic neuron,acetylcholine,T1,,IN04B020,IN04B020,LHS,IN04B020_T1_L,IN04B020_T1_L,1,22347
7887,162543,TBD,intrinsic neuron,acetylcholine,T1,,INXXX464,INXXX464,LHS,INXXX464_T1_L,INXXX464_T1_L,1,22348
7888,16255,19B,intrinsic neuron,acetylcholine,T2,,IN19B045,IN19B045,LHS,IN19B045_T2_L,IN19B045_T2_L,1,5556
7889,162550,09A,intrinsic neuron,gaba,T1,,IN09A030,IN09A030,LHS,IN09A030_T1_L,IN09A030_T1_L,-1,22349
7890,162554,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A055,IN20A.22A055,LHS,IN20A.22A055_T1_L,IN20A.22A055_T1_L,1,22350
7891,16256,17B,ascending neuron,gaba,T2,RHS,AN17B016,AN17B016,RHS,AN17B016_T2_R,AN17B016_T2_R,-1,5557
7892,16257,05B,ascending neuron,gaba,T2,RHS,AN05B050,AN05B050,LHS,AN05B050_T2_L,AN05B050_T2_L,-1,5558
7893,162570,19A,intrinsic neuron,gaba,T1,,IN19A067,IN19A067,RHS,IN19A067_T1_R,IN19A067_T1_R,-1,22351
7894,162571,23B,intrinsic neuron,acetylcholine,T2,,IN23B013,IN23B013,LHS,IN23B013_T2_L,IN23B013_T2_L,1,22352
7895,16258,01A,intrinsic neuron,acetylcholine,T3,,IN01A042,IN01A042,RHS,IN01A042_T3_R,IN01A042_T3_R,1,5559
7896,162586,13A,intrinsic neuron,gaba,T1,,IN13A011,IN13A011,RHS,IN13A011_T1_R,IN13A011_T1_R,-1,22353
7897,16259,09A,intrinsic neuron,gaba,A1,,IN09A019,IN09A019,RHS,IN09A019_A1_R,IN09A019_A1_R,-1,5560
7898,162599,12A,intrinsic neuron,acetylcholine,T2,,IN12A059,IN12A059,LHS,IN12A059_T2_L,IN12A059_T2_L,1,22354
7899,16260,03A,intrinsic neuron,acetylcholine,T1,,IN03A045,IN03A045,RHS,IN03A045_T1_R,IN03A045_T1_R,1,5561
7900,162604,11B,intrinsic neuron,gaba,T2,,IN11B022,IN11B022,LHS,IN11B022_T2_L,IN11B022_T2_L,-1,22355
7901,16261,17A,ascending neuron,acetylcholine,T3,LHS,AN17A062,AN17A062,LHS,AN17A062_T3_L,AN17A062_T3_L,1,5562
7902,16262,09B,ascending neuron,acetylcholine,A9,LHS,AN09B004,AN09B004,RHS,AN09B004_A9_R,AN09B004_A9_R,1,5563
7903,162621,TBD,intrinsic neuron,acetylcholine,A4,,INXXX297,INXXX297,LHS,INXXX297_A4_L,INXXX297_A4_L,1,22356
7904,162622,03A,intrinsic neuron,acetylcholine,T2,,IN03A071,IN03A071,LHS,IN03A071_T2_L,IN03A071_T2_L,1,22357
7905,16263,18B,intrinsic neuron,acetylcholine,T2,,IN18B039,IN18B039,RHS,IN18B039_T2_R,IN18B039_T2_R,1,5564
7906,16264,,descending neuron,acetylcholine,,RHS,DNxn159,DNxn159,,DNxn159_CvC_R,DNxn159_CvC_R,1,5565
7907,162649,13A,intrinsic neuron,gaba,T3,,IN13A040,IN13A040,RHS,IN13A040_T3_R,IN13A040_T3_R,-1,22358
7908,16265,TBD,intrinsic neuron,acetylcholine,A2,,INXXX269,INXXX269,LHS,INXXX269_A2_L,INXXX269_A2_L,1,5566
7909,16266,11B,ascending neuron,gaba,T1,LHS,AN11B008,AN11B008,LHS,AN11B008_T1_L,AN11B008_T1_L,-1,5567
7910,162660,,sensory neuron,glutamate,,RHS,SNxxxx,SNxxxx,,SNxxxx_ProLN_R,SNxxxx_ProLN_R,-1,22359
