,bodyid,hemilineage,class,predictedNt,somaNeuromere,rootSide,systematicType,type,somaSide,name,combined_type,nt_binary,idx
19415,32431,,descending neuron,acetylcholine,,LHS,DNut042,DNut042,,DNut042_CvC_L,DNut042_CvC_L,1,16066
19416,32437,,descending neuron,gaba,,LHS,DNnt011,DNnt011,,DNnt011_CvC_L,DNnt011_CvC_L,-1,16067
19417,32444,,sensory neuron,acetylcholine,,RHS,SNxx14,SNxx14,,SNxx14_AbN4_R,SNxx14_AbN4_R,1,16068
19418,32447,,descending neuron,acetylcholine,,RHS,DNnt012,DNnt012,,DNnt012_CvC_R,DNnt012_CvC_R,1,16069
19419,32450,19A,intrinsic neuron,gaba,T1,,IN19A133,IN19A133,RHS,IN19A133_T1_R,IN19A133_T1_R,-1,16070
19420,32451,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A089,IN20A.22A089,LHS,IN20A.22A089_T1_L,IN20A.22A089_T1_L,1,16071
19421,32453,,sensory neuron,acetylcholine,,RHS,SNta09,SNta09,,SNta09_PDMN_R,SNta09_PDMN_R,1,16072
19422,32456,14A,intrinsic neuron,glutamate,T1,,IN14A113,IN14A113,LHS,IN14A113_T1_L,IN14A113_T1_L,-1,16073
19423,32458,,sensory neuron,acetylcholine,,RHS,SNta20,SNta20,,SNta20_MesoLN_R,SNta20_MesoLN_R,1,16074
19424,32459,08A,intrinsic neuron,gaba,T3,,IN08A047,IN08A047,LHS,IN08A047_T3_L,IN08A047_T3_L,-1,16075
19425,32460,,sensory neuron,acetylcholine,,RHS,SNch02,SNch02,,SNch02_ADMN_R,SNch02_ADMN_R,1,16076
19426,32461,,descending neuron,acetylcholine,,RHS,DNxn112,DNxn112,,DNxn112_CvC_R,DNxn112_CvC_R,1,16077
19427,32462,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A089,IN20A.22A089,RHS,IN20A.22A089_T2_R,IN20A.22A089_T2_R,1,16078
19428,32464,,sensory neuron,acetylcholine,,RHS,SNxx03,SNxx03,,SNxx03_AbN4_R,SNxx03_AbN4_R,1,16079
19429,32469,10B,intrinsic neuron,acetylcholine,T1,,IN10B042,IN10B042,RHS,IN10B042_T1_R,IN10B042_T1_R,1,16080
19430,32473,21A,intrinsic neuron,glutamate,T3,,IN21A107,IN21A107,LHS,IN21A107_T3_L,IN21A107_T3_L,-1,16081
19431,32474,12B,intrinsic neuron,gaba,T3,,IN12B036,IN12B036,RHS,IN12B036_T3_R,IN12B036_T3_R,-1,16082
19432,32482,,sensory neuron,acetylcholine,,RHS,SNxx04,SNxx04,,SNxx04_AbN4_R,SNxx04_AbN4_R,1,16083
19433,32484,,sensory ascending,acetylcholine,,RHS,SApp12,SApp12,,SApp12_DMetaN_R,SApp12_DMetaN_R,1,16084
19434,32487,,sensory neuron,acetylcholine,,LHS,SNta02,SNta02,,SNta02_PDMN_L,SNta02_PDMN_L,1,16085
19435,32491,,sensory neuron,acetylcholine,,RHS,SNta09,SNta09,,SNta09_PDMN_R,SNta09_PDMN_R,1,16086
19436,32492,TBD,intrinsic neuron,acetylcholine,A8,,INXXX454,INXXX454,RHS,INXXX454_A8_R,INXXX454_A8_R,1,16087
19437,32493,,descending neuron,glutamate,,LHS,DNut039,DNut039,,DNut039_CvC_L,DNut039_CvC_L,-1,16088
19438,32494,01B,intrinsic neuron,gaba,T1,,IN01B061,IN01B061,LHS,IN01B061_T1_L,IN01B061_T1_L,-1,16089
19439,32497,,sensory neuron,acetylcholine,,RHS,SNxx04,SNxx04,,SNxx04_AbN4_R,SNxx04_AbN4_R,1,16090
19440,32498,,descending neuron,acetylcholine,,RHS,DNut032,DNg92,,DNut032_CvC_R,DNut032_CvC_R,1,16091
19441,32499,,descending neuron,acetylcholine,,LHS,DNit006,DNit006,,DNit006_CvC_L,DNit006_CvC_L,1,16092
19442,32501,19A,intrinsic neuron,unclear,T3,,IN19A138,IN19A138,LHS,IN19A138_T3_L,IN19A138_T3_L,-1,16093
19443,32503,02A,intrinsic neuron,glutamate,T3,,IN02A066,IN02A066,RHS,IN02A066_T3_R,IN02A066_T3_R,-1,16094
19444,32504,,descending neuron,acetylcholine,,RHS,DNfl017,DNfl017,,DNfl017_CvC_R,DNfl017_CvC_R,1,16095
19445,32506,,sensory neuron,acetylcholine,,RHS,SNta11,SNta11,,SNta11_ADMN_R,SNta11_ADMN_R,1,16096
19446,32517,,sensory neuron,acetylcholine,,RHS,SNta20,SNta20,,SNta20_MetaLN_R,SNta20_MetaLN_R,-1,16097
19447,32520,07B,intrinsic neuron,acetylcholine,T3,,IN07B103,IN07B103,LHS,IN07B103_T3_L,IN07B103_T3_L,1,16098
19448,32523,,sensory neuron,acetylcholine,,LHS,SNch02,SNch02,,SNch02_ADMN_L,SNch02_ADMN_L,1,16099
19449,32524,,sensory neuron,acetylcholine,,RHS,SNta02,SNta02,,SNta02_PDMN_R,SNta02_PDMN_R,1,16100
19450,32525,,sensory neuron,acetylcholine,,LHS,SNch12,SNch12,,SNch12_ADMN_L,SNch12_ADMN_L,1,16101
19451,32527,,sensory neuron,acetylcholine,,LHS,SNch12,SNch12,,SNch12_ADMN_L,SNch12_ADMN_L,1,16102
19452,32528,09A,intrinsic neuron,gaba,T1,,IN09A091,IN09A091,LHS,IN09A091_T1_L,IN09A091_T1_L,-1,16103
19453,32530,10B,intrinsic neuron,acetylcholine,T1,,IN10B055,IN10B055,LHS,IN10B055_T1_L,IN10B055_T1_L,1,16104
19454,32532,,sensory neuron,acetylcholine,,LHS,SNta03,SNta03,,SNta03_DMetaN_L,SNta03_DMetaN_L,1,16105
19455,32533,,sensory neuron,acetylcholine,,RHS,SNxx04,SNxx04,,SNxx04_AbN4_R,SNxx04_AbN4_R,1,16106
19456,32534,,descending neuron,acetylcholine,,RHS,DNnt008,DNnt008,,DNnt008_CvC_R,DNnt008_CvC_R,1,16107
19457,32535,,descending neuron,acetylcholine,,LHS,DNxn109,DNxn109,,DNxn109_CvC_L,DNxn109_CvC_L,1,16108
19458,32538,,sensory neuron,acetylcholine,,LHS,SNta31,SNta31,,SNta31_MetaLN_L,SNta31_MetaLN_L,-1,16109
19459,32539,09A,intrinsic neuron,gaba,T1,,IN09A096,IN09A096,LHS,IN09A096_T1_L,IN09A096_T1_L,-1,16110
19460,32540,13A,intrinsic neuron,glutamate,T3,,IN13A059,IN13A059,LHS,IN13A059_T3_L,IN13A059_T3_L,-1,16111
19461,32542,,sensory neuron,acetylcholine,,RHS,SNta30,SNta30,,SNta30_MetaLN_R,SNta30_MetaLN_R,-1,16112
19462,32543,06A,intrinsic neuron,gaba,A5,,IN06A098,IN06A098,LHS,IN06A098_A5_L,IN06A098_A5_L,-1,16113
19463,32550,,sensory neuron,acetylcholine,,LHS,SNta02,SNta02,,SNta02_PDMN_L,SNta02_PDMN_L,1,16114
19464,32553,,sensory neuron,acetylcholine,,LHS,SNxx14,SNxx14,,SNxx14_AbN4_L,SNxx14_AbN4_L,1,16115
19465,32557,01B,intrinsic neuron,gaba,T3,,IN01B031,IN01B031,RHS,IN01B031_T3_R,IN01B031_T3_R,-1,16116
19466,32560,,sensory neuron,acetylcholine,,RHS,SNta29,SNta29,,SNta29_MesoLN_R,SNta29_MesoLN_R,-1,16117
19467,32565,14A,intrinsic neuron,glutamate,T2,,IN14A105,IN14A105,RHS,IN14A105_T2_R,IN14A105_T2_R,-1,16118
19468,32566,,sensory neuron,glutamate,,LHS,SNch05,SNch05,,SNch05_ProLN_L,SNch05_ProLN_L,-1,16119
19469,32568,,descending neuron,acetylcholine,,LHS,DNut014,DNg06,,DNut014_CvC_L,DNut014_CvC_L,1,16120
19470,32573,14A,intrinsic neuron,glutamate,T3,,IN14A108,IN14A108,LHS,IN14A108_T3_L,IN14A108_T3_L,-1,16121
19471,32578,,sensory neuron,acetylcholine,,RHS,SNch12,SNch12,,SNch12_ADMN_R,SNch12_ADMN_R,1,16122
19472,32582,09A,intrinsic neuron,gaba,T3,,IN09A084,IN09A084,RHS,IN09A084_T3_R,IN09A084_T3_R,-1,16123
19473,32585,,descending neuron,acetylcholine,,RHS,DNit005,DNit005,,DNit005_CvC_R,DNit005_CvC_R,1,16124
19474,32586,13A,intrinsic neuron,glutamate,T3,,IN13A045,IN13A045,LHS,IN13A045_T3_L,IN13A045_T3_L,-1,16125
19475,32589,,sensory neuron,acetylcholine,,LHS,SNta09,SNta09,,SNta09_PDMN_L,SNta09_PDMN_L,1,16126
19476,32591,00A,intrinsic neuron,glutamate,T3,,IN00A069,IN00A069,Midline,IN00A069_T3_M,IN00A069_T3_M,-1,16127
19477,32594,,sensory neuron,acetylcholine,,LHS,SNch09,SNch09,,SNch09_MetaLN_L,SNch09_MetaLN_L,1,16128
19478,32604,,sensory neuron,glutamate,,LHS,SNch12,SNch12,,SNch12_ADMN_L,SNch12_ADMN_L,1,16129
19479,32609,,sensory neuron,acetylcholine,,RHS,SNta09,SNta09,,SNta09_PDMN_R,SNta09_PDMN_R,1,16130
19480,32610,,sensory neuron,acetylcholine,,RHS,SNta09,SNta09,,SNta09_PDMN_R,SNta09_PDMN_R,1,16131
19481,32612,02A,intrinsic neuron,glutamate,T3,,IN02A065,IN02A065,LHS,IN02A065_T3_L,IN02A065_T3_L,-1,16132
19482,32616,,sensory neuron,acetylcholine,,RHS,SNta04,SNta04,,SNta04_ADMN_R,SNta04_ADMN_R,1,16133
19483,32619,,sensory neuron,acetylcholine,,RHS,SNta41,SNta41,,SNta41_ProLN_R,SNta41_ProLN_R,-1,16134
19484,32624,,sensory ascending,acetylcholine,,RHS,SApp17,SApp17,,SApp17_DMetaN_R,SApp17_DMetaN_R,1,16135
19485,32625,,sensory neuron,acetylcholine,,LHS,SNxx01,SNxx01,,SNxx01_AbN4_L,SNxx01_AbN4_L,1,16136
19486,32628,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A080,IN20A.22A080,RHS,IN20A.22A080_T2_R,IN20A.22A080_T2_R,1,16137
19487,32637,,sensory neuron,acetylcholine,,LHS,SNpp22,SNpp22,,SNpp22_ProCN_L,SNpp22_ProCN_L,1,16138
19488,32639,,sensory neuron,acetylcholine,,RHS,SNta42,SNta42,,SNta42_MesoLN_R,SNta42_MesoLN_R,1,16139
19489,32641,,sensory ascending,acetylcholine,,LHS,SApp12,SApp12,,SApp12_DMetaN_L,SApp12_DMetaN_L,1,16140
19490,32646,,descending neuron,acetylcholine,,LHS,DNht001,DNht001,,DNht001_CvC_L,DNht001_CvC_L,1,16141
19491,32649,,sensory neuron,acetylcholine,,RHS,SNta29,SNta29,,SNta29_MetaLN_R,SNta29_MetaLN_R,-1,16142
19492,32656,,descending neuron,acetylcholine,,RHS,DNut032,DNg92,,DNut032_CvC_R,DNut032_CvC_R,1,16143
19493,32667,,descending neuron,acetylcholine,,LHS,DNfl003,DNg12,,DNfl003_CvC_L,DNfl003_CvC_L,1,16144
19494,32668,,sensory neuron,acetylcholine,,RHS,SNta20,SNta20,,SNta20_MesoLN_R,SNta20_MesoLN_R,1,16145
19495,32672,,descending neuron,acetylcholine,,RHS,DNnt008,DNnt008,,DNnt008_CvC_R,DNnt008_CvC_R,1,16146
19496,32676,,sensory neuron,acetylcholine,,RHS,SNch04,SNch04,,SNch04_ADMN_R,SNch04_ADMN_R,-1,16147
19497,32679,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A090,IN20A.22A090,RHS,IN20A.22A090_T3_R,IN20A.22A090_T3_R,1,16148
19498,32688,10B,intrinsic neuron,acetylcholine,T2,,IN10B054,IN10B054,LHS,IN10B054_T2_L,IN10B054_T2_L,1,16149
19499,32689,,sensory neuron,acetylcholine,,RHS,SNta09,SNta09,,SNta09_PDMN_R,SNta09_PDMN_R,1,16150
19500,32693,,sensory neuron,acetylcholine,,RHS,SNxx03,SNxx03,,SNxx03_AbN4_R,SNxx03_AbN4_R,1,16151
19501,32694,TBD,intrinsic neuron,gaba,A6,,INXXX458,INXXX458,RHS,INXXX458_A6_R,INXXX458_A6_R,-1,16152
19502,32695,14A,intrinsic neuron,glutamate,T2,,IN14A110,IN14A110,LHS,IN14A110_T2_L,IN14A110_T2_L,-1,16153
19503,32699,,descending neuron,acetylcholine,,LHS,DNnt013,DNnt013,,DNnt013_CvC_L,DNnt013_CvC_L,1,16154
19504,32705,,sensory neuron,acetylcholine,,RHS,SNpp50,SNpp50,,SNpp50_MesoLN_R,SNpp50_MesoLN_R,1,16155
19505,32707,TBD,intrinsic neuron,acetylcholine,A8,,INXXX456,INXXX456,LHS,INXXX456_A8_L,INXXX456_A8_L,1,16156
19506,32708,,sensory neuron,acetylcholine,,LHS,SNta09,SNta09,,SNta09_PDMN_L,SNta09_PDMN_L,1,16157
19507,32710,,sensory neuron,glutamate,,LHS,SNch04,SNch04,,SNch04_ADMN_L,SNch04_ADMN_L,-1,16158
19508,32712,04B,intrinsic neuron,acetylcholine,T2,,IN04B033,IN04B033,RHS,IN04B033_T2_R,IN04B033_T2_R,1,16159
19509,32713,,sensory neuron,acetylcholine,,LHS,SNta18,SNta18,,SNta18_ADMN_L,SNta18_ADMN_L,1,16160
